epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.42959;8.93433;7.51111;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.67860;21.90583
2;10.25148;8.93433;7.51111;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.23509;17.58948
3;5.50785;5.93608;4.27407;0.10706;0.13000;0.13000;0.14000;0.16431;0.14527;0.13000;0.14000;0.01423;0.01704;0.16000;0.16000;0.00000;0.00000;0.01000;0.01000;0.19308;0.14300;0.04732;0.04732;0.38139;0.14908;0.10419;0.10419;0.02558;0.00986;0.00038;0.00038;0.31475;0.01384;0.00850;0.00850;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;14.48560;16.98703
4;2.85082;3.13877;2.30370;0.65399;0.25000;0.26000;0.23000;0.54827;0.57960;0.27000;0.27000;0.16314;0.18831;0.27000;0.27000;0.00471;0.00427;0.25000;0.25000;0.57530;0.52367;0.43130;0.43130;0.59937;0.61197;0.52500;0.52500;0.17118;0.15582;0.04266;0.04266;0.19279;0.20371;0.08970;0.08970;0.00451;0.00493;0.00003;0.00003;0.00403;0.00468;0.00065;0.00065;15.99311;17.26118
5;2.44064;3.48223;2.55556;0.61665;0.30000;0.30000;0.24000;0.60481;0.65260;0.30000;0.30000;0.22582;0.26739;0.30000;0.36000;0.01624;0.02310;0.29000;0.29000;0.60215;0.60750;0.51935;0.51935;0.64947;0.71809;0.66298;0.66298;0.22483;0.22682;0.09380;0.09380;0.32193;0.26733;0.18998;0.18998;0.01576;0.01677;0.00035;0.00035;0.02255;0.02531;0.00579;0.00579;15.16215;16.50302
6;2.44304;2.71348;2.05185;0.72806;0.26000;0.25000;0.22000;0.50327;0.53150;0.24000;0.24000;0.12548;0.15229;0.22000;0.22000;0.00754;0.00783;0.16000;0.16000;0.47784;0.53156;0.33175;0.33175;0.52955;0.57019;0.45276;0.45276;0.11120;0.14398;0.02124;0.02124;0.14193;0.17562;0.06162;0.06162;0.00554;0.01183;0.00007;0.00007;0.00569;0.01305;0.00150;0.00150;14.71382;17.28172
7;1.98744;2.07989;1.40741;0.82188;0.27000;0.27000;0.22000;0.68134;0.73095;0.28000;0.27000;0.32316;0.41195;0.28000;0.28000;0.03898;0.05635;0.31000;0.31000;0.69137;0.67160;0.61550;0.61550;0.72733;0.76491;0.73192;0.73192;0.32792;0.31854;0.14109;0.14109;0.41743;0.42123;0.27063;0.27063;0.04322;0.03550;0.00219;0.00219;0.08619;0.05276;0.01530;0.01530;16.60799;15.92468
8;1.97067;1.93984;1.30370;0.84615;0.25000;0.25000;0.25000;0.67956;0.74180;0.26000;0.26000;0.32937;0.40232;0.26000;0.26000;0.03269;0.04057;0.27000;0.24000;0.68363;0.67554;0.59759;0.59759;0.75384;0.75934;0.72858;0.72858;0.33134;0.32742;0.15083;0.15083;0.41223;0.40775;0.25942;0.25942;0.03390;0.03156;0.00204;0.00204;0.03878;0.04420;0.01482;0.01482;14.41593;18.40068
9;1.90777;2.43432;1.82222;0.78894;0.30000;0.30000;0.27000;0.66860;0.70085;0.30000;0.27000;0.26839;0.30384;0.31000;0.31000;0.01867;0.02088;0.37000;0.37000;0.65530;0.68245;0.59470;0.59470;0.67275;0.77225;0.70528;0.70528;0.27054;0.26627;0.09920;0.09920;0.33072;0.30202;0.17692;0.17692;0.02286;0.01578;0.00055;0.00055;0.10056;0.01647;0.00596;0.00596;13.89559;18.05394
10;1.69620;2.22111;1.46667;0.82516;0.33000;0.33000;0.29000;0.73531;0.77137;0.35000;0.33000;0.35534;0.40705;0.39000;0.34000;0.04222;0.05483;0.37000;0.42000;0.74923;0.72189;0.72416;0.72416;0.76807;0.80707;0.80099;0.80099;0.40174;0.31854;0.17548;0.17548;0.41287;0.41552;0.27912;0.27912;0.04540;0.03945;0.00225;0.00225;0.10176;0.04757;0.01804;0.01804;14.72160;17.19278
