epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;16.72225;1.88986;14.83239;5.00448;3.29851;0.34185;0.07000;0.07000;0.09000;0.30779;0.38981;0.16000;0.17000;0.04919;0.07307;0.20000;0.16000;0.00197;0.00498;0.92000;0.65000;0.41696;0.24393;0.10870;0.10870;0.45933;0.36219;0.21189;0.21189;0.06822;0.03846;0.00323;0.00323;0.07838;0.07166;0.02410;0.02410;0.03571;0.00101;0.00004;0.00004;0.29851;0.00373;0.00301;0.00301;63.78193;96.22527
2;2.11439;1.82472;0.28968;5.03199;3.24627;0.33074;0.01000;0.01000;0.01000;0.34783;0.40613;0.03000;0.02000;0.08793;0.10666;0.11000;0.07000;0.00145;0.00124;0.26000;0.22000;0.47222;0.27530;0.14161;0.14161;0.50233;0.36582;0.23988;0.23988;0.12500;0.06781;0.01209;0.01209;0.12684;0.09617;0.04130;0.04130;0.00253;0.00101;0.00000;0.00000;0.03731;0.00068;0.00004;0.00004;60.95663;96.44286
3;24.33207;1.79425;22.53782;5.04680;3.26119;0.22577;0.01000;0.01000;0.01000;0.37398;0.41141;0.04000;0.07000;0.08181;0.10847;0.07000;0.10000;0.00414;0.00375;0.23000;0.18000;0.48936;0.30263;0.16116;0.16116;0.50418;0.37437;0.25796;0.25796;0.10815;0.06579;0.00815;0.00815;0.12146;0.10377;0.03880;0.03880;0.00649;0.00304;0.00002;0.00002;0.00423;0.00338;0.00044;0.00044;61.24374;96.89838
4;19.52832;1.64428;17.88404;4.93616;3.05224;0.28558;0.02000;0.02000;0.02000;0.42072;0.51173;0.06000;0.04000;0.15729;0.19926;0.06000;0.04000;0.01247;0.01397;0.15000;0.15000;0.57118;0.33300;0.21332;0.21332;0.57244;0.48300;0.36103;0.36103;0.21354;0.12449;0.03265;0.03265;0.21848;0.18821;0.09516;0.09516;0.01978;0.00911;0.00018;0.00018;0.08520;0.01160;0.00312;0.00312;59.91796;97.66232
5;20.48816;1.47382;19.01434;5.21908;3.32836;0.30320;0.01000;0.01000;0.01000;0.43925;0.54734;0.05000;0.01000;0.19836;0.26139;0.08000;0.08000;0.03077;0.03805;0.21000;0.16000;0.64510;0.33300;0.24430;0.24430;0.62572;0.50649;0.41490;0.41490;0.30591;0.14676;0.04884;0.04884;0.32862;0.23963;0.14298;0.14298;0.05570;0.02126;0.00236;0.00236;0.12189;0.03311;0.01709;0.01709;60.62719;96.24258
6;35.85997;1.52910;34.33087;5.15868;3.31343;0.29292;0.01000;0.01000;0.24000;0.44061;0.54132;0.01000;0.01000;0.19632;0.25908;0.05000;0.02000;0.01786;0.02432;0.12000;0.03000;0.59689;0.34919;0.23973;0.23973;0.62614;0.49831;0.39720;0.39720;0.30063;0.14575;0.05428;0.05428;0.29257;0.23980;0.14166;0.14166;0.03371;0.01215;0.00054;0.00054;0.02711;0.02235;0.00898;0.00898;59.88158;95.50979
7;31.54576;1.54576;30.00000;4.71501;2.87313;0.34780;0.01000;0.01000;0.01000;0.40793;0.53391;0.03000;0.02000;0.19959;0.26689;0.08000;0.03000;0.03105;0.04667;0.10000;0.10000;0.55382;0.32287;0.20013;0.20013;0.58310;0.50878;0.37752;0.37752;0.31183;0.14676;0.05034;0.05034;0.28102;0.25812;0.14240;0.14240;0.05128;0.02227;0.00123;0.00123;0.13271;0.04423;0.01690;0.01690;59.81611;95.66179
8;8.90285;1.46331;7.43954;5.33644;3.40299;0.24650;0.01000;0.01000;0.40000;0.46323;0.54716;0.01000;0.01000;0.20272;0.25795;0.05000;0.03000;0.04301;0.05382;0.11000;0.03000;0.63879;0.36336;0.24829;0.24829;0.64177;0.49993;0.40243;0.40243;0.30913;0.15081;0.04830;0.04830;0.29842;0.23538;0.13430;0.13430;0.07371;0.03036;0.00203;0.00203;0.06144;0.04898;0.01752;0.01752;60.23258;94.99522
9;8.68593;1.57428;7.11165;4.22943;2.57463;0.50352;0.01000;0.01000;0.01000;0.51155;0.55091;0.02000;0.02000;0.19624;0.20330;0.05000;0.05000;0.03016;0.02872;0.14000;0.14000;0.61626;0.43725;0.26945;0.26945;0.61980;0.51443;0.37221;0.37221;0.24434;0.16397;0.03893;0.03893;0.23839;0.18567;0.08048;0.08048;0.04283;0.02328;0.00122;0.00122;0.06637;0.02467;0.00848;0.00848;60.12045;95.29353
10;16.54821;1.55559;14.99262;5.14709;3.22388;0.24151;0.01000;0.01000;0.01000;0.46242;0.51788;0.01000;0.01000;0.19156;0.23001;0.03000;0.02000;0.01677;0.02525;0.05000;0.05000;0.62371;0.36741;0.24717;0.24717;0.61891;0.47007;0.36682;0.36682;0.28317;0.14474;0.04392;0.04392;0.27491;0.20991;0.11576;0.11576;0.02709;0.01215;0.00047;0.00047;0.10871;0.02066;0.00981;0.00981;59.03927;95.07382
11;22.36052;1.57033;20.79019;4.66009;2.91045;0.48409;0.01000;0.01000;0.01000;0.49005;0.55195;0.01000;0.01000;0.20116;0.23093;0.03000;0.02000;0.03598;0.04208;0.05000;0.05000;0.63548;0.39879;0.26732;0.26732;0.64222;0.50551;0.39226;0.39226;0.27709;0.15789;0.04031;0.04031;0.26569;0.21200;0.09855;0.09855;0.05263;0.02733;0.00153;0.00153;0.07226;0.03777;0.01187;0.01187;58.78005;94.02846
12;20.18642;1.46332;18.72310;4.97456;3.05970;0.38383;0.01000;0.01000;0.01000;0.48063;0.58475;0.04000;0.01000;0.25535;0.33124;0.09000;0.01000;0.04833;0.05911;0.12000;0.12000;0.68411;0.37045;0.28308;0.28308;0.65832;0.54733;0.45135;0.45135;0.40130;0.18725;0.08982;0.08982;0.35668;0.31527;0.20423;0.20423;0.08115;0.03441;0.00462;0.00462;0.14838;0.05458;0.02716;0.02716;59.91402;93.36014
13;7.47988;1.45653;6.02335;4.64324;2.81343;0.37404;0.01000;0.01000;0.01000;0.53186;0.58182;0.02000;0.02000;0.24877;0.27662;0.02000;0.02000;0.03293;0.03361;0.05000;0.04000;0.67391;0.43927;0.30720;0.30720;0.66398;0.53982;0.42310;0.42310;0.31522;0.20547;0.07089;0.07089;0.30551;0.26025;0.13642;0.13642;0.04399;0.02632;0.00092;0.00092;0.03878;0.03092;0.00676;0.00676;58.84571;94.11543
14;21.81962;1.46566;20.35396;4.78103;2.97761;0.25328;0.01000;0.01000;0.01000;0.55009;0.60843;0.01000;0.01000;0.24749;0.29395;0.02000;0.02000;0.03786;0.04838;0.03000;0.02000;0.68741;0.45850;0.32711;0.32711;0.69748;0.57663;0.46391;0.46391;0.32616;0.19939;0.06862;0.06862;0.32917;0.27488;0.14978;0.14978;0.05331;0.02935;0.00165;0.00165;0.05277;0.04564;0.01502;0.01502;58.92740;93.24016
15;27.13169;1.43531;25.69638;4.71660;2.81343;0.34129;0.01000;0.01000;0.01000;0.54133;0.60611;0.01000;0.01000;0.25310;0.29616;0.02000;0.01000;0.04230;0.04790;0.07000;0.07000;0.68527;0.44737;0.31529;0.31529;0.68837;0.56980;0.45773;0.45773;0.32692;0.20648;0.06917;0.06917;0.32346;0.28231;0.14929;0.14929;0.06095;0.03239;0.00188;0.00188;0.10162;0.04274;0.01401;0.01401;59.28514;92.28064
16;27.87424;1.28778;26.58646;4.88067;2.88060;0.32208;0.01000;0.01000;0.01000;0.54919;0.64593;0.01000;0.01000;0.32929;0.40963;0.04000;0.01000;0.07402;0.08267;0.18000;0.16000;0.71359;0.44636;0.35952;0.35952;0.71497;0.61135;0.52927;0.52927;0.44560;0.26113;0.14098;0.14098;0.43270;0.39552;0.27566;0.27566;0.11937;0.05364;0.00741;0.00741;0.15348;0.07614;0.03451;0.03451;59.99055;91.79077
17;22.75285;1.48578;21.26707;4.75206;2.94030;0.40152;0.01000;0.01000;0.01000;0.52847;0.56588;0.01000;0.01000;0.24505;0.26898;0.01000;0.01000;0.03589;0.03715;0.01000;0.01000;0.67994;0.43219;0.28579;0.28579;0.67278;0.51434;0.38843;0.38843;0.31529;0.20040;0.06125;0.06125;0.31544;0.24586;0.11793;0.11793;0.04618;0.02935;0.00147;0.00147;0.04463;0.03298;0.00985;0.00985;58.64433;92.94350
18;25.10148;1.51768;23.58380;5.21479;3.22388;0.20609;0.01000;0.01000;0.01000;0.46947;0.52714;0.01000;0.01000;0.21478;0.26653;0.04000;0.02000;0.03997;0.04544;0.05000;0.07000;0.63185;0.37348;0.26402;0.26402;0.61827;0.48574;0.37386;0.37386;0.34529;0.15587;0.06973;0.06973;0.30929;0.24740;0.14653;0.14653;0.06780;0.02834;0.00311;0.00311;0.17432;0.03651;0.01957;0.01957;58.64846;91.61810
19;16.06509;1.43382;14.63127;4.90659;3.02985;0.28473;0.01000;0.01000;0.01000;0.50000;0.58159;0.01000;0.01000;0.24258;0.29958;0.05000;0.01000;0.03751;0.04326;0.06000;0.03000;0.64331;0.40891;0.29591;0.29591;0.66139;0.54124;0.43597;0.43597;0.34783;0.18623;0.06794;0.06794;0.33262;0.28067;0.15233;0.15233;0.05545;0.02834;0.00190;0.00190;0.04801;0.04014;0.01459;0.01459;58.71225;91.60997
20;15.48844;1.36644;14.12200;4.53675;2.67164;0.42105;0.01000;0.01000;0.01000;0.55652;0.62223;0.04000;0.01000;0.27702;0.31929;0.04000;0.01000;0.07157;0.08478;0.13000;0.13000;0.72026;0.45344;0.36799;0.36799;0.69129;0.58879;0.49602;0.49602;0.35852;0.22571;0.09378;0.09378;0.34470;0.30430;0.18237;0.18237;0.10365;0.05466;0.00565;0.00565;0.14665;0.07885;0.02737;0.02737;59.65284;91.49571
21;17.68358;1.39152;16.29206;4.29509;2.55224;0.37867;0.01000;0.01000;0.01000;0.60070;0.61787;0.01000;0.01000;0.29253;0.28155;0.13000;0.01000;0.06152;0.05378;0.13000;0.13000;0.70685;0.52227;0.39808;0.39808;0.69313;0.58603;0.47055;0.47055;0.38512;0.23583;0.10692;0.10692;0.31547;0.26341;0.15007;0.15007;0.08099;0.04960;0.00704;0.00704;0.08000;0.04808;0.02173;0.02173;59.61460;91.98992
22;9.45277;1.36117;8.09160;4.24528;2.51493;0.39591;0.01000;0.01000;0.01000;0.62085;0.64038;0.01000;0.01000;0.32086;0.34404;0.04000;0.04000;0.07070;0.07312;0.28000;0.27000;0.73114;0.53947;0.38035;0.38035;0.71399;0.60659;0.48436;0.48436;0.38849;0.27328;0.10186;0.10186;0.38683;0.32528;0.18836;0.18836;0.10766;0.05263;0.00494;0.00494;0.18141;0.06468;0.02265;0.02265;59.83923;91.20118
23;13.05999;1.68700;11.37299;4.00000;2.47761;0.56312;0.01000;0.01000;0.01000;0.53436;0.55261;0.02000;0.01000;0.24171;0.26238;0.02000;0.02000;0.03335;0.03386;0.05000;0.03000;0.64429;0.45648;0.35475;0.35475;0.62155;0.51545;0.39804;0.39804;0.29143;0.20648;0.08021;0.08021;0.29427;0.24416;0.12559;0.12559;0.04553;0.02632;0.00132;0.00132;0.03836;0.03135;0.00644;0.00644;58.19963;92.26635
24;12.46429;1.42036;11.04393;4.38536;2.60448;0.44846;0.01000;0.01000;0.01000;0.58866;0.62317;0.01000;0.01000;0.30209;0.32812;0.01000;0.01000;0.05875;0.06251;0.08000;0.04000;0.71761;0.49899;0.38650;0.38650;0.70169;0.58342;0.48425;0.48425;0.36827;0.25607;0.09724;0.09724;0.36316;0.30822;0.17999;0.17999;0.08272;0.04555;0.00349;0.00349;0.07828;0.05807;0.01989;0.01989;57.78191;90.84290
25;19.78346;1.41806;18.36540;4.94522;3.09701;0.31608;0.01000;0.01000;0.01000;0.51791;0.58848;0.01000;0.01000;0.24431;0.30620;0.03000;0.03000;0.04369;0.05187;0.07000;0.10000;0.68325;0.41700;0.33605;0.33605;0.68003;0.54844;0.46946;0.46946;0.34120;0.19028;0.09785;0.09785;0.34700;0.28907;0.19308;0.19308;0.06709;0.03239;0.00296;0.00296;0.11530;0.04582;0.02072;0.02072;58.34788;90.46613
26;10.74872;1.26610;9.48262;4.30030;2.47761;0.45222;0.01000;0.01000;0.01000;0.59099;0.65020;0.02000;0.01000;0.30497;0.34473;0.11000;0.05000;0.07282;0.08893;0.06000;0.06000;0.72674;0.49798;0.41610;0.41610;0.71765;0.61868;0.52825;0.52825;0.43148;0.23583;0.12307;0.12307;0.38603;0.32717;0.21451;0.21451;0.09587;0.05870;0.00782;0.00782;0.10925;0.08559;0.03684;0.03684;58.61465;89.74590
27;25.19588;1.62189;23.57399;5.50509;3.42537;0.18093;0.01000;0.01000;0.09000;0.45342;0.57308;0.01000;0.01000;0.27883;0.37642;0.01000;0.01000;0.06413;0.08986;0.04000;0.02000;0.63620;0.35223;0.27554;0.27554;0.63092;0.54396;0.44196;0.44196;0.39122;0.21660;0.12080;0.12080;0.40023;0.36206;0.24909;0.24909;0.12181;0.04352;0.00899;0.00899;0.12276;0.08388;0.04629;0.04629;57.97209;90.60128
28;14.85689;1.38657;13.47032;4.13395;2.44776;0.49118;0.01000;0.01000;0.01000;0.58407;0.62184;0.02000;0.01000;0.29927;0.32012;0.06000;0.01000;0.05415;0.06138;0.07000;0.07000;0.70014;0.50101;0.40609;0.40609;0.67520;0.60020;0.49462;0.49462;0.37500;0.24899;0.13409;0.13409;0.34148;0.30907;0.19501;0.19501;0.06907;0.04453;0.00538;0.00538;0.06568;0.05890;0.02413;0.02413;59.23232;89.31563
29;10.42250;1.47599;8.94651;4.41081;2.81343;0.45969;0.01000;0.01000;0.01000;0.55536;0.57977;0.01000;0.01000;0.28953;0.30409;0.09000;0.02000;0.05105;0.04762;0.08000;0.08000;0.67936;0.46964;0.38483;0.38483;0.67817;0.53562;0.44230;0.44230;0.42466;0.21964;0.13060;0.13060;0.35413;0.28016;0.17644;0.17644;0.07222;0.03947;0.00625;0.00625;0.05931;0.04141;0.02006;0.02006;59.12976;91.18356
30;9.88317;1.41910;8.46407;4.83843;2.84328;0.26602;0.01000;0.01000;0.01000;0.52599;0.59661;0.01000;0.01000;0.26803;0.31918;0.03000;0.01000;0.07056;0.08581;0.07000;0.03000;0.66461;0.43522;0.32207;0.32207;0.65528;0.56988;0.46442;0.46442;0.36269;0.21255;0.09415;0.09415;0.33530;0.31030;0.19283;0.19283;0.10700;0.05263;0.00734;0.00734;0.09109;0.08258;0.03798;0.03798;57.76175;90.33464
31;22.01492;1.16972;20.84520;4.31156;2.47015;0.54331;0.01000;0.01000;0.01000;0.60854;0.69155;0.01000;0.01000;0.37767;0.45954;0.04000;0.01000;0.09690;0.11177;0.22000;0.14000;0.74963;0.51215;0.43616;0.43616;0.76093;0.65742;0.58613;0.58613;0.49670;0.30466;0.19752;0.19752;0.48328;0.44643;0.33786;0.33786;0.19219;0.06478;0.01399;0.01399;0.21151;0.10191;0.05722;0.05722;58.68827;89.48261
32;23.17240;1.35180;21.82061;3.98879;2.29851;0.59445;0.01000;0.01000;0.01000;0.58625;0.65861;0.09000;0.06000;0.29740;0.36054;0.14000;0.01000;0.06799;0.08136;0.34000;0.16000;0.72537;0.49190;0.41708;0.41708;0.72017;0.63062;0.54737;0.54737;0.38339;0.24291;0.12415;0.12415;0.37361;0.35255;0.22726;0.22726;0.11321;0.04858;0.01007;0.01007;0.09421;0.07796;0.03984;0.03984;58.72681;89.22335
33;17.37371;1.47608;15.89763;4.77790;2.93284;0.27307;0.01000;0.01000;0.01000;0.58551;0.63695;0.01000;0.01000;0.29188;0.32480;0.06000;0.01000;0.05843;0.06024;0.10000;0.10000;0.73435;0.48684;0.39171;0.39171;0.74013;0.59024;0.50757;0.50757;0.39116;0.23279;0.10476;0.10476;0.36536;0.30376;0.18595;0.18595;0.08494;0.04453;0.00497;0.00497;0.11158;0.05358;0.02434;0.02434;57.47733;89.65965
34;10.70329;1.34260;9.36069;3.93511;2.24627;0.55187;0.01000;0.01000;0.01000;0.65511;0.68860;0.01000;0.01000;0.36540;0.38113;0.05000;0.03000;0.09023;0.09052;0.08000;0.05000;0.76312;0.57389;0.47503;0.47503;0.75146;0.65834;0.56667;0.56667;0.45414;0.30567;0.15364;0.15364;0.41514;0.36238;0.22688;0.22688;0.11587;0.07389;0.01023;0.01023;0.10266;0.08449;0.03455;0.03455;58.96047;89.03706
