epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.38075;8.80298;7.46269;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;16.83822;19.91975
2;10.19783;8.80298;7.46269;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;16.41484;19.09999
3;6.68255;7.56218;5.50000;0.08475;0.11000;0.11000;0.03000;0.04545;0.03591;0.10000;0.10000;0.00399;0.00258;0.11000;0.11000;0.00000;0.00000;0.01000;0.01000;0.05655;0.03800;0.00327;0.00327;0.27930;0.04156;0.02159;0.02159;0.00596;0.00300;0.00002;0.00002;0.27887;0.00278;0.00098;0.00098;0.00000;0.00000;0.00000;0.00000;0.00746;0.00000;0.00000;0.00000;16.75532;18.21507
4;3.68119;5.76984;3.99254;0.05304;0.18000;0.18000;0.16000;0.36932;0.39431;0.18000;0.18000;0.08767;0.10265;0.18000;0.18000;0.00396;0.00597;0.40000;0.35000;0.40848;0.33700;0.23039;0.23039;0.47065;0.43281;0.35446;0.35446;0.09697;0.08000;0.01950;0.01950;0.17289;0.11624;0.06288;0.06288;0.18182;0.00200;0.00052;0.00052;0.72761;0.00435;0.00439;0.00439;17.03394;18.85187
5;2.49369;4.07119;2.97761;0.39236;0.24000;0.24000;0.17000;0.54290;0.55782;0.24000;0.24000;0.18866;0.22284;0.24000;0.26000;0.01096;0.01645;0.32000;0.32000;0.54481;0.54100;0.44195;0.44195;0.58226;0.63335;0.56566;0.56566;0.18933;0.18800;0.06600;0.06600;0.25856;0.24811;0.15154;0.15154;0.01739;0.00800;0.00025;0.00025;0.08209;0.01351;0.00399;0.00399;17.92618;18.37580
6;2.19421;3.21958;2.38060;0.55170;0.24000;0.24000;0.24000;0.64739;0.68556;0.26000;0.26000;0.25948;0.29242;0.27000;0.27000;0.01785;0.02370;0.32000;0.26000;0.66916;0.62700;0.58750;0.58750;0.71387;0.71963;0.71069;0.71069;0.27835;0.24300;0.10217;0.10217;0.31150;0.29998;0.18191;0.18191;0.02460;0.01400;0.00037;0.00037;0.02651;0.02292;0.00419;0.00419;17.55637;17.66827
7;2.01075;2.75762;2.02239;0.67880;0.26000;0.26000;0.24000;0.64153;0.70059;0.29000;0.29000;0.29740;0.38292;0.29000;0.29000;0.02596;0.03689;0.31000;0.31000;0.68403;0.60400;0.57182;0.57182;0.74640;0.71483;0.71768;0.71768;0.31710;0.28000;0.13945;0.13945;0.39646;0.39643;0.26430;0.26430;0.02979;0.02300;0.00162;0.00162;0.05081;0.03387;0.01081;0.01081;19.95808;16.86668
8;1.91213;2.60310;1.95522;0.75527;0.31000;0.31000;0.24000;0.64507;0.68658;0.29000;0.26000;0.28789;0.32982;0.31000;0.31000;0.02060;0.02171;0.33000;0.34000;0.62453;0.66700;0.55472;0.55472;0.65648;0.78320;0.71201;0.71201;0.29296;0.28300;0.10918;0.10918;0.36413;0.33400;0.21195;0.21195;0.02249;0.01900;0.00053;0.00053;0.05437;0.02048;0.00659;0.00659;19.07420;17.82595
9;1.73432;2.14407;1.50746;0.80841;0.31000;0.32000;0.30000;0.68244;0.73870;0.30000;0.30000;0.33931;0.43503;0.36000;0.36000;0.04457;0.06634;0.38000;0.38000;0.64780;0.72100;0.62448;0.62448;0.70561;0.80757;0.74545;0.74545;0.37187;0.31200;0.15392;0.15392;0.47454;0.42548;0.29637;0.29637;0.05200;0.03900;0.00212;0.00212;0.08641;0.06403;0.01816;0.01816;19.70649;18.74432
10;1.70596;2.06968;1.50746;0.80981;0.33000;0.33000;0.33000;0.66064;0.73639;0.32000;0.28000;0.34639;0.46193;0.32000;0.33000;0.04281;0.06291;0.33000;0.33000;0.66331;0.65800;0.54816;0.54816;0.70607;0.80896;0.72550;0.72550;0.34778;0.34500;0.14886;0.14886;0.48280;0.46966;0.32478;0.32478;0.04366;0.04200;0.00262;0.00262;0.06380;0.06573;0.02121;0.02121;19.68189;17.14028
