epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.38616;9.04301;7.64179;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.81104;20.42188
2;10.26511;9.04301;7.64179;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.48276;16.44243
3;6.83134;7.79447;6.04478;0.03094;0.13000;0.16000;0.26000;0.03187;0.02281;0.11000;0.11000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.03643;0.02832;0.00124;0.00124;0.32312;0.02854;0.01393;0.01393;0.00000;0.00000;0.00000;0.00000;0.00746;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00746;0.00000;0.00000;0.00000;15.03349;17.12125
4;3.49784;5.12165;3.95522;0.19329;0.20000;0.21000;0.17000;0.34568;0.35763;0.21000;0.21000;0.06173;0.05633;0.21000;0.18000;0.00183;0.00136;0.38000;0.36000;0.36522;0.32812;0.19884;0.19884;0.40778;0.38852;0.30038;0.30038;0.06522;0.05859;0.00668;0.00668;0.05807;0.07235;0.02342;0.02342;0.01449;0.00098;0.00001;0.00001;0.57612;0.00124;0.00077;0.00077;17.52411;16.54183
5;2.66415;2.76977;1.99254;0.72140;0.24000;0.25000;0.20000;0.48935;0.50047;0.21000;0.22000;0.09687;0.10014;0.21000;0.19000;0.00795;0.01099;0.20000;0.22000;0.42743;0.57227;0.36313;0.36313;0.47959;0.56255;0.43574;0.43574;0.08461;0.11328;0.01351;0.01351;0.08344;0.13672;0.03079;0.03079;0.00671;0.00977;0.00009;0.00009;0.00991;0.01301;0.00181;0.00181;15.53335;17.58476
6;2.14790;2.92442;2.18657;0.67474;0.23000;0.25000;0.19000;0.62939;0.68692;0.24000;0.24000;0.24265;0.32718;0.23000;0.23000;0.01857;0.03362;0.20000;0.25000;0.63791;0.62109;0.55626;0.55626;0.69128;0.72676;0.68510;0.68510;0.23573;0.25000;0.09669;0.09669;0.31217;0.36266;0.20503;0.20503;0.01636;0.02148;0.00164;0.00164;0.03372;0.03561;0.01063;0.01063;15.52605;17.19393
7;1.91151;2.58584;1.79104;0.74984;0.29000;0.30000;0.28000;0.69189;0.74694;0.31000;0.31000;0.34254;0.42778;0.32000;0.32000;0.03388;0.05435;0.33000;0.33000;0.70558;0.67871;0.64717;0.64717;0.75945;0.77304;0.76224;0.76224;0.35944;0.32715;0.16357;0.16357;0.43683;0.43839;0.28589;0.28589;0.03699;0.03125;0.00155;0.00155;0.05668;0.05333;0.01400;0.01400;17.23402;16.37829
8;1.92405;2.40956;1.61194;0.76077;0.31000;0.29000;0.31000;0.69062;0.74013;0.31000;0.29000;0.32934;0.41507;0.31000;0.31000;0.03752;0.05484;0.36000;0.36000;0.70612;0.67578;0.64107;0.64107;0.72985;0.77908;0.73161;0.73161;0.33673;0.32227;0.17144;0.17144;0.42495;0.41631;0.27236;0.27236;0.04490;0.03223;0.00375;0.00375;0.05860;0.05248;0.02202;0.02202;16.62451;15.26980
9;1.75403;2.21427;1.55970;0.80250;0.31000;0.31000;0.31000;0.69068;0.74721;0.33000;0.33000;0.36336;0.45917;0.33000;0.33000;0.04781;0.06084;0.38000;0.38000;0.73014;0.65527;0.63718;0.63718;0.78021;0.75549;0.76006;0.76006;0.38411;0.34473;0.19252;0.19252;0.47713;0.46972;0.33110;0.33110;0.05933;0.04004;0.00342;0.00342;0.09331;0.05340;0.01632;0.01632;16.38797;16.82995
10;1.84318;2.47223;1.64925;0.76483;0.29000;0.31000;0.28000;0.68317;0.72865;0.31000;0.31000;0.31632;0.38028;0.31000;0.27000;0.03675;0.04667;0.37000;0.26000;0.70785;0.66016;0.64185;0.64185;0.76544;0.72864;0.73733;0.73733;0.32775;0.30566;0.14554;0.14554;0.36724;0.41248;0.23357;0.23357;0.04676;0.03027;0.00259;0.00259;0.04498;0.05057;0.01236;0.01236;16.75045;16.03330
