epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;16.66920;1.86993;14.79926;4.89974;3.23134;0.40304;0.01000;0.01000;0.14000;0.33312;0.42730;0.13000;0.09000;0.07116;0.09954;0.16000;0.01000;0.00455;0.00663;0.44000;0.43000;0.44501;0.26619;0.12725;0.12725;0.49318;0.39494;0.23447;0.23447;0.09556;0.05668;0.00556;0.00556;0.11345;0.09198;0.02479;0.02479;0.00906;0.00304;0.00004;0.00004;0.00808;0.00591;0.00091;0.00091;62.93314;100.37352
2;2.09990;1.83510;0.26480;5.17817;3.48507;0.39215;0.01000;0.01000;0.01000;0.34977;0.44386;0.13000;0.01000;0.08300;0.11402;0.14000;0.14000;0.00265;0.00444;0.16000;0.13000;0.49906;0.26923;0.13490;0.13470;0.52271;0.40898;0.25838;0.25476;0.11887;0.06377;0.00786;0.00786;0.13074;0.10539;0.03667;0.03667;0.00383;0.00202;0.00001;0.00001;0.00560;0.00417;0.00052;0.00052;61.72950;96.67882
3;17.04389;1.72840;15.31550;5.13184;3.38060;0.18596;0.01000;0.01000;0.01000;0.38823;0.45467;0.01000;0.01000;0.10506;0.12517;0.09000;0.13000;0.00415;0.00512;0.15000;0.15000;0.50903;0.31377;0.16002;0.16002;0.52602;0.43357;0.27435;0.27435;0.14311;0.08300;0.01279;0.01279;0.15892;0.11495;0.04631;0.04631;0.00656;0.00304;0.00003;0.00003;0.01430;0.00418;0.00093;0.00093;62.19406;95.14564
4;24.57855;1.49549;23.08306;5.11874;3.14179;0.30305;0.01000;0.01000;0.01000;0.45948;0.58260;0.01000;0.01000;0.16425;0.21028;0.08000;0.01000;0.02208;0.02740;0.08000;0.10000;0.62176;0.36437;0.27185;0.27185;0.65282;0.54839;0.44749;0.44749;0.25813;0.12045;0.03755;0.03755;0.22239;0.20318;0.10820;0.10820;0.03471;0.01619;0.00091;0.00091;0.08520;0.02427;0.01158;0.01158;60.16098;96.55018
5;19.91801;1.55583;18.36217;4.61584;2.88806;0.43588;0.01000;0.01000;0.01000;0.44813;0.49805;0.01000;0.01000;0.16327;0.20308;0.02000;0.02000;0.01783;0.02152;0.04000;0.07000;0.56942;0.36943;0.22712;0.22712;0.56833;0.46533;0.34282;0.34282;0.20986;0.13360;0.03337;0.03337;0.22212;0.19331;0.09246;0.09246;0.02405;0.01417;0.00043;0.00043;0.04142;0.01880;0.00692;0.00692;59.77378;95.37141
6;21.20657;1.57496;19.63161;4.67288;2.77612;0.33000;0.01000;0.01000;0.01000;0.48121;0.53689;0.01000;0.01000;0.16989;0.20262;0.04000;0.02000;0.02211;0.02432;0.07000;0.07000;0.59970;0.40182;0.26107;0.26107;0.60312;0.50857;0.39018;0.39018;0.22186;0.13765;0.03728;0.03728;0.21933;0.19439;0.09643;0.09643;0.03091;0.01721;0.00234;0.00234;0.04970;0.02258;0.01116;0.01116;58.79637;95.50920
7;8.51356;1.59613;6.91743;4.55317;2.68657;0.35585;0.01000;0.01000;0.01000;0.48860;0.50990;0.01000;0.01000;0.19448;0.21082;0.01000;0.01000;0.01880;0.02055;0.05000;0.05000;0.60029;0.41194;0.23112;0.23112;0.58436;0.47463;0.33520;0.33520;0.23894;0.16397;0.03532;0.03532;0.23516;0.19868;0.08869;0.08869;0.02467;0.01518;0.00063;0.00063;0.03795;0.01918;0.00800;0.00800;58.88115;94.63798
8;10.10412;1.57646;8.52766;4.58827;2.81343;0.38327;0.01000;0.01000;0.01000;0.48184;0.52499;0.02000;0.01000;0.21936;0.24486;0.05000;0.05000;0.02866;0.02907;0.08000;0.07000;0.59940;0.40283;0.24700;0.24700;0.60535;0.48537;0.35628;0.35628;0.27795;0.18117;0.04618;0.04618;0.27964;0.22674;0.10156;0.10156;0.03728;0.02328;0.00112;0.00112;0.03416;0.02640;0.00984;0.00984;57.80955;94.61951
9;22.61843;1.49277;21.12567;4.93389;2.95522;0.38322;0.01000;0.01000;0.01000;0.46222;0.56616;0.03000;0.01000;0.19726;0.26262;0.06000;0.03000;0.03717;0.04736;0.12000;0.12000;0.62010;0.36842;0.26478;0.26478;0.62213;0.53643;0.40475;0.40475;0.27808;0.15283;0.05630;0.05630;0.27862;0.25297;0.13074;0.13074;0.06326;0.02632;0.00313;0.00313;0.08060;0.04144;0.01743;0.01743;58.61572;94.30566
10;27.68600;1.46229;26.22371;4.81524;2.90299;0.35114;0.01000;0.01000;0.01000;0.52579;0.60557;0.01000;0.01000;0.24387;0.30756;0.03000;0.01000;0.04645;0.05829;0.03000;0.03000;0.68116;0.42814;0.31243;0.31243;0.68769;0.56380;0.46479;0.46479;0.33630;0.19130;0.07108;0.07108;0.33165;0.29338;0.17049;0.17049;0.06406;0.03644;0.00257;0.00257;0.06354;0.05480;0.02122;0.02122;58.27311;93.12466
