epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;14.82771;2.08317;12.74454;5.07389;3.32331;0.16322;0.05000;0.05000;0.23000;0.30500;0.35207;0.15000;0.14000;0.04493;0.04929;0.22000;0.21000;0.00256;0.00216;0.37000;0.21000;0.38983;0.25050;0.10543;0.10543;0.40583;0.32738;0.18143;0.18143;0.05808;0.03663;0.00215;0.00215;0.05830;0.04493;0.01007;0.01007;0.00362;0.00198;0.00001;0.00001;0.00276;0.00183;0.00045;0.00045;65.58638;105.40429
2;26.89606;1.77191;25.12415;4.49394;2.88722;0.33525;0.01000;0.01000;0.01000;0.35130;0.38870;0.05000;0.01000;0.06202;0.07212;0.09000;0.09000;0.00371;0.00507;0.17000;0.17000;0.42378;0.30000;0.15066;0.15066;0.44275;0.36419;0.21147;0.21147;0.07582;0.05248;0.00707;0.00707;0.08046;0.06769;0.02816;0.02816;0.00495;0.00297;0.00002;0.00002;0.00591;0.00470;0.00089;0.00089;62.81144;100.44980
3;22.62666;1.62710;20.99956;5.18819;3.35338;0.31010;0.01000;0.01000;0.04000;0.41730;0.50779;0.07000;0.02000;0.12516;0.15930;0.09000;0.01000;0.00797;0.01062;0.23000;0.22000;0.58363;0.32475;0.21199;0.21199;0.59562;0.46304;0.34449;0.34449;0.17963;0.09604;0.01920;0.01920;0.18443;0.14570;0.05791;0.05791;0.02041;0.00495;0.00010;0.00010;0.14850;0.00752;0.00312;0.00312;62.51428;100.18428
4;22.76364;1.70825;21.05539;4.74619;3.08271;0.36816;0.01000;0.01000;0.01000;0.38537;0.43634;0.07000;0.07000;0.09046;0.11587;0.09000;0.09000;0.00819;0.00859;0.17000;0.17000;0.50159;0.31287;0.16590;0.16590;0.52071;0.39848;0.25137;0.25137;0.12086;0.07228;0.00962;0.00962;0.12888;0.10976;0.03490;0.03490;0.01319;0.00594;0.00011;0.00011;0.03471;0.00714;0.00211;0.00211;62.22302;99.76808
5;21.45618;1.55241;19.90377;5.13282;3.33835;0.33700;0.01000;0.01000;0.01000;0.43860;0.53086;0.01000;0.01000;0.18388;0.25148;0.08000;0.01000;0.01792;0.02860;0.11000;0.11000;0.59727;0.34653;0.22961;0.22961;0.62241;0.48437;0.36949;0.36949;0.28106;0.13663;0.04463;0.04463;0.27797;0.23505;0.12769;0.12769;0.02948;0.01287;0.00045;0.00045;0.07632;0.02697;0.01002;0.01002;63.52369;99.14472
6;17.43126;1.58661;15.84464;4.81695;3.03759;0.39887;0.01000;0.01000;0.01000;0.46918;0.54895;0.03000;0.01000;0.17960;0.22545;0.04000;0.02000;0.02045;0.02363;0.07000;0.03000;0.64310;0.36931;0.27764;0.27764;0.62080;0.51226;0.40887;0.40887;0.25501;0.13861;0.04197;0.04197;0.24887;0.21249;0.10698;0.10698;0.03282;0.01485;0.00056;0.00056;0.02707;0.02194;0.00720;0.00720;62.76939;99.75386
7;22.03957;1.79060;20.24897;4.32687;2.70677;0.42434;0.01000;0.01000;0.01000;0.45266;0.45937;0.01000;0.01000;0.13721;0.12895;0.02000;0.02000;0.01374;0.01433;0.21000;0.21000;0.54294;0.38812;0.20064;0.20064;0.54364;0.41628;0.27764;0.27764;0.16620;0.11683;0.01967;0.01967;0.15965;0.11256;0.04316;0.04316;0.02242;0.00990;0.00036;0.00036;0.13584;0.01157;0.00522;0.00522;61.53855;99.50647
8;16.56123;1.77173;14.78950;4.35976;2.97744;0.31538;0.01000;0.01000;0.01000;0.33145;0.35989;0.01000;0.01000;0.09788;0.11290;0.04000;0.04000;0.00380;0.00402;0.06000;0.06000;0.38482;0.29109;0.12723;0.12723;0.41040;0.34051;0.19726;0.19726;0.12099;0.08218;0.01282;0.01282;0.13647;0.10250;0.03587;0.03587;0.00529;0.00297;0.00005;0.00005;0.00526;0.00353;0.00175;0.00175;61.05144;98.37064
9;21.09985;1.47422;19.62562;5.40676;3.47368;0.24046;0.01000;0.01000;0.01000;0.44588;0.54770;0.02000;0.01000;0.19067;0.24332;0.04000;0.03000;0.02235;0.02723;0.03000;0.01000;0.64540;0.34059;0.26312;0.26312;0.63516;0.50363;0.41834;0.41834;0.29184;0.14158;0.04679;0.04679;0.28192;0.22717;0.12775;0.12775;0.03327;0.01683;0.00071;0.00071;0.03033;0.02626;0.00969;0.00969;61.89449;97.30773
10;7.65964;1.59968;6.05996;4.73509;3.03759;0.36795;0.01000;0.01000;0.01000;0.47236;0.52415;0.01000;0.01000;0.20860;0.24562;0.04000;0.01000;0.02408;0.02844;0.09000;0.09000;0.60092;0.38911;0.25569;0.25569;0.60543;0.48430;0.37192;0.37192;0.28846;0.16337;0.04552;0.04552;0.27554;0.22871;0.11084;0.11084;0.03711;0.01782;0.00077;0.00077;0.13108;0.02584;0.01034;0.01034;61.03667;97.48941
