epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.38606;8.74771;7.37313;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;15.02830;20.75169
2;10.24713;8.74771;7.37313;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.98076;15.51279
3;6.33521;6.91850;5.23881;0.06848;0.12000;0.12000;0.22000;0.04246;0.03132;0.14000;0.14000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.07059;0.03036;0.00288;0.00288;0.32108;0.03029;0.01744;0.01744;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;14.42539;17.11921
4;3.74939;4.25055;2.85075;0.34478;0.18000;0.19000;0.15000;0.32913;0.31168;0.18000;0.17000;0.05250;0.04570;0.21000;0.21000;0.00302;0.00269;0.25000;0.25000;0.32830;0.32996;0.18352;0.18352;0.28834;0.35760;0.21438;0.21438;0.06615;0.04352;0.00557;0.00557;0.10032;0.04203;0.01801;0.01801;0.00593;0.00202;0.00005;0.00005;0.13788;0.00217;0.00080;0.00080;14.92287;17.53133
5;2.42958;4.19577;2.93284;0.38265;0.25000;0.25000;0.16000;0.56495;0.58963;0.23000;0.22000;0.16438;0.20064;0.23000;0.22000;0.00900;0.01159;0.22000;0.22000;0.52967;0.60526;0.48686;0.48686;0.55326;0.71467;0.61363;0.61363;0.15412;0.17611;0.04429;0.04429;0.19022;0.24221;0.10933;0.10933;0.00810;0.01012;0.00007;0.00007;0.01052;0.01550;0.00152;0.00152;14.33451;17.01322
6;1.97102;2.59592;1.72388;0.70479;0.25000;0.25000;0.24000;0.71049;0.75100;0.25000;0.25000;0.34562;0.42287;0.28000;0.24000;0.03791;0.06273;0.38000;0.38000;0.70448;0.71660;0.65494;0.65494;0.73565;0.80665;0.76372;0.76372;0.37877;0.31781;0.18007;0.18007;0.39647;0.47246;0.30557;0.30557;0.07553;0.02530;0.00387;0.00387;0.19900;0.04959;0.02090;0.02090;16.23460;17.00481
7;1.93630;3.00621;1.97015;0.61527;0.26000;0.27000;0.24000;0.69978;0.76413;0.29000;0.29000;0.37748;0.46127;0.29000;0.29000;0.03683;0.05332;0.33000;0.35000;0.76942;0.64170;0.62801;0.62801;0.80832;0.76676;0.76144;0.76144;0.41505;0.34615;0.20542;0.20542;0.47758;0.47004;0.33343;0.33343;0.04680;0.03036;0.00238;0.00238;0.06780;0.04973;0.01998;0.01998;15.92419;16.07205
8;1.85819;2.41883;1.62687;0.76270;0.29000;0.28000;0.26000;0.73476;0.75960;0.28000;0.28000;0.38703;0.43204;0.29000;0.28000;0.04079;0.04736;0.29000;0.29000;0.73776;0.73178;0.71508;0.71508;0.76865;0.78833;0.77935;0.77935;0.40043;0.37449;0.22795;0.22795;0.44028;0.44256;0.31478;0.31478;0.04221;0.03947;0.00394;0.00394;0.05184;0.04536;0.01769;0.01769;14.85204;18.58462
9;1.82309;3.06643;1.94030;0.58372;0.27000;0.27000;0.26000;0.71179;0.75287;0.29000;0.29000;0.38921;0.44898;0.29000;0.29000;0.05492;0.06449;0.32000;0.32000;0.74529;0.68117;0.66071;0.66071;0.78881;0.76355;0.76362;0.76362;0.40753;0.37247;0.21659;0.21659;0.46793;0.44606;0.31118;0.31118;0.06316;0.04858;0.00389;0.00389;0.07482;0.05999;0.01773;0.01773;15.63029;16.50764
10;1.68759;2.03330;1.35821;0.81377;0.25000;0.25000;0.25000;0.69153;0.76972;0.25000;0.27000;0.41971;0.52238;0.29000;0.27000;0.07198;0.10159;0.26000;0.26000;0.68876;0.69433;0.62978;0.62978;0.79102;0.77304;0.75693;0.75693;0.46333;0.38360;0.24567;0.24567;0.53441;0.52482;0.38657;0.38657;0.07315;0.07085;0.00773;0.00773;0.10227;0.10435;0.03296;0.03296;16.79067;16.03042
11;1.61400;2.07868;1.27612;0.81067;0.29000;0.30000;0.28000;0.73695;0.81128;0.32000;0.32000;0.43679;0.56132;0.35000;0.35000;0.06952;0.10514;0.40000;0.40000;0.77753;0.70040;0.69373;0.69373;0.82908;0.81728;0.81800;0.81800;0.49362;0.39170;0.27966;0.27966;0.58780;0.55087;0.43486;0.43486;0.08989;0.05668;0.00845;0.00845;0.11646;0.09951;0.04216;0.04216;16.39571;18.56636
12;1.92075;2.89493;1.91791;0.64904;0.23000;0.23000;0.20000;0.67438;0.72963;0.26000;0.25000;0.35542;0.40219;0.31000;0.26000;0.03344;0.03973;0.31000;0.32000;0.74002;0.61943;0.62777;0.62777;0.73725;0.75202;0.72934;0.72934;0.45774;0.29049;0.19792;0.19792;0.41479;0.39998;0.27909;0.27909;0.04306;0.02733;0.00215;0.00215;0.04731;0.03555;0.01482;0.01482;14.73530;17.27290
13;1.46861;2.06065;1.27612;0.81014;0.31000;0.31000;0.31000;0.76200;0.80590;0.31000;0.30000;0.52818;0.56044;0.34000;0.31000;0.10363;0.11100;0.40000;0.31000;0.76085;0.76316;0.75817;0.75817;0.79570;0.83911;0.83581;0.83581;0.56229;0.49798;0.38249;0.38249;0.57203;0.56400;0.44604;0.44604;0.12590;0.08806;0.01611;0.01611;0.11617;0.10850;0.04209;0.04209;16.70766;17.82481
14;1.50847;2.73316;1.54478;0.68923;0.29000;0.29000;0.24000;0.77897;0.82713;0.32000;0.32000;0.49224;0.55597;0.36000;0.32000;0.09235;0.12364;0.39000;0.32000;0.82877;0.73482;0.77495;0.77495;0.85415;0.82938;0.85663;0.85663;0.56991;0.43320;0.34125;0.34125;0.57197;0.55322;0.44828;0.44828;0.11550;0.07692;0.01670;0.01670;0.12533;0.12390;0.04718;0.04718;15.18255;17.94618
15;1.52702;3.18345;1.88806;0.57048;0.25000;0.30000;0.25000;0.75658;0.79707;0.31000;0.31000;0.49497;0.55709;0.33000;0.33000;0.09683;0.11714;0.39000;0.39000;0.80641;0.71255;0.73354;0.73354;0.81540;0.81703;0.82906;0.82906;0.55237;0.44838;0.34377;0.34377;0.57544;0.55761;0.45997;0.45997;0.12520;0.07895;0.01426;0.01426;0.15191;0.11029;0.04876;0.04876;16.77205;15.68168
16;1.47382;2.82711;1.63433;0.66579;0.35000;0.35000;0.33000;0.69528;0.76918;0.39000;0.37000;0.46953;0.56126;0.39000;0.36000;0.13145;0.17309;0.48000;0.41000;0.72970;0.66397;0.64516;0.64516;0.76257;0.80507;0.75993;0.75993;0.49277;0.44838;0.32828;0.32828;0.55349;0.58312;0.44969;0.44969;0.16719;0.10830;0.03223;0.03223;0.18055;0.17149;0.08572;0.08572;16.64837;17.19065
17;1.53562;2.03880;1.24627;0.81808;0.26000;0.26000;0.24000;0.77156;0.82293;0.29000;0.28000;0.49658;0.54169;0.36000;0.28000;0.07552;0.08883;0.43000;0.40000;0.79784;0.74696;0.75268;0.75268;0.82560;0.83623;0.83052;0.83052;0.56937;0.44028;0.32068;0.32068;0.54121;0.55129;0.41537;0.41537;0.09983;0.06073;0.00748;0.00748;0.09766;0.08307;0.03085;0.03085;16.55085;16.86863
18;1.28954;3.42074;1.85075;0.50280;0.26000;0.26000;0.26000;0.78251;0.82682;0.32000;0.31000;0.61785;0.68242;0.35000;0.35000;0.17884;0.20231;0.43000;0.43000;0.85036;0.72470;0.79682;0.79682;0.85643;0.83836;0.87699;0.87699;0.71053;0.54656;0.52695;0.52695;0.72651;0.66384;0.63555;0.63555;0.23667;0.14372;0.05562;0.05562;0.24040;0.18814;0.11207;0.11207;15.90419;16.91285
19;1.64169;2.60310;1.48507;0.69908;0.29000;0.31000;0.29000;0.69095;0.74944;0.36000;0.37000;0.39123;0.45031;0.39000;0.37000;0.05789;0.06888;0.41000;0.43000;0.75971;0.63360;0.63756;0.63756;0.78982;0.74113;0.75128;0.75128;0.45503;0.34312;0.22888;0.22888;0.47604;0.44231;0.32777;0.32777;0.06950;0.04960;0.00474;0.00474;0.08237;0.06512;0.02219;0.02219;16.14340;17.72831
20;1.32604;3.42728;1.81343;0.49931;0.28000;0.26000;0.28000;0.78669;0.83505;0.27000;0.27000;0.58083;0.65113;0.35000;0.29000;0.15215;0.19451;0.41000;0.40000;0.82230;0.75405;0.76988;0.76988;0.84615;0.85944;0.86281;0.86281;0.67608;0.50911;0.46793;0.46793;0.66261;0.65305;0.58298;0.58298;0.19315;0.12551;0.03516;0.03516;0.21601;0.18587;0.09326;0.09326;15.28726;17.20299
21;1.34652;2.24273;1.32836;0.78944;0.37000;0.38000;0.38000;0.80428;0.84194;0.40000;0.41000;0.56618;0.59772;0.41000;0.41000;0.13364;0.14490;0.47000;0.41000;0.85261;0.76113;0.78071;0.78071;0.88486;0.82424;0.85498;0.85498;0.60718;0.53036;0.41700;0.41700;0.62487;0.58381;0.47788;0.47788;0.15508;0.11741;0.02484;0.02484;0.14984;0.14159;0.05266;0.05266;13.98440;18.30599
22;1.36973;3.09188;1.81343;0.57521;0.31000;0.31000;0.29000;0.79355;0.82661;0.34000;0.34000;0.58537;0.62812;0.42000;0.42000;0.13764;0.14014;0.47000;0.45000;0.81604;0.77227;0.79459;0.79459;0.83475;0.85830;0.86245;0.86245;0.66581;0.52227;0.47514;0.47514;0.67287;0.60216;0.54525;0.54525;0.16837;0.11640;0.02957;0.02957;0.15124;0.13262;0.05958;0.05958;16.69907;16.15265
23;1.41928;3.13383;1.88060;0.56317;0.27000;0.27000;0.26000;0.77163;0.81075;0.31000;0.33000;0.52791;0.56891;0.38000;0.38000;0.10973;0.12999;0.39000;0.36000;0.82245;0.72672;0.76305;0.76305;0.84580;0.81881;0.84741;0.84741;0.62022;0.45951;0.40679;0.40679;0.60341;0.55297;0.48484;0.48484;0.13154;0.09413;0.02506;0.02506;0.13360;0.12839;0.06624;0.06624;18.40631;16.04541
24;1.36545;2.37995;1.32090;0.76576;0.25000;0.34000;0.24000;0.77665;0.83747;0.35000;0.35000;0.53590;0.61390;0.45000;0.35000;0.13904;0.17532;0.51000;0.46000;0.82480;0.73381;0.74567;0.74567;0.85166;0.84419;0.84950;0.84950;0.63310;0.46457;0.39181;0.39181;0.61668;0.61805;0.52454;0.52454;0.17978;0.11336;0.02629;0.02629;0.20887;0.16895;0.08201;0.08201;16.38677;18.04920
25;1.40012;2.75897;1.51493;0.67369;0.23000;0.22000;0.18000;0.77574;0.82778;0.25000;0.25000;0.54155;0.60697;0.31000;0.25000;0.14679;0.16913;0.46000;0.28000;0.80216;0.75101;0.76636;0.76636;0.83313;0.85128;0.85183;0.85183;0.61332;0.48482;0.39867;0.39867;0.60825;0.61588;0.48001;0.48001;0.20818;0.11336;0.03671;0.03671;0.17236;0.16764;0.07923;0.07923;17.24808;16.64350
26;1.47377;3.07736;1.80597;0.57956;0.25000;0.29000;0.25000;0.73173;0.78761;0.34000;0.34000;0.48223;0.54680;0.40000;0.39000;0.08610;0.10368;0.45000;0.39000;0.81491;0.66397;0.69933;0.69933;0.83185;0.77609;0.80326;0.80326;0.58143;0.41194;0.33531;0.33531;0.59188;0.52522;0.44678;0.44678;0.10972;0.07085;0.01435;0.01435;0.11647;0.09980;0.04498;0.04498;17.02748;16.55763
27;1.34283;2.51711;1.55970;0.73182;0.23000;0.23000;0.21000;0.77357;0.82386;0.29000;0.29000;0.55192;0.61431;0.36000;0.30000;0.14559;0.16161;0.44000;0.38000;0.81665;0.73482;0.75604;0.75604;0.83391;0.84402;0.84741;0.84741;0.63709;0.48684;0.42018;0.42018;0.62041;0.61980;0.51626;0.51626;0.18641;0.11943;0.03316;0.03316;0.16992;0.15623;0.07839;0.07839;18.57042;16.30243
28;1.57925;3.61485;2.08209;0.43579;0.28000;0.31000;0.24000;0.72157;0.78480;0.38000;0.38000;0.49517;0.56433;0.48000;0.46000;0.12565;0.14631;0.56000;0.51000;0.80803;0.65182;0.67070;0.67070;0.80244;0.79629;0.79215;0.79215;0.61377;0.41498;0.33940;0.33940;0.60154;0.55288;0.45782;0.45782;0.17446;0.09818;0.02369;0.02369;0.16946;0.14053;0.06404;0.06404;17.50707;16.15356
29;1.38683;2.57861;1.49254;0.71323;0.26000;0.27000;0.23000;0.76442;0.80689;0.36000;0.35000;0.51675;0.56057;0.40000;0.37000;0.11978;0.11068;0.58000;0.57000;0.83553;0.70445;0.74705;0.74705;0.82933;0.81363;0.81758;0.81758;0.58862;0.46053;0.36993;0.36993;0.57860;0.55297;0.43960;0.43960;0.17871;0.09008;0.02156;0.02156;0.17612;0.09830;0.04780;0.04780;17.49514;15.18066
30;1.33889;2.80458;1.63433;0.65044;0.23000;0.27000;0.23000;0.73915;0.79423;0.32000;0.32000;0.52194;0.61754;0.36000;0.37000;0.17216;0.21079;0.57000;0.48000;0.80792;0.68117;0.72602;0.72602;0.81479;0.80520;0.82852;0.82852;0.59713;0.46356;0.38995;0.38995;0.64358;0.60909;0.53739;0.53739;0.25651;0.12955;0.04815;0.04815;0.23532;0.20228;0.11949;0.11949;18.33112;16.01464
31;1.55829;3.04567;1.76866;0.58460;0.14000;0.14000;0.14000;0.74286;0.80813;0.17000;0.17000;0.47275;0.59986;0.25000;0.23000;0.09449;0.12699;0.35000;0.18000;0.79469;0.69737;0.72318;0.72318;0.82946;0.81784;0.82678;0.82678;0.57000;0.40385;0.32961;0.32961;0.62784;0.58829;0.49894;0.49894;0.13433;0.07287;0.01602;0.01602;0.12824;0.12707;0.06331;0.06331;16.93003;16.16595
32;1.29882;2.92952;1.72388;0.64859;0.16000;0.19000;0.14000;0.77998;0.82804;0.25000;0.25000;0.57160;0.66507;0.35000;0.27000;0.18844;0.24927;0.40000;0.40000;0.85422;0.71761;0.77159;0.77159;0.85463;0.83144;0.86695;0.86695;0.70475;0.48077;0.44354;0.44354;0.67937;0.66551;0.60063;0.60063;0.24834;0.15182;0.05406;0.05406;0.29807;0.23755;0.13750;0.13750;17.06183;17.21840
33;1.37430;1.96803;1.20149;0.85176;0.15000;0.17000;0.15000;0.79861;0.83883;0.17000;0.20000;0.55008;0.59639;0.25000;0.22000;0.09765;0.10670;0.31000;0.30000;0.78495;0.81275;0.80507;0.80507;0.84340;0.85600;0.86364;0.86364;0.60684;0.50304;0.42937;0.42937;0.61181;0.59499;0.50540;0.50540;0.11657;0.08401;0.01763;0.01763;0.12675;0.09906;0.04726;0.04726;18.14639;15.77156
34;1.65367;3.54607;2.06716;0.46304;0.26000;0.34000;0.20000;0.73800;0.78137;0.39000;0.39000;0.48350;0.53359;0.51000;0.41000;0.10533;0.12709;0.51000;0.51000;0.86100;0.64575;0.69723;0.69621;0.83608;0.76649;0.79034;0.78909;0.64796;0.38563;0.33296;0.33195;0.56894;0.52415;0.42935;0.42810;0.14116;0.08401;0.01910;0.01910;0.15734;0.12183;0.06083;0.06083;18.71426;15.93138
