epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.29837;9.34936;7.93284;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;13.89113;18.18438
2;10.14072;9.34936;7.93284;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;13.98887;17.85324
3;6.30162;7.63535;5.68657;0.06597;0.13000;0.13000;0.21000;0.04875;0.03772;0.11000;0.13000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.05583;0.04327;0.00443;0.00443;0.34119;0.03923;0.02480;0.02480;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;15.73441;16.54439
4;3.82165;4.28639;3.13433;0.41978;0.16000;0.16000;0.14000;0.26402;0.26986;0.16000;0.16000;0.03345;0.03783;0.18000;0.18000;0.00266;0.00315;0.20000;0.20000;0.27164;0.25682;0.11018;0.11018;0.31018;0.29473;0.17380;0.17380;0.04322;0.02728;0.00180;0.00180;0.08441;0.03384;0.01222;0.01222;0.00457;0.00188;0.00002;0.00002;0.09453;0.00231;0.00079;0.00079;15.17289;16.90043
5;2.41704;3.95308;2.89552;0.51360;0.24000;0.25000;0.21000;0.54570;0.58944;0.24000;0.24000;0.16651;0.20235;0.25000;0.25000;0.00887;0.01125;0.26000;0.37000;0.52572;0.56726;0.41719;0.41719;0.56586;0.67779;0.55296;0.55296;0.16843;0.16463;0.04678;0.04678;0.19279;0.23129;0.11024;0.11024;0.00932;0.00847;0.00014;0.00014;0.15846;0.00891;0.00333;0.00333;15.46383;17.68841
6;2.08029;2.76843;1.85821;0.70709;0.29000;0.29000;0.21000;0.65262;0.71534;0.27000;0.27000;0.28059;0.37341;0.27000;0.29000;0.02048;0.03390;0.28000;0.29000;0.62329;0.68485;0.58652;0.58652;0.68437;0.79050;0.70844;0.70844;0.26798;0.29445;0.14110;0.14110;0.36769;0.39921;0.25902;0.25902;0.02028;0.02070;0.00085;0.00085;0.03289;0.03558;0.01051;0.01051;16.03563;16.89154
7;1.96501;2.61597;1.68657;0.75851;0.23000;0.22000;0.20000;0.68503;0.74417;0.22000;0.22000;0.29568;0.37385;0.22000;0.22000;0.03371;0.04363;0.30000;0.24000;0.66906;0.70179;0.63658;0.63658;0.72727;0.79449;0.75191;0.75191;0.28879;0.30292;0.13072;0.13072;0.36659;0.39635;0.22746;0.22746;0.04682;0.02634;0.00207;0.00207;0.04497;0.04392;0.01279;0.01279;16.34910;17.19256
8;1.85224;2.26755;1.51493;0.80787;0.27000;0.28000;0.22000;0.67872;0.73727;0.26000;0.27000;0.30456;0.38956;0.26000;0.26000;0.02982;0.04438;0.26000;0.29000;0.65304;0.70649;0.62095;0.62095;0.73011;0.77095;0.73957;0.73957;0.29304;0.31703;0.13144;0.13144;0.37448;0.41616;0.24188;0.24188;0.02870;0.03104;0.00210;0.00210;0.04558;0.04432;0.01477;0.01477;15.04723;16.94179
9;1.71077;2.10720;1.45522;0.81931;0.33000;0.33000;0.33000;0.71964;0.77792;0.35000;0.35000;0.39388;0.50208;0.35000;0.35000;0.05342;0.07479;0.37000;0.37000;0.75701;0.68579;0.67718;0.67718;0.81810;0.76900;0.79145;0.79145;0.41433;0.37535;0.20447;0.20447;0.52480;0.49904;0.35754;0.35754;0.05882;0.04892;0.00319;0.00319;0.07716;0.07549;0.01930;0.01930;15.25025;16.89697
10;1.57572;2.00745;1.31343;0.83769;0.37000;0.37000;0.35000;0.74458;0.80124;0.37000;0.39000;0.41806;0.51213;0.39000;0.39000;0.06614;0.09345;0.43000;0.42000;0.74599;0.74318;0.73341;0.73341;0.82696;0.79787;0.82258;0.82258;0.43692;0.40075;0.24396;0.24396;0.52518;0.51070;0.36966;0.36966;0.07482;0.05927;0.00665;0.00665;0.10050;0.08982;0.03105;0.03105;15.83807;17.32524
