epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;15.30665;1.98076;13.32589;5.45487;3.48889;0.19780;0.01000;0.01000;0.01000;0.27834;0.32163;0.10000;0.10000;0.04695;0.05698;0.17000;0.17000;0.00178;0.00212;0.55000;0.45000;0.38502;0.21795;0.08147;0.08147;0.38903;0.29311;0.14230;0.14230;0.06584;0.03649;0.00222;0.00222;0.06675;0.05184;0.00932;0.00932;0.00909;0.00099;0.00001;0.00001;0.02963;0.00123;0.00052;0.00052;63.59348;101.60201
2;23.77495;1.77027;22.00469;5.62402;3.86667;0.19947;0.01000;0.01000;0.01000;0.30577;0.39800;0.10000;0.08000;0.07347;0.10877;0.16000;0.16000;0.00298;0.00395;0.28000;0.27000;0.45686;0.22978;0.09119;0.09119;0.49289;0.36449;0.18633;0.18633;0.11842;0.05325;0.00533;0.00533;0.12815;0.10111;0.02107;0.02107;0.00608;0.00197;0.00001;0.00001;0.02000;0.00333;0.00030;0.00030;62.45463;98.19627
3;15.71923;1.96588;13.75335;4.57611;2.95556;0.49818;0.01000;0.01000;0.01000;0.34065;0.36907;0.01000;0.01000;0.07240;0.07809;0.01000;0.13000;0.00883;0.00638;0.13000;0.13000;0.42772;0.28304;0.13162;0.13162;0.43658;0.33818;0.20398;0.20398;0.09091;0.06016;0.00647;0.00647;0.10532;0.06858;0.02491;0.02491;0.01224;0.00690;0.00006;0.00006;0.01025;0.00508;0.00057;0.00057;60.53439;98.04671
4;21.77651;1.64646;20.13005;5.52704;3.49630;0.21894;0.01000;0.01000;0.01000;0.42625;0.51584;0.07000;0.01000;0.18064;0.23544;0.07000;0.04000;0.01716;0.02634;0.17000;0.08000;0.62476;0.32347;0.23021;0.23021;0.59183;0.47658;0.36994;0.36994;0.26476;0.13708;0.04923;0.04923;0.25921;0.22035;0.12413;0.12413;0.03117;0.01183;0.00059;0.00059;0.02790;0.02538;0.01045;0.01045;61.37655;96.92613
5;28.03268;1.77453;26.25815;4.68805;2.94074;0.48132;0.01000;0.01000;0.01000;0.43859;0.48075;0.02000;0.02000;0.13301;0.15354;0.02000;0.02000;0.01404;0.01943;0.13000;0.13000;0.55878;0.36095;0.20965;0.20965;0.55847;0.44270;0.31698;0.31698;0.16947;0.10947;0.01850;0.01850;0.17169;0.14352;0.05605;0.05605;0.02433;0.00986;0.00038;0.00038;0.11370;0.01698;0.00695;0.00695;59.74243;96.76482
6;11.72411;1.53922;10.18489;5.42286;3.52593;0.33479;0.01000;0.01000;0.01000;0.42985;0.50150;0.01000;0.01000;0.18492;0.22909;0.04000;0.02000;0.02334;0.03330;0.18000;0.16000;0.60830;0.33235;0.21580;0.21580;0.62046;0.44882;0.34723;0.34723;0.27593;0.13905;0.04049;0.04049;0.27212;0.20713;0.11333;0.11333;0.04482;0.01578;0.00055;0.00055;0.19407;0.02767;0.00902;0.00902;59.83962;95.56342
7;19.57432;1.54574;18.02858;5.00666;3.11111;0.36183;0.01000;0.01000;0.01000;0.47131;0.54427;0.04000;0.02000;0.19097;0.23252;0.09000;0.03000;0.02085;0.02670;0.10000;0.10000;0.62932;0.37673;0.25562;0.25562;0.62597;0.50451;0.40452;0.40452;0.27612;0.14596;0.03845;0.03845;0.25656;0.21941;0.11097;0.11097;0.03071;0.01578;0.00047;0.00047;0.08198;0.02458;0.00841;0.00841;60.26056;94.61603
8;25.70680;1.57052;24.13628;4.82279;2.90370;0.36145;0.01000;0.01000;0.01000;0.51132;0.54363;0.01000;0.01000;0.20686;0.21980;0.02000;0.01000;0.03028;0.03572;0.06000;0.06000;0.64608;0.42308;0.27976;0.27976;0.63158;0.50286;0.38152;0.38152;0.26502;0.16963;0.04507;0.04507;0.25598;0.20148;0.09938;0.09938;0.04203;0.02367;0.00096;0.00096;0.05718;0.03241;0.00917;0.00917;60.08289;94.36733
9;16.28833;1.37232;14.91601;5.04425;3.08889;0.37861;0.01000;0.01000;0.01000;0.49197;0.58361;0.03000;0.01000;0.26430;0.32999;0.14000;0.04000;0.03495;0.04594;0.11000;0.07000;0.65894;0.39250;0.30340;0.30340;0.65781;0.54843;0.46731;0.46731;0.39645;0.19822;0.08270;0.08270;0.35689;0.31387;0.19880;0.19880;0.05085;0.02663;0.00200;0.00200;0.06407;0.04378;0.02067;0.02067;59.90690;94.77529
10;16.82899;1.64335;15.18564;4.89293;3.06667;0.28897;0.01000;0.01000;0.01000;0.47687;0.50707;0.01000;0.01000;0.16845;0.18018;0.01000;0.01000;0.01696;0.01694;0.02000;0.02000;0.59821;0.39645;0.25391;0.25391;0.59740;0.46788;0.34614;0.34614;0.21131;0.14004;0.03067;0.03067;0.21380;0.16406;0.07096;0.07096;0.02198;0.01381;0.00028;0.00028;0.02069;0.01530;0.00270;0.00270;58.95910;95.28702
11;19.94272;1.50719;18.43554;4.59065;2.80741;0.51557;0.01000;0.01000;0.01000;0.53586;0.58527;0.01000;0.01000;0.22571;0.24923;0.07000;0.03000;0.04354;0.05438;0.13000;0.13000;0.67162;0.44576;0.31617;0.31617;0.66490;0.54615;0.43480;0.43480;0.30981;0.17751;0.05215;0.05215;0.27604;0.23378;0.11560;0.11560;0.06574;0.03254;0.00181;0.00181;0.11949;0.04902;0.01659;0.01659;58.82825;95.30534
12;10.43015;1.32875;9.10140;4.97475;3.02963;0.41141;0.01000;0.01000;0.01000;0.53629;0.62444;0.02000;0.01000;0.28366;0.34528;0.09000;0.03000;0.05326;0.06815;0.12000;0.12000;0.71242;0.42998;0.33820;0.33820;0.71673;0.57905;0.49135;0.49135;0.42054;0.21400;0.09523;0.09523;0.38129;0.32400;0.20365;0.20365;0.08197;0.03945;0.00313;0.00313;0.12852;0.06287;0.02346;0.02346;58.45015;95.06036
13;6.97515;1.42676;5.54840;4.72033;2.87407;0.42590;0.01000;0.01000;0.01000;0.55000;0.57370;0.01000;0.01000;0.24286;0.25829;0.01000;0.01000;0.03484;0.04187;0.14000;0.14000;0.69369;0.45562;0.30459;0.30459;0.68124;0.52427;0.39891;0.39891;0.30631;0.20118;0.05809;0.05809;0.30790;0.23448;0.11066;0.11066;0.05037;0.02663;0.00129;0.00129;0.07858;0.03832;0.01150;0.01150;57.51107;94.86867
14;23.98187;1.42032;22.56155;4.74303;2.92593;0.57599;0.02000;0.02000;0.02000;0.48150;0.58585;0.02000;0.02000;0.24480;0.32856;0.05000;0.05000;0.03388;0.04442;0.09000;0.09000;0.62520;0.39152;0.28251;0.28251;0.66115;0.54823;0.42805;0.42805;0.32258;0.19724;0.08163;0.08163;0.35865;0.31193;0.17471;0.17471;0.04990;0.02564;0.00232;0.00232;0.05296;0.03955;0.01390;0.01390;58.40163;94.53571
15;18.89907;1.29061;17.60847;5.10192;3.11111;0.28621;0.01000;0.01000;0.01000;0.52375;0.60282;0.01000;0.01000;0.28173;0.34636;0.06000;0.01000;0.06606;0.08215;0.10000;0.13000;0.68471;0.42406;0.34090;0.34090;0.68049;0.56935;0.49039;0.49039;0.39502;0.21893;0.09560;0.09560;0.37345;0.33176;0.20791;0.20791;0.09623;0.05030;0.00532;0.00532;0.14501;0.07532;0.03137;0.03137;59.12775;93.35387
16;8.68000;1.40417;7.27583;4.44972;2.70370;0.50495;0.01000;0.01000;0.01000;0.55743;0.58407;0.01000;0.01000;0.25423;0.27456;0.01000;0.01000;0.02998;0.03050;0.27000;0.27000;0.68188;0.47140;0.32722;0.32722;0.67011;0.54276;0.41770;0.41770;0.31098;0.21499;0.07080;0.07080;0.30939;0.25663;0.13277;0.13277;0.04089;0.02367;0.00126;0.00126;0.05899;0.02695;0.00909;0.00909;58.78147;94.38412
17;23.63861;1.23776;22.40085;4.59629;2.77037;0.47105;0.01000;0.01000;0.04000;0.57466;0.64863;0.09000;0.07000;0.26319;0.32277;0.13000;0.11000;0.05312;0.06278;0.37000;0.15000;0.72414;0.47633;0.38083;0.38083;0.73320;0.60989;0.51744;0.51744;0.34173;0.21400;0.09757;0.09757;0.34681;0.30871;0.19041;0.19041;0.08130;0.03945;0.00452;0.00452;0.06941;0.05955;0.02567;0.02567;58.51756;94.33799
18;10.63830;1.40341;9.23489;4.31191;2.59259;0.54133;0.01000;0.01000;0.02000;0.59677;0.61905;0.01000;0.01000;0.26551;0.27461;0.04000;0.04000;0.04363;0.04152;0.08000;0.08000;0.71745;0.51085;0.35801;0.35702;0.70692;0.57502;0.45900;0.45794;0.32208;0.22584;0.07038;0.07038;0.31135;0.25447;0.12493;0.12493;0.05425;0.03649;0.00220;0.00220;0.04785;0.03783;0.01138;0.01138;56.83584;93.53879
19;16.00378;1.32335;14.68043;4.56476;2.67407;0.50018;0.01000;0.01000;0.01000;0.60792;0.64897;0.03000;0.03000;0.26932;0.29833;0.09000;0.04000;0.03731;0.04761;0.29000;0.08000;0.75923;0.50690;0.39468;0.39468;0.74634;0.60213;0.49810;0.49810;0.34735;0.21992;0.07705;0.07705;0.33071;0.28128;0.14454;0.14454;0.05749;0.02761;0.00163;0.00163;0.05065;0.04585;0.01452;0.01452;57.06091;93.94411
20;39.53036;1.29815;38.23221;4.76873;2.88889;0.48527;0.01000;0.01000;0.01000;0.58646;0.66415;0.01000;0.01000;0.31681;0.39119;0.01000;0.01000;0.06419;0.08914;0.20000;0.20000;0.75781;0.47830;0.40584;0.40584;0.77097;0.61078;0.53858;0.53858;0.40937;0.25838;0.14139;0.14139;0.43449;0.36624;0.24788;0.24788;0.11598;0.04438;0.00988;0.00988;0.19383;0.07570;0.04336;0.04336;56.68432;93.35377
21;11.49850;1.44678;10.05172;4.71954;2.91111;0.44665;0.01000;0.01000;0.01000;0.52657;0.58283;0.01000;0.01000;0.22370;0.27120;0.04000;0.03000;0.04283;0.05309;0.20000;0.20000;0.66717;0.43491;0.33382;0.33382;0.66969;0.53974;0.43311;0.43311;0.28906;0.18245;0.07102;0.07102;0.30091;0.25416;0.13591;0.13591;0.07752;0.02959;0.00298;0.00298;0.11111;0.04385;0.01923;0.01923;55.63464;93.33765
22;21.12262;1.51399;19.60863;4.36484;2.66667;0.44541;0.01000;0.01000;0.01000;0.50976;0.52253;0.01000;0.01000;0.19288;0.18727;0.01000;0.01000;0.03052;0.03172;0.12000;0.03000;0.60989;0.43787;0.30377;0.30377;0.60233;0.48504;0.35326;0.35326;0.23077;0.16568;0.05807;0.05807;0.21800;0.17051;0.07846;0.07846;0.04665;0.02268;0.00243;0.00243;0.03546;0.02948;0.01209;0.01209;56.30891;92.37207
23;30.09086;1.35289;28.73797;4.59468;2.80000;0.56789;0.01000;0.01000;0.01000;0.51893;0.62134;0.04000;0.01000;0.32089;0.40153;0.08000;0.02000;0.05567;0.07281;0.09000;0.09000;0.70017;0.41223;0.35815;0.35815;0.68777;0.58641;0.51850;0.51850;0.47758;0.24162;0.15552;0.15552;0.43124;0.38377;0.28252;0.28252;0.08485;0.04142;0.00630;0.00630;0.13204;0.06857;0.03544;0.03544;58.61028;92.02675
24;6.82214;1.38112;5.44102;4.60274;2.72593;0.40674;0.01000;0.01000;0.01000;0.58568;0.64003;0.01000;0.01000;0.29681;0.34398;0.06000;0.01000;0.05450;0.06953;0.07000;0.07000;0.72319;0.49211;0.37795;0.37795;0.71376;0.60216;0.50188;0.50188;0.40652;0.23373;0.09998;0.09998;0.36775;0.33129;0.20507;0.20507;0.07624;0.04241;0.00356;0.00356;0.12587;0.06656;0.02637;0.02637;57.10610;92.16354
25;6.82106;1.43655;5.38451;4.17044;2.42963;0.59870;0.01000;0.01000;0.01000;0.59384;0.63143;0.02000;0.01000;0.27910;0.30643;0.09000;0.05000;0.04407;0.05069;0.17000;0.17000;0.72277;0.50394;0.38790;0.38790;0.70576;0.59272;0.48693;0.48693;0.36523;0.22584;0.08872;0.08872;0.33311;0.29197;0.16361;0.16361;0.06427;0.03353;0.00224;0.00224;0.09695;0.04572;0.01521;0.01521;56.94658;92.61258
