epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;24.25045;1.81839;22.43206;5.28868;3.49254;0.25216;0.01000;0.01000;0.08000;0.31663;0.37445;0.01000;0.01000;0.05172;0.06438;0.13000;0.11000;0.00255;0.00301;0.25000;0.01000;0.42320;0.25293;0.12134;0.12134;0.43263;0.35204;0.20104;0.20104;0.07000;0.04102;0.00374;0.00374;0.07010;0.06141;0.02100;0.02100;0.00368;0.00195;0.00014;0.00014;0.00311;0.00293;0.00180;0.00180;64.20288;103.50439
2;20.27579;1.76703;18.50876;5.64629;3.79104;0.27375;0.01000;0.01000;0.01000;0.29716;0.39128;0.06000;0.06000;0.06996;0.10460;0.19000;0.05000;0.00170;0.00213;0.35000;0.27000;0.43893;0.22461;0.10444;0.10444;0.47415;0.35088;0.21698;0.21698;0.11751;0.04980;0.00652;0.00652;0.12600;0.09352;0.03865;0.03865;0.00645;0.00098;0.00001;0.00001;0.08209;0.00124;0.00035;0.00035;62.99216;99.52815
3;16.35465;1.73470;14.61995;5.26747;3.40299;0.23139;0.01000;0.01000;0.02000;0.39903;0.43532;0.01000;0.01000;0.09342;0.10778;0.07000;0.07000;0.00636;0.00559;0.12000;0.12000;0.52903;0.32031;0.16136;0.16136;0.52706;0.39292;0.24576;0.24576;0.12604;0.07422;0.00965;0.00965;0.12916;0.09756;0.03206;0.03206;0.00911;0.00488;0.00004;0.00004;0.00796;0.00457;0.00040;0.00040;61.92880;99.01751
4;1.86792;1.69267;0.17525;5.95380;3.86567;0.12621;0.01000;0.01000;0.01000;0.36616;0.45999;0.03000;0.01000;0.11413;0.15259;0.15000;0.13000;0.01359;0.01998;0.15000;0.14000;0.51786;0.28320;0.15470;0.15470;0.57359;0.40705;0.29197;0.29197;0.18750;0.08203;0.01510;0.01510;0.20348;0.13134;0.05794;0.05794;0.02232;0.00977;0.00018;0.00018;0.04129;0.01734;0.00305;0.00305;62.46939;99.43444
5;1.74781;1.59037;0.15745;4.97531;3.18657;0.42902;0.01000;0.01000;0.01000;0.41745;0.48794;0.04000;0.02000;0.15365;0.19750;0.06000;0.03000;0.00803;0.00813;0.11000;0.07000;0.57659;0.32715;0.21409;0.21409;0.57292;0.44610;0.33423;0.33423;0.21960;0.11816;0.03065;0.03065;0.22353;0.18340;0.08952;0.08952;0.01277;0.00586;0.00011;0.00011;0.01816;0.00698;0.00239;0.00239;61.78757;98.31971
6;14.79049;1.52234;13.26815;5.54695;3.52985;0.17428;0.03000;0.03000;0.24000;0.42529;0.50331;0.05000;0.02000;0.16787;0.21097;0.07000;0.07000;0.01593;0.01885;0.08000;0.12000;0.61439;0.32520;0.23077;0.23077;0.59694;0.46336;0.36457;0.36457;0.25549;0.12500;0.04066;0.04066;0.26370;0.19337;0.10582;0.10582;0.02484;0.01172;0.00042;0.00042;0.11206;0.01661;0.00690;0.00690;62.14842;98.58328
7;17.39382;1.48911;15.90471;5.47723;3.61194;0.34173;0.01000;0.01000;0.01000;0.40661;0.49201;0.01000;0.01000;0.14829;0.19765;0.02000;0.01000;0.02637;0.03431;0.15000;0.15000;0.58182;0.31250;0.20103;0.20103;0.60306;0.44073;0.34014;0.34014;0.21822;0.11230;0.02685;0.02685;0.22841;0.18088;0.08940;0.08940;0.05279;0.01758;0.00107;0.00107;0.17289;0.02952;0.01237;0.01237;62.08839;98.35148
8;15.34399;1.53832;13.80567;4.93313;3.02239;0.33506;0.01000;0.01000;0.01000;0.47052;0.50006;0.01000;0.01000;0.18344;0.19506;0.01000;0.01000;0.02107;0.01795;0.07000;0.07000;0.60305;0.38574;0.23814;0.23814;0.59122;0.45661;0.33241;0.33241;0.23511;0.15039;0.03555;0.03555;0.22900;0.17803;0.07473;0.07473;0.02881;0.01660;0.00055;0.00055;0.03037;0.01544;0.00373;0.00373;61.07235;98.13895
9;11.17723;1.90332;9.27391;4.26107;2.69403;0.50927;0.01000;0.01000;0.01000;0.40595;0.34427;0.01000;0.01000;0.12922;0.09757;0.01000;0.01000;0.01821;0.01375;0.37000;0.20000;0.48966;0.34668;0.18142;0.18142;0.42313;0.30564;0.16960;0.16960;0.15586;0.11035;0.02659;0.02659;0.12583;0.08270;0.03098;0.03098;0.05978;0.01074;0.00096;0.00096;0.06822;0.01023;0.00530;0.00530;59.84835;98.12350
10;11.69174;1.58726;10.10448;4.63761;2.98507;0.35225;0.01000;0.01000;0.01000;0.44016;0.47387;0.03000;0.01000;0.16040;0.17347;0.13000;0.07000;0.01575;0.01333;0.18000;0.18000;0.54717;0.36816;0.21946;0.21946;0.53824;0.44516;0.30947;0.30947;0.22378;0.12500;0.02831;0.02831;0.20588;0.16117;0.06620;0.06620;0.02400;0.01172;0.00039;0.00039;0.07108;0.01091;0.00263;0.00263;59.94270;97.87273
11;24.69724;1.75570;22.94153;5.22623;3.31343;0.21987;0.01000;0.01000;0.01000;0.38889;0.40536;0.01000;0.02000;0.13342;0.13032;0.06000;0.06000;0.02154;0.02149;0.20000;0.20000;0.50949;0.31445;0.17692;0.17692;0.50906;0.36222;0.23264;0.23264;0.18151;0.10547;0.02586;0.02586;0.16736;0.11441;0.04917;0.04917;0.04065;0.01465;0.00054;0.00054;0.10137;0.01682;0.00433;0.00433;61.25891;97.43740
12;20.59187;1.63643;18.95544;4.43106;2.79851;0.52132;0.01000;0.01000;0.01000;0.45217;0.47544;0.01000;0.01000;0.16726;0.17727;0.04000;0.01000;0.01478;0.01123;0.11000;0.11000;0.55635;0.38086;0.22743;0.22743;0.55498;0.43324;0.29603;0.29603;0.21538;0.13672;0.03580;0.03580;0.20586;0.16197;0.06920;0.06920;0.02371;0.01074;0.00035;0.00035;0.05547;0.00825;0.00283;0.00283;59.25830;97.42669
