epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.38548;9.04301;7.64179;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;17.84152;22.44466
2;10.25006;9.04301;7.64179;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;17.00361;20.52988
3;6.19184;8.35366;6.41045;0.08725;0.22000;0.22000;0.25000;0.10629;0.07809;0.18000;0.19000;0.01304;0.00958;0.26000;0.26000;0.00000;0.00000;0.01000;0.01000;0.14192;0.08496;0.02293;0.02293;0.44830;0.09254;0.07421;0.07421;0.03941;0.00781;0.00050;0.00050;0.55680;0.01010;0.00860;0.00860;0.00000;0.00000;0.00000;0.00000;0.01493;0.00000;0.00000;0.00000;18.15023;18.06531
4;3.48778;5.25684;3.82090;0.16215;0.24000;0.25000;0.21000;0.38331;0.37545;0.24000;0.24000;0.07812;0.07284;0.23000;0.24000;0.00605;0.00503;0.32000;0.32000;0.40567;0.36328;0.23194;0.23194;0.46830;0.40171;0.31760;0.31760;0.07812;0.07812;0.00983;0.00983;0.13654;0.07819;0.03360;0.03360;0.01338;0.00391;0.00008;0.00008;0.23155;0.00393;0.00197;0.00197;17.56498;20.43742
5;2.61623;2.76977;2.11940;0.70406;0.21000;0.21000;0.18000;0.55792;0.57109;0.21000;0.20000;0.11973;0.12375;0.20000;0.22000;0.00653;0.00622;0.23000;0.23000;0.55153;0.56445;0.43398;0.43398;0.55173;0.63159;0.50228;0.50228;0.11177;0.12891;0.02169;0.02169;0.13666;0.12400;0.04386;0.04386;0.00737;0.00586;0.00006;0.00006;0.01558;0.00539;0.00110;0.00110;18.69153;19.73051
6;2.14467;2.95867;2.17164;0.65777;0.25000;0.26000;0.22000;0.64060;0.68961;0.25000;0.25000;0.23618;0.29456;0.28000;0.28000;0.01856;0.02580;0.30000;0.30000;0.61874;0.66406;0.56452;0.56452;0.66591;0.76236;0.68834;0.68834;0.26222;0.21484;0.08163;0.08163;0.30755;0.29935;0.16435;0.16435;0.02286;0.01562;0.00060;0.00060;0.03709;0.02365;0.00587;0.00587;16.77725;20.70076
7;1.96651;2.72084;2.07463;0.70169;0.27000;0.27000;0.24000;0.66635;0.70722;0.27000;0.27000;0.29135;0.36185;0.27000;0.27000;0.02060;0.02838;0.40000;0.25000;0.64221;0.69238;0.61128;0.61128;0.68774;0.78419;0.73041;0.73041;0.28080;0.30273;0.12363;0.12363;0.35411;0.39911;0.23440;0.23440;0.03472;0.01465;0.00062;0.00062;0.02780;0.03287;0.00536;0.00536;19.07962;17.95574
8;1.89667;2.50373;1.70149;0.76402;0.29000;0.29000;0.27000;0.69223;0.73308;0.29000;0.30000;0.33426;0.40432;0.34000;0.29000;0.03979;0.04519;0.39000;0.31000;0.67188;0.71387;0.65099;0.65099;0.73558;0.76560;0.75508;0.75508;0.38739;0.29395;0.17043;0.17043;0.39285;0.43358;0.28126;0.28126;0.05805;0.03027;0.00307;0.00307;0.04562;0.04624;0.01748;0.01748;18.62928;19.81472
9;1.74222;2.40491;1.61194;0.77405;0.29000;0.31000;0.29000;0.72800;0.77741;0.32000;0.32000;0.39530;0.46589;0.35000;0.34000;0.05005;0.05868;0.36000;0.36000;0.74164;0.71484;0.69334;0.69334;0.78269;0.80418;0.80200;0.80200;0.43632;0.36133;0.21530;0.21530;0.48726;0.46371;0.33706;0.33706;0.05651;0.04492;0.00331;0.00331;0.06435;0.05565;0.01638;0.01638;19.13093;19.99815
10;1.67276;1.92199;1.30597;0.84908;0.32000;0.32000;0.31000;0.72506;0.77804;0.31000;0.31000;0.37838;0.45362;0.33000;0.32000;0.04538;0.05873;0.27000;0.25000;0.69667;0.75586;0.68238;0.68238;0.76113;0.82455;0.79140;0.79140;0.38081;0.37598;0.19470;0.19470;0.45589;0.46699;0.31850;0.31850;0.04040;0.05176;0.00343;0.00343;0.05137;0.07153;0.01787;0.01787;17.98727;19.85305
11;1.68988;2.62024;1.70149;0.70825;0.30000;0.30000;0.31000;0.71835;0.76494;0.30000;0.30000;0.35908;0.43599;0.31000;0.29000;0.04701;0.05819;0.32000;0.28000;0.72189;0.71484;0.65602;0.65602;0.77136;0.78894;0.75955;0.75955;0.36907;0.34961;0.16616;0.16616;0.43131;0.45471;0.27603;0.27603;0.04930;0.04492;0.00274;0.00274;0.05698;0.06025;0.01201;0.01201;19.80477;19.67157
12;1.66071;2.27740;1.55224;0.77839;0.24000;0.23000;0.24000;0.73543;0.78042;0.23000;0.23000;0.40000;0.45050;0.25000;0.24000;0.06045;0.06928;0.25000;0.23000;0.71963;0.75195;0.69412;0.69412;0.76791;0.82062;0.79051;0.79051;0.41311;0.38770;0.21017;0.21017;0.45356;0.46518;0.30686;0.30686;0.06243;0.05859;0.00663;0.00663;0.06877;0.07229;0.01833;0.01833;17.26667;19.39590
13;1.67721;2.26920;1.47015;0.79915;0.28000;0.29000;0.23000;0.74115;0.77783;0.30000;0.32000;0.41706;0.47249;0.32000;0.32000;0.05396;0.07547;0.36000;0.36000;0.75739;0.72559;0.73100;0.73100;0.82616;0.75889;0.79840;0.79840;0.44605;0.39160;0.25981;0.25981;0.49420;0.46357;0.34976;0.34976;0.06358;0.04688;0.00603;0.00603;0.10462;0.07152;0.03193;0.03193;18.00807;20.20525
14;1.51562;1.88869;1.17910;0.84973;0.38000;0.38000;0.38000;0.74802;0.78808;0.38000;0.38000;0.43596;0.49825;0.39000;0.38000;0.07855;0.09359;0.41000;0.38000;0.75700;0.73926;0.73303;0.73303;0.81171;0.78399;0.80777;0.80777;0.44881;0.42383;0.25996;0.25996;0.51366;0.49425;0.35795;0.35795;0.08342;0.07422;0.00946;0.00946;0.09874;0.09054;0.03258;0.03258;20.71843;19.24417
15;1.34240;2.13360;1.26866;0.82262;0.36000;0.34000;0.36000;0.75472;0.81318;0.34000;0.31000;0.47018;0.56613;0.37000;0.31000;0.12386;0.17172;0.38000;0.32000;0.72993;0.78125;0.73569;0.73569;0.78473;0.87087;0.82754;0.82754;0.47874;0.46191;0.29353;0.29353;0.55456;0.59241;0.43056;0.43056;0.12896;0.11914;0.02943;0.02943;0.17021;0.17624;0.07832;0.07832;20.82760;19.50539
16;1.52265;3.10392;1.88060;0.59371;0.36000;0.38000;0.26000;0.74720;0.80258;0.41000;0.41000;0.47034;0.55511;0.45000;0.41000;0.10482;0.15047;0.44000;0.44000;0.78145;0.71582;0.72152;0.72152;0.82604;0.82264;0.82007;0.82007;0.51948;0.42969;0.31609;0.31609;0.55996;0.56732;0.44365;0.44365;0.11445;0.09668;0.01852;0.01852;0.15293;0.15128;0.06896;0.06896;19.78076;19.34047
17;1.53003;3.11233;1.84328;0.60290;0.29000;0.31000;0.28000;0.75381;0.79814;0.30000;0.30000;0.47649;0.53754;0.35000;0.31000;0.07705;0.08928;0.39000;0.31000;0.75865;0.74902;0.74243;0.74243;0.80672;0.83091;0.82353;0.82353;0.51899;0.44043;0.31827;0.31827;0.54253;0.54476;0.40195;0.40195;0.09177;0.06641;0.00920;0.00920;0.09119;0.08815;0.02800;0.02800;16.88988;20.13555
18;1.31309;1.94130;1.22388;0.86379;0.35000;0.38000;0.33000;0.76581;0.81336;0.39000;0.39000;0.49254;0.57533;0.40000;0.39000;0.10262;0.15014;0.43000;0.38000;0.79433;0.73926;0.75038;0.75038;0.84521;0.80476;0.82974;0.82974;0.52009;0.46777;0.33694;0.33694;0.59844;0.56547;0.44772;0.44772;0.11334;0.09375;0.01669;0.01669;0.15719;0.14668;0.05326;0.05326;19.40295;20.04582
19;1.37205;2.76843;1.47015;0.67902;0.32000;0.32000;0.32000;0.76029;0.81577;0.31000;0.31000;0.48329;0.59863;0.31000;0.31000;0.09627;0.13717;0.29000;0.30000;0.75408;0.76660;0.72596;0.72596;0.81692;0.84599;0.82890;0.82890;0.47935;0.48730;0.30118;0.30118;0.59986;0.61611;0.45795;0.45795;0.09315;0.09961;0.01319;0.01319;0.13842;0.13868;0.04738;0.04738;19.85463;19.10187
20;1.54422;2.00000;1.27612;0.83715;0.30000;0.28000;0.27000;0.75986;0.79997;0.33000;0.32000;0.46734;0.49268;0.36000;0.32000;0.09829;0.09789;0.42000;0.36000;0.79871;0.72461;0.74048;0.74048;0.81817;0.80334;0.80099;0.80099;0.51222;0.42969;0.31685;0.31685;0.50340;0.49158;0.36142;0.36142;0.11846;0.08398;0.01775;0.01775;0.10207;0.09533;0.03587;0.03587;18.07206;19.94595
21;1.31519;2.28884;1.41791;0.78427;0.21000;0.21000;0.25000;0.75941;0.82713;0.27000;0.27000;0.50773;0.62597;0.29000;0.29000;0.17360;0.22130;0.39000;0.37000;0.81757;0.70898;0.72098;0.72098;0.85651;0.81997;0.82971;0.82971;0.55934;0.46484;0.35848;0.35848;0.64477;0.61776;0.51481;0.51481;0.22677;0.14062;0.04750;0.04750;0.25036;0.20433;0.11186;0.11186;19.51879;22.14681
22;1.61059;2.40336;1.58209;0.75601;0.28000;0.28000;0.28000;0.71332;0.78083;0.33000;0.32000;0.40642;0.47502;0.39000;0.39000;0.07977;0.09462;0.41000;0.41000;0.76022;0.67188;0.66834;0.66834;0.79260;0.79908;0.78407;0.78407;0.46931;0.35840;0.23880;0.23880;0.50837;0.45906;0.34320;0.34320;0.09576;0.06836;0.00805;0.00805;0.10642;0.08878;0.02962;0.02962;17.95763;20.51083
23;1.48125;2.23273;1.45522;0.81309;0.26000;0.21000;0.26000;0.76119;0.78857;0.21000;0.21000;0.48139;0.51595;0.21000;0.21000;0.07725;0.08990;0.21000;0.19000;0.73521;0.78906;0.74605;0.74605;0.79885;0.81723;0.81671;0.81671;0.46497;0.49902;0.32677;0.32677;0.53601;0.51710;0.39000;0.39000;0.07461;0.08008;0.00901;0.00901;0.09359;0.08952;0.02566;0.02566;15.65179;21.37264
24;1.19983;1.80588;1.11194;0.86544;0.31000;0.31000;0.31000;0.80267;0.83970;0.38000;0.36000;0.56173;0.64520;0.45000;0.45000;0.17682;0.24422;0.45000;0.45000;0.84707;0.76270;0.79657;0.79657;0.85275;0.85073;0.86660;0.86660;0.62696;0.50879;0.40737;0.40737;0.68880;0.62247;0.53504;0.53504;0.19735;0.16016;0.04349;0.04349;0.26026;0.23775;0.10710;0.10710;19.41288;20.94269
25;1.36168;2.19905;1.31343;0.79835;0.28000;0.27000;0.27000;0.79135;0.82470;0.27000;0.27000;0.55814;0.60513;0.31000;0.25000;0.11962;0.12802;0.40000;0.40000;0.77936;0.80371;0.79751;0.79751;0.82251;0.85398;0.86023;0.86023;0.57862;0.53906;0.41454;0.41454;0.60102;0.62254;0.48021;0.48021;0.13987;0.10449;0.01682;0.01682;0.15253;0.11823;0.03765;0.03765;20.16588;19.11443
26;1.40772;2.52746;1.55970;0.73476;0.28000;0.29000;0.20000;0.78252;0.81756;0.30000;0.33000;0.51805;0.54879;0.36000;0.27000;0.09887;0.09104;0.37000;0.29000;0.79596;0.76953;0.77557;0.77557;0.84532;0.82188;0.84126;0.84126;0.56744;0.47656;0.36575;0.36575;0.54707;0.56272;0.41666;0.41666;0.10992;0.08984;0.01400;0.01400;0.09272;0.09086;0.02932;0.02932;16.32997;21.09806
27;1.37625;2.61311;1.32090;0.73471;0.27000;0.27000;0.34000;0.71518;0.78713;0.33000;0.30000;0.43979;0.57636;0.33000;0.29000;0.13389;0.18293;0.44000;0.25000;0.77088;0.66699;0.65534;0.65534;0.83140;0.77332;0.78135;0.78135;0.47404;0.41016;0.28307;0.28307;0.60605;0.56616;0.46124;0.46124;0.17018;0.11035;0.02443;0.02443;0.18919;0.18240;0.07307;0.07307;19.83598;20.40632
28;1.32400;2.28068;1.27612;0.79902;0.32000;0.33000;0.39000;0.80241;0.85127;0.35000;0.35000;0.51921;0.62567;0.39000;0.36000;0.13925;0.18073;0.48000;0.45000;0.82694;0.77930;0.78153;0.78153;0.86208;0.86154;0.86436;0.86436;0.55432;0.48828;0.35807;0.35807;0.63129;0.63007;0.50649;0.50649;0.16380;0.12109;0.02582;0.02582;0.19161;0.17346;0.07070;0.07070;20.51127;18.36481
