epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;2.28960;1.93305;0.35655;4.35462;2.76866;0.39043;0.10000;0.10000;0.10000;0.36203;0.43062;0.18000;0.18000;0.06632;0.08397;0.24000;0.24000;0.00000;0.00000;0.01000;0.01000;0.46204;0.29761;0.13941;0.13941;0.48035;0.40586;0.22942;0.22942;0.08839;0.05307;0.00426;0.00426;0.09555;0.07712;0.01683;0.01683;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;64.66492;105.27956
2;12.73357;1.75283;10.98074;4.83458;3.10448;0.32340;0.01000;0.01000;0.01000;0.39843;0.49567;0.07000;0.06000;0.08820;0.12567;0.14000;0.08000;0.00704;0.00642;0.30000;0.30000;0.53509;0.31738;0.19557;0.19557;0.57647;0.45898;0.32494;0.32494;0.12671;0.06764;0.01439;0.01439;0.14362;0.11719;0.05546;0.05546;0.02286;0.00416;0.00010;0.00010;0.25000;0.00464;0.00211;0.00211;64.16783;100.40809
3;18.64989;1.68934;16.96055;4.68962;2.97761;0.26878;0.01000;0.01000;0.01000;0.41693;0.46984;0.01000;0.01000;0.12133;0.14114;0.09000;0.09000;0.00695;0.01047;0.13000;0.21000;0.53055;0.34339;0.18014;0.18014;0.55327;0.43137;0.29364;0.29364;0.16883;0.09469;0.01535;0.01535;0.18195;0.12567;0.04949;0.04949;0.01048;0.00520;0.00006;0.00006;0.16418;0.00871;0.00258;0.00258;64.30041;99.51241
4;26.38902;1.60634;24.78268;4.62956;2.91045;0.29608;0.01000;0.01000;0.01000;0.47793;0.54555;0.01000;0.01000;0.17687;0.22776;0.06000;0.01000;0.00968;0.01342;0.07000;0.05000;0.60640;0.39438;0.25524;0.25524;0.63595;0.50250;0.39729;0.39729;0.25540;0.13528;0.03464;0.03464;0.25773;0.21077;0.11211;0.11211;0.01443;0.00728;0.00013;0.00013;0.03072;0.01231;0.00518;0.00518;62.50834;100.41352
5;28.10315;1.58622;26.51693;4.87531;3.11194;0.37163;0.01000;0.01000;0.01000;0.43787;0.55461;0.01000;0.01000;0.18656;0.26335;0.05000;0.01000;0.01737;0.02216;0.09000;0.06000;0.59464;0.34651;0.25438;0.25438;0.62983;0.51339;0.42255;0.42255;0.27364;0.14152;0.05041;0.05041;0.28937;0.24802;0.14598;0.14598;0.02850;0.01249;0.00037;0.00037;0.03209;0.02059;0.00712;0.00712;63.27719;100.38109
6;40.60059;1.48649;39.11410;4.87148;3.14925;0.38040;0.01000;0.01000;0.01000;0.45875;0.57316;0.03000;0.01000;0.20791;0.28485;0.03000;0.02000;0.02833;0.03743;0.06000;0.04000;0.64528;0.35588;0.28213;0.28213;0.65657;0.53255;0.44598;0.44598;0.29245;0.16129;0.06604;0.06604;0.31079;0.27097;0.16436;0.16436;0.04435;0.02081;0.00147;0.00147;0.04279;0.03466;0.01707;0.01707;62.69959;100.32755
7;20.68247;1.46115;19.22132;5.08730;3.17910;0.20283;0.01000;0.01000;0.48000;0.47230;0.56133;0.01000;0.01000;0.22130;0.28921;0.04000;0.01000;0.03244;0.04780;0.06000;0.14000;0.64505;0.37253;0.27481;0.27481;0.65427;0.51624;0.42592;0.42592;0.32990;0.16649;0.05704;0.05704;0.32467;0.26805;0.15550;0.15550;0.05033;0.02393;0.00111;0.00111;0.17413;0.04076;0.01554;0.01554;61.78013;99.41378
8;16.26121;1.45983;14.80138;4.72055;2.98507;0.18783;0.01000;0.01000;0.01000;0.47898;0.53637;0.04000;0.03000;0.21823;0.26149;0.05000;0.05000;0.03117;0.04268;0.06000;0.06000;0.61741;0.39126;0.27269;0.27269;0.62860;0.50047;0.38938;0.38938;0.28476;0.17690;0.05572;0.05572;0.30508;0.24192;0.12910;0.12910;0.04145;0.02497;0.00115;0.00115;0.06885;0.04086;0.01380;0.01380;60.74826;99.75238
9;21.00676;1.54427;19.46249;4.45709;2.86567;0.29537;0.01000;0.01000;0.01000;0.46683;0.49828;0.04000;0.02000;0.20365;0.22837;0.05000;0.01000;0.02621;0.03443;0.15000;0.15000;0.58556;0.38814;0.24386;0.24386;0.58616;0.45797;0.33351;0.33351;0.25714;0.16857;0.04714;0.04714;0.26295;0.20951;0.10138;0.10138;0.03885;0.01977;0.00119;0.00119;0.10983;0.02996;0.01218;0.01218;61.34209;100.07791
10;10.61167;1.95854;8.65312;4.24000;2.72388;0.27127;0.02000;0.02000;0.02000;0.42161;0.44952;0.02000;0.02000;0.13213;0.14257;0.06000;0.04000;0.01392;0.01675;0.09000;0.09000;0.48383;0.37357;0.19747;0.19747;0.49791;0.42915;0.26977;0.26977;0.15625;0.11446;0.01876;0.01876;0.15922;0.13381;0.04222;0.04222;0.01777;0.01145;0.00024;0.00024;0.03557;0.01456;0.00207;0.00207;59.63235;99.62572
