epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;16.06416;1.92365;14.14051;4.17295;2.63158;0.46701;0.01000;0.01000;0.01000;0.40180;0.47664;0.18000;0.18000;0.09253;0.12105;0.30000;0.30000;0.00270;0.00317;0.34000;0.32000;0.50485;0.33369;0.19885;0.19885;0.53916;0.44281;0.31344;0.31344;0.12111;0.07487;0.01378;0.01378;0.13669;0.11213;0.05108;0.05108;0.00366;0.00214;0.00001;0.00001;0.00376;0.00276;0.00009;0.00009;64.93764;102.71671
2;11.90640;2.04247;9.86393;3.53075;2.24060;0.49236;0.06000;0.01000;0.06000;0.38316;0.40154;0.01000;0.01000;0.06884;0.06883;0.13000;0.13000;0.00143;0.00167;0.27000;0.27000;0.43009;0.34545;0.16939;0.16939;0.44422;0.38058;0.22445;0.22445;0.07906;0.06096;0.00621;0.00621;0.07795;0.06377;0.01994;0.01994;0.00217;0.00107;0.00000;0.00000;0.01754;0.00125;0.00002;0.00002;62.61938;99.25047
3;21.63201;1.69151;19.94050;4.08279;2.35338;0.39160;0.01000;0.01000;0.01000;0.47411;0.52842;0.03000;0.03000;0.13160;0.15565;0.11000;0.01000;0.00521;0.00456;0.11000;0.08000;0.56886;0.40642;0.24848;0.24848;0.58547;0.50350;0.37061;0.37061;0.16833;0.10802;0.02749;0.02749;0.16564;0.15127;0.07523;0.07523;0.00667;0.00428;0.00003;0.00003;0.00595;0.00390;0.00070;0.00070;61.88431;99.20890
4;1.79336;1.59808;0.19529;4.30509;2.47368;0.32558;0.01000;0.01000;0.01000;0.54116;0.62716;0.02000;0.02000;0.21625;0.26653;0.06000;0.06000;0.02471;0.02726;0.13000;0.13000;0.67089;0.45348;0.33771;0.33771;0.69713;0.59273;0.49429;0.49429;0.27919;0.17647;0.05344;0.05344;0.29607;0.25021;0.13422;0.13422;0.03448;0.01925;0.00100;0.00100;0.06078;0.02503;0.00964;0.00964;62.39708;99.39493
5;18.18623;1.60391;16.58232;4.26385;2.54135;0.43265;0.01000;0.01000;0.01000;0.49839;0.56348;0.05000;0.04000;0.15250;0.18299;0.11000;0.09000;0.01807;0.01989;0.14000;0.14000;0.62866;0.41283;0.27338;0.27338;0.63582;0.52802;0.39369;0.39369;0.20658;0.12086;0.02729;0.02729;0.20243;0.17236;0.07627;0.07627;0.02579;0.01390;0.00094;0.00094;0.04538;0.01814;0.00591;0.00591;61.08985;98.94235
6;23.45815;1.60057;21.85758;4.98268;3.33835;0.40154;0.01000;0.01000;0.02000;0.42667;0.56211;0.03000;0.01000;0.20458;0.29164;0.06000;0.04000;0.03263;0.04434;0.14000;0.12000;0.62041;0.32513;0.24780;0.24780;0.68016;0.50314;0.40937;0.40937;0.30886;0.15294;0.06593;0.06593;0.33609;0.26703;0.15780;0.15780;0.05966;0.02246;0.00176;0.00176;0.07005;0.03982;0.01655;0.01655;62.14320;98.39069
7;9.82178;1.52985;8.29193;4.57929;2.77444;0.32936;0.01000;0.01000;0.01000;0.50267;0.60586;0.02000;0.01000;0.22800;0.30128;0.02000;0.01000;0.03094;0.04260;0.11000;0.11000;0.66726;0.40321;0.29966;0.29966;0.68338;0.56809;0.46522;0.46522;0.30265;0.18289;0.06623;0.06623;0.32520;0.28832;0.16537;0.16537;0.06485;0.02032;0.00143;0.00143;0.27318;0.03360;0.01630;0.01630;61.48797;97.94590
8;28.66432;1.41950;27.24482;4.33555;2.58647;0.38672;0.01000;0.01000;0.01000;0.53935;0.62660;0.01000;0.01000;0.26894;0.33708;0.07000;0.05000;0.04042;0.05175;0.15000;0.05000;0.67967;0.44706;0.34848;0.34848;0.70216;0.58877;0.50675;0.50675;0.37170;0.21070;0.09225;0.09225;0.37386;0.31988;0.21413;0.21413;0.06733;0.02888;0.00214;0.00214;0.06420;0.04897;0.02054;0.02054;60.84482;97.54882
9;22.71090;1.54166;21.16924;3.81725;2.31579;0.43819;0.01000;0.01000;0.01000;0.54246;0.57971;0.05000;0.05000;0.21014;0.22330;0.07000;0.07000;0.02267;0.02261;0.20000;0.20000;0.63248;0.47487;0.31963;0.31963;0.64269;0.54715;0.41450;0.41450;0.24890;0.18182;0.05221;0.05221;0.24841;0.20909;0.10228;0.10228;0.03009;0.01818;0.00080;0.00080;0.05836;0.01963;0.00756;0.00756;60.44792;97.55125
10;21.41962;1.56415;19.85546;4.06433;2.36842;0.39186;0.01000;0.01000;0.01000;0.52888;0.60874;0.10000;0.06000;0.23681;0.28793;0.17000;0.11000;0.03451;0.05183;0.20000;0.20000;0.66132;0.44064;0.32355;0.32355;0.65391;0.58707;0.46932;0.46932;0.32228;0.18717;0.07255;0.07255;0.30446;0.27909;0.16080;0.16080;0.04864;0.02674;0.00119;0.00119;0.10827;0.04934;0.01543;0.01543;60.65950;97.20526
11;18.82924;1.60876;17.22048;4.40010;2.62406;0.35174;0.01000;0.01000;0.07000;0.51542;0.58045;0.02000;0.02000;0.21536;0.25635;0.06000;0.06000;0.02953;0.03332;0.08000;0.08000;0.64573;0.42888;0.32423;0.32423;0.65301;0.54518;0.43566;0.43566;0.27891;0.17540;0.06284;0.06284;0.29123;0.23618;0.12528;0.12528;0.03964;0.02353;0.00115;0.00115;0.03949;0.03003;0.00872;0.00872;60.29726;97.39143
12;23.81867;1.59900;22.21967;3.71544;2.25564;0.59374;0.01000;0.01000;0.01000;0.53440;0.60673;0.01000;0.01000;0.24026;0.29260;0.03000;0.03000;0.03194;0.03671;0.01000;0.01000;0.62771;0.46524;0.33898;0.33898;0.65510;0.58150;0.46788;0.46788;0.29841;0.20107;0.07449;0.07449;0.31698;0.27755;0.15616;0.15616;0.03752;0.02781;0.00132;0.00132;0.03853;0.03548;0.00982;0.00982;60.25942;96.09574
13;14.58599;1.46473;13.12126;3.92218;2.34586;0.38745;0.01000;0.01000;0.01000;0.56638;0.60502;0.01000;0.01000;0.28589;0.31848;0.02000;0.01000;0.04456;0.04804;0.04000;0.04000;0.65771;0.49733;0.32451;0.32451;0.66149;0.57510;0.44031;0.44031;0.33921;0.24706;0.07892;0.07892;0.34269;0.30367;0.15746;0.15746;0.05503;0.03743;0.00208;0.00208;0.06675;0.04565;0.01509;0.01509;59.77499;96.47486
14;38.32828;1.53379;36.79449;3.76370;2.30075;0.44723;0.01000;0.01000;0.01000;0.54589;0.57587;0.01000;0.01000;0.22585;0.23296;0.01000;0.01000;0.03348;0.03240;0.05000;0.07000;0.62691;0.48342;0.30706;0.30706;0.63200;0.54725;0.41180;0.41180;0.25936;0.20000;0.05094;0.05094;0.25524;0.21984;0.10169;0.10169;0.04207;0.02781;0.00105;0.00105;0.08617;0.02787;0.00606;0.00606;58.75604;95.86239
15;14.59764;1.55789;13.03974;4.19900;2.53383;0.41448;0.01000;0.01000;0.02000;0.54580;0.59030;0.01000;0.01000;0.23121;0.24999;0.01000;0.02000;0.03924;0.04176;0.03000;0.03000;0.66667;0.46203;0.35320;0.35320;0.67005;0.55353;0.44333;0.44333;0.28241;0.19572;0.07033;0.07033;0.28436;0.23087;0.11638;0.11638;0.05051;0.03209;0.00375;0.00375;0.04712;0.03864;0.01410;0.01410;60.08172;95.31895
