Statistic,AP@0.3,AP@0.5,AP@0.7,FS@0.3,FS@0.5,FS@0.7,RSQ,MAE,RMSE
Mean,0.54377,0.25829,0.04045,0.70895,0.47984,0.18862,0.71766,2.11546,3.61498
Median,0.55422,0.26852,0.04133,0.71747,0.49070,0.19856,0.70961,2.27778,3.82581
Best,0.69226,0.36582,0.06686,0.80859,0.58847,0.25000,0.84687,1.36364,2.38366
Worst,0.38453,0.15792,0.01550,0.59450,0.37419,0.11720,0.58007,3.11111,4.83506
Std. Dev.,0.07637,0.05855,0.01602,0.05401,0.06003,0.04007,0.06482,0.51567,0.70317
Range,0.30773,0.20790,0.05136,0.21409,0.21428,0.13280,0.26680,1.74747,2.45140
Var. Coeff.,0.14044,0.22669,0.39600,0.07618,0.12511,0.21243,0.09032,0.24376,0.19452
