epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.31959;8.61106;7.32331;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.41888;22.88768
2;10.11562;8.59358;7.29323;0.00247;0.01000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.00000;0.97744;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97744;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97744;0.00000;0.00000;0.00000;14.96267;16.73811
3;6.75851;7.58560;5.73684;0.05580;0.12000;0.12000;0.18000;0.04297;0.03257;0.10000;0.10000;0.00195;0.00167;0.18000;0.16000;0.00000;0.00000;0.01000;0.01000;0.05872;0.03388;0.00438;0.00438;0.35642;0.03954;0.02564;0.02564;0.02000;0.00103;0.00002;0.00002;0.60150;0.00094;0.00069;0.00069;0.00000;0.00000;0.00000;0.00000;0.00752;0.00000;0.00000;0.00000;14.33422;16.98485
4;3.22151;3.68190;2.43609;0.45614;0.18000;0.19000;0.15000;0.52463;0.54625;0.21000;0.21000;0.13412;0.13467;0.21000;0.21000;0.00688;0.00595;0.30000;0.30000;0.62166;0.45380;0.41524;0.41524;0.65075;0.53124;0.51328;0.51328;0.15893;0.11602;0.02831;0.02831;0.17772;0.13143;0.06590;0.06590;0.02128;0.00411;0.00030;0.00030;0.31642;0.00439;0.00320;0.00320;14.54720;15.73590
5;2.36824;3.04971;2.03759;0.55564;0.27000;0.27000;0.27000;0.62528;0.67545;0.29000;0.28000;0.27293;0.31288;0.29000;0.29000;0.02819;0.04631;0.35000;0.33000;0.68673;0.57392;0.55286;0.55286;0.70167;0.69320;0.66410;0.66410;0.29975;0.25051;0.11883;0.11883;0.32539;0.31831;0.20292;0.20292;0.04070;0.02156;0.00282;0.00282;0.07764;0.04151;0.02016;0.02016;15.36706;16.69701
6;2.31388;3.61908;2.36090;0.38942;0.25000;0.25000;0.25000;0.63181;0.68542;0.28000;0.28000;0.28172;0.32368;0.31000;0.30000;0.02133;0.02446;0.32000;0.32000;0.68932;0.58316;0.56336;0.56336;0.71752;0.70952;0.69551;0.69551;0.34473;0.23819;0.12947;0.12947;0.35001;0.32689;0.21722;0.21722;0.02742;0.01745;0.00085;0.00085;0.04297;0.02351;0.00839;0.00839;15.00827;17.87172
7;2.05419;2.14336;1.40602;0.78156;0.25000;0.25000;0.25000;0.67616;0.70920;0.25000;0.24000;0.28673;0.35258;0.25000;0.25000;0.03583;0.05009;0.28000;0.28000;0.66969;0.68275;0.63035;0.63035;0.69016;0.76486;0.72044;0.72044;0.28399;0.28953;0.12119;0.12119;0.36295;0.36933;0.22613;0.22613;0.03941;0.03285;0.00196;0.00196;0.06005;0.05103;0.01562;0.01562;14.33130;16.55228
8;1.91635;3.09134;2.03008;0.55997;0.26000;0.27000;0.26000;0.69307;0.74005;0.28000;0.28000;0.35565;0.41088;0.30000;0.29000;0.03403;0.04442;0.35000;0.35000;0.70370;0.68275;0.63385;0.63385;0.73687;0.78998;0.75963;0.75963;0.38208;0.33265;0.18338;0.18338;0.41719;0.43006;0.29277;0.29277;0.04405;0.02772;0.00221;0.00221;0.06473;0.04233;0.01827;0.01827;17.18443;16.17052
9;1.77848;2.12398;1.35338;0.79729;0.30000;0.30000;0.24000;0.74707;0.80284;0.32000;0.32000;0.42583;0.48811;0.32000;0.32000;0.06516;0.08187;0.42000;0.32000;0.77778;0.71869;0.71762;0.71762;0.82600;0.80466;0.81252;0.81252;0.44333;0.40965;0.26689;0.26689;0.50256;0.48815;0.36302;0.36302;0.09245;0.05031;0.00749;0.00749;0.08584;0.08116;0.03275;0.03275;16.39551;15.50458
10;1.95308;3.44996;2.24060;0.44791;0.19000;0.21000;0.19000;0.65887;0.71267;0.21000;0.21000;0.37425;0.43085;0.25000;0.25000;0.05392;0.06252;0.27000;0.25000;0.68282;0.63655;0.61375;0.61375;0.71430;0.75485;0.72542;0.72542;0.45203;0.31930;0.21163;0.21163;0.46360;0.42146;0.31614;0.31614;0.06924;0.04415;0.00580;0.00580;0.06909;0.05966;0.02281;0.02281;15.59564;16.62245
