epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;17.21183;2.01741;15.19442;5.09016;3.48872;0.35824;0.01000;0.01000;0.01000;0.23154;0.29343;0.16000;0.14000;0.03836;0.04179;0.27000;0.27000;0.00176;0.00188;0.55000;0.53000;0.32892;0.17864;0.05222;0.05222;0.34381;0.27292;0.11228;0.11228;0.05761;0.02875;0.00147;0.00147;0.05276;0.03788;0.00908;0.00908;0.00613;0.00103;0.00001;0.00001;0.16165;0.00125;0.00028;0.00028;62.79560;99.56142
2;23.26691;1.89157;21.37534;5.16276;3.39098;0.24913;0.03000;0.03000;0.13000;0.33355;0.43006;0.09000;0.09000;0.09169;0.12480;0.13000;0.11000;0.00152;0.00167;0.26000;0.09000;0.46593;0.25975;0.12396;0.12396;0.49088;0.39966;0.23685;0.23685;0.12994;0.07084;0.00955;0.00955;0.14248;0.11476;0.03714;0.03714;0.00295;0.00103;0.00000;0.00000;0.00188;0.00150;0.00005;0.00005;61.05805;95.54866
3;20.48333;1.62953;18.85380;4.92729;3.10526;0.24110;0.01000;0.03000;0.06000;0.40127;0.49261;0.06000;0.06000;0.12962;0.16547;0.11000;0.11000;0.01075;0.01172;0.15000;0.15000;0.52852;0.32341;0.18832;0.18832;0.55226;0.46779;0.31374;0.31374;0.17575;0.10267;0.02052;0.02052;0.18355;0.15486;0.05966;0.05966;0.01556;0.00821;0.00012;0.00012;0.01241;0.01115;0.00141;0.00141;59.21695;95.44259
4;24.15905;1.64275;22.51631;4.79662;2.97744;0.25446;0.01000;0.01000;0.41000;0.47955;0.56338;0.02000;0.01000;0.18032;0.22545;0.03000;0.03000;0.01960;0.02581;0.07000;0.07000;0.61951;0.39117;0.26111;0.26111;0.63222;0.53026;0.41558;0.41558;0.23627;0.14579;0.03767;0.03767;0.24722;0.21347;0.11185;0.11185;0.02693;0.01540;0.00059;0.00059;0.02895;0.02376;0.01030;0.01030;59.12107;94.36640
5;11.10455;1.62242;9.48213;4.68079;2.84211;0.25120;0.01000;0.01000;0.01000;0.49136;0.56281;0.01000;0.01000;0.18814;0.23396;0.06000;0.02000;0.02448;0.03373;0.17000;0.17000;0.61610;0.40862;0.28455;0.28455;0.63588;0.52996;0.42354;0.42354;0.25260;0.14990;0.04696;0.04696;0.25467;0.22417;0.12258;0.12258;0.04096;0.01745;0.00147;0.00147;0.17744;0.02915;0.01550;0.01550;59.54870;94.58473
6;11.03655;1.57203;9.46452;4.55377;2.72180;0.35031;0.01000;0.01000;0.01000;0.51295;0.60643;0.01000;0.01000;0.22886;0.30153;0.03000;0.03000;0.04135;0.05544;0.08000;0.08000;0.64198;0.42710;0.30894;0.30894;0.66462;0.58253;0.48468;0.48468;0.30050;0.18480;0.06383;0.06383;0.32282;0.29061;0.17179;0.17179;0.06289;0.03080;0.00207;0.00207;0.09982;0.05135;0.02134;0.02134;58.04878;94.38132
7;21.66656;1.95354;19.71302;4.14765;2.60150;0.33347;0.01000;0.01000;0.01000;0.43717;0.42863;0.02000;0.02000;0.13293;0.12582;0.05000;0.04000;0.00627;0.00492;0.07000;0.04000;0.50746;0.38398;0.17958;0.17958;0.49635;0.39716;0.23135;0.23135;0.16153;0.11294;0.01817;0.01817;0.15231;0.11146;0.03749;0.03749;0.00805;0.00513;0.00006;0.00006;0.00647;0.00400;0.00096;0.00096;56.59974;93.81754
8;24.85443;1.62411;23.23032;5.45108;3.11278;0.16443;0.01000;0.01000;0.28000;0.44487;0.53941;0.05000;0.02000;0.17591;0.22391;0.08000;0.06000;0.02423;0.02990;0.11000;0.11000;0.59215;0.35626;0.24707;0.24707;0.60068;0.51425;0.41466;0.41466;0.25794;0.13347;0.04421;0.04421;0.26742;0.20680;0.12462;0.12462;0.03963;0.01745;0.00078;0.00078;0.11429;0.02526;0.00926;0.00926;58.24234;93.80927
9;7.74988;1.63249;6.11740;4.16664;2.54887;0.39453;0.01000;0.01000;0.01000;0.49378;0.50797;0.01000;0.01000;0.21182;0.22184;0.06000;0.02000;0.02463;0.02109;0.06000;0.06000;0.58322;0.42813;0.23341;0.23341;0.57105;0.47542;0.32265;0.32265;0.26462;0.17659;0.04185;0.04185;0.25060;0.20497;0.08758;0.08758;0.03077;0.02053;0.00050;0.00050;0.02532;0.01850;0.00361;0.00361;57.95665;93.83332
10;15.91358;1.45563;14.45795;4.42481;2.64662;0.33593;0.01000;0.01000;0.01000;0.53537;0.59953;0.02000;0.01000;0.24638;0.28979;0.11000;0.04000;0.04901;0.05986;0.15000;0.15000;0.65916;0.45072;0.32434;0.32434;0.66310;0.56728;0.45442;0.45442;0.34375;0.19199;0.06950;0.06950;0.31787;0.27282;0.15317;0.15317;0.07273;0.03696;0.00240;0.00240;0.13691;0.05261;0.01820;0.01820;57.77064;92.99126
