epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.45855;8.47692;7.17164;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;16.00560;21.99877
2;10.29272;8.47692;7.17164;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;15.91326;17.61553
3;6.64548;7.24054;5.44030;0.03056;0.12000;0.12000;0.04000;0.04993;0.03733;0.11000;0.11000;0.00177;0.00187;0.08000;0.14000;0.00000;0.00000;0.01000;0.01000;0.06774;0.03954;0.00424;0.00424;0.29012;0.04286;0.02477;0.02477;0.00153;0.00208;0.00001;0.00001;0.45522;0.00107;0.00064;0.00064;0.00000;0.00000;0.00000;0.00000;0.00746;0.00000;0.00000;0.00000;17.87016;18.14075
4;3.81399;4.60045;3.23881;0.17917;0.20000;0.20000;0.16000;0.30886;0.32538;0.19000;0.21000;0.04320;0.05099;0.19000;0.21000;0.00170;0.00249;0.29000;0.29000;0.32099;0.29761;0.16050;0.16050;0.40739;0.32652;0.25425;0.25425;0.04489;0.04162;0.00264;0.00264;0.09837;0.05094;0.01822;0.01822;0.00465;0.00104;0.00001;0.00001;0.25622;0.00249;0.00066;0.00066;18.10601;17.64171
5;2.45513;3.32449;2.52985;0.53225;0.22000;0.22000;0.20000;0.55336;0.58743;0.21000;0.22000;0.18319;0.22526;0.22000;0.22000;0.00988;0.01721;0.24000;0.24000;0.51622;0.59625;0.46093;0.46093;0.57148;0.66410;0.57119;0.57119;0.17739;0.18939;0.05111;0.05111;0.21650;0.26290;0.12064;0.12064;0.01045;0.00937;0.00046;0.00046;0.01519;0.02136;0.00523;0.00523;18.43662;17.12377
6;2.16574;2.44644;1.70896;0.71882;0.28000;0.29000;0.25000;0.59521;0.69505;0.28000;0.28000;0.23517;0.32417;0.28000;0.30000;0.01929;0.02752;0.27000;0.35000;0.59521;0.59521;0.45631;0.45631;0.70011;0.73243;0.64599;0.64599;0.23517;0.23517;0.07269;0.07269;0.33954;0.33318;0.17741;0.17741;0.01883;0.01977;0.00047;0.00047;0.03165;0.02515;0.00567;0.00567;18.92054;18.78638
7;2.18640;3.56915;2.52985;0.49427;0.24000;0.24000;0.22000;0.64027;0.68384;0.28000;0.28000;0.27453;0.30449;0.30000;0.30000;0.03116;0.03481;0.29000;0.29000;0.68990;0.59729;0.58348;0.58348;0.73292;0.70686;0.72035;0.72035;0.32571;0.23725;0.10856;0.10856;0.34417;0.29933;0.18207;0.18207;0.03497;0.02810;0.00114;0.00114;0.04493;0.03323;0.00779;0.00779;18.42973;18.88936
8;1.96365;2.17688;1.45522;0.79216;0.36000;0.36000;0.30000;0.60403;0.68275;0.36000;0.34000;0.22500;0.31638;0.34000;0.33000;0.01873;0.03441;0.29000;0.41000;0.59939;0.60874;0.50131;0.50131;0.67510;0.72124;0.66116;0.66116;0.21655;0.23413;0.07230;0.07230;0.30809;0.33642;0.17853;0.17853;0.01639;0.02185;0.00038;0.00038;0.05935;0.02950;0.00459;0.00459;18.30195;18.25422
9;1.88645;2.58151;1.70896;0.68076;0.32000;0.32000;0.32000;0.69148;0.74038;0.32000;0.31000;0.28043;0.34586;0.30000;0.30000;0.02219;0.02784;0.40000;0.40000;0.67800;0.70552;0.63009;0.63009;0.72371;0.79063;0.72848;0.72848;0.26349;0.29969;0.11312;0.11312;0.33299;0.37743;0.20017;0.20017;0.02723;0.01873;0.00073;0.00073;0.03836;0.02639;0.00768;0.00768;17.80683;17.93491
10;1.71343;2.33564;1.43284;0.74706;0.29000;0.33000;0.29000;0.74034;0.79369;0.33000;0.33000;0.41955;0.49591;0.34000;0.33000;0.07351;0.08809;0.41000;0.35000;0.76412;0.71800;0.71589;0.71589;0.80368;0.81405;0.81555;0.81555;0.44419;0.39750;0.28174;0.28174;0.49402;0.51386;0.39148;0.39148;0.09400;0.06035;0.00873;0.00873;0.08899;0.08987;0.03640;0.03640;19.77028;16.80861
11;1.72960;2.57137;1.62687;0.68742;0.26000;0.24000;0.23000;0.68901;0.76054;0.28000;0.28000;0.36429;0.47939;0.25000;0.26000;0.05934;0.09339;0.28000;0.29000;0.72992;0.65245;0.64091;0.64091;0.78594;0.77747;0.77628;0.77628;0.35736;0.37149;0.18910;0.18910;0.46597;0.51782;0.34808;0.34808;0.06286;0.05619;0.00612;0.00612;0.09643;0.09256;0.03189;0.03189;18.81125;17.27559
12;2.27175;2.10366;1.51493;0.78970;0.30000;0.30000;0.30000;0.60381;0.64057;0.29000;0.29000;0.17622;0.19436;0.31000;0.32000;0.00950;0.01182;0.39000;0.37000;0.59796;0.60978;0.51903;0.51903;0.65927;0.64968;0.60139;0.60139;0.18335;0.16961;0.04483;0.04483;0.21857;0.18204;0.08327;0.08327;0.01365;0.00728;0.00010;0.00010;0.04832;0.01027;0.00153;0.00153;19.10294;18.47630
13;1.64350;1.85681;1.20896;0.83225;0.33000;0.33000;0.33000;0.78316;0.82195;0.34000;0.34000;0.43892;0.49650;0.33000;0.31000;0.07263;0.08265;0.34000;0.34000;0.79233;0.77419;0.77517;0.77517;0.83036;0.83505;0.84946;0.84946;0.43666;0.44121;0.27274;0.27274;0.48748;0.51790;0.35366;0.35366;0.07348;0.07180;0.00745;0.00745;0.08366;0.08322;0.02187;0.02187;18.06868;17.12399
14;1.53559;1.66393;1.06716;0.86709;0.34000;0.34000;0.34000;0.76270;0.80351;0.34000;0.34000;0.44857;0.51997;0.35000;0.36000;0.07435;0.09353;0.36000;0.31000;0.76793;0.75754;0.72642;0.72642;0.82012;0.81048;0.81894;0.81894;0.45730;0.44017;0.26036;0.26036;0.54661;0.51008;0.38650;0.38650;0.07709;0.07180;0.00640;0.00640;0.09274;0.09725;0.02758;0.02758;18.93855;18.63172
15;1.56992;2.15275;1.28358;0.77958;0.29000;0.31000;0.29000;0.78750;0.84051;0.31000;0.32000;0.49591;0.56836;0.38000;0.35000;0.09942;0.11960;0.44000;0.37000;0.78832;0.78668;0.77243;0.77243;0.84450;0.86395;0.85666;0.85666;0.56609;0.44121;0.35056;0.35056;0.59867;0.56130;0.45130;0.45130;0.13095;0.08012;0.01633;0.01633;0.13428;0.11499;0.04668;0.04668;19.67079;17.06308
16;1.58400;2.02411;1.28358;0.80735;0.30000;0.32000;0.32000;0.76378;0.81778;0.33000;0.32000;0.46278;0.55729;0.37000;0.33000;0.08660;0.11966;0.38000;0.38000;0.80275;0.72841;0.73335;0.73335;0.83402;0.82347;0.83249;0.83249;0.51943;0.41727;0.30586;0.30586;0.56706;0.55691;0.44373;0.44373;0.09893;0.07700;0.00934;0.00934;0.13415;0.11520;0.04204;0.04204;21.17023;18.10714
17;1.41649;2.15275;1.31343;0.77433;0.39000;0.40000;0.39000;0.78825;0.83027;0.39000;0.39000;0.47740;0.56171;0.45000;0.45000;0.09041;0.12182;0.45000;0.45000;0.78061;0.79605;0.76841;0.76841;0.82120;0.86625;0.84534;0.84534;0.50762;0.45057;0.31846;0.31846;0.58268;0.55255;0.43273;0.43273;0.09613;0.08533;0.01169;0.01169;0.12880;0.11727;0.03822;0.03822;21.23370;17.07440
18;1.42879;2.12308;1.37313;0.78392;0.33000;0.33000;0.33000;0.79325;0.83124;0.33000;0.33000;0.51974;0.56966;0.42000;0.34000;0.09811;0.12168;0.35000;0.35000;0.80428;0.78252;0.79786;0.79786;0.83807;0.84778;0.86450;0.86450;0.59918;0.45890;0.36439;0.36439;0.57792;0.57497;0.46003;0.46003;0.10179;0.09469;0.01553;0.01553;0.12754;0.12088;0.04701;0.04701;18.49916;19.24440
19;1.26391;1.93167;1.19403;0.82882;0.33000;0.33000;0.33000;0.79461;0.83811;0.37000;0.37000;0.53915;0.64301;0.45000;0.36000;0.14968;0.20683;0.50000;0.40000;0.82438;0.76691;0.79511;0.79511;0.85762;0.84489;0.87196;0.87196;0.63343;0.46930;0.40132;0.40132;0.65305;0.65076;0.55133;0.55133;0.19694;0.12071;0.02979;0.02979;0.21526;0.20252;0.08730;0.08730;18.46791;18.25741
20;1.28214;2.04429;1.26866;0.80349;0.28000;0.28000;0.28000;0.80566;0.85285;0.33000;0.30000;0.54088;0.63903;0.38000;0.30000;0.15780;0.21407;0.38000;0.32000;0.84475;0.77003;0.78521;0.78521;0.85643;0.87384;0.87732;0.87732;0.60025;0.49220;0.39945;0.39945;0.63527;0.65554;0.53975;0.53975;0.17513;0.14360;0.04468;0.04468;0.21448;0.21660;0.10901;0.10901;19.16768;17.91521
