epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;2.17960;1.81385;0.36575;5.81236;4.00746;0.24405;0.01000;0.01000;0.15000;0.27795;0.36311;0.01000;0.01000;0.05780;0.09008;0.30000;0.22000;0.00134;0.00136;0.36000;0.29000;0.40468;0.21167;0.08141;0.08141;0.42212;0.33455;0.17049;0.17049;0.09109;0.04233;0.00414;0.00414;0.09971;0.08572;0.02560;0.02560;0.00230;0.00094;0.00000;0.00000;0.00149;0.00124;0.00000;0.00000;63.70120;97.70687
2;16.10827;1.61371;14.49456;5.75883;3.86567;0.25566;0.01000;0.01000;0.03000;0.27340;0.36431;0.07000;0.07000;0.05953;0.07980;0.15000;0.15000;0.00264;0.00336;0.19000;0.13000;0.39572;0.20884;0.08670;0.08670;0.42066;0.33761;0.18458;0.18458;0.09109;0.04421;0.00452;0.00452;0.09266;0.07309;0.02360;0.02360;0.00444;0.00188;0.00001;0.00001;0.00373;0.00311;0.00011;0.00011;62.57602;97.30847
3;22.20918;1.59644;20.61274;5.74976;3.76119;0.13706;0.01000;0.01000;0.01000;0.39157;0.47551;0.05000;0.05000;0.11504;0.15365;0.13000;0.06000;0.00687;0.01132;0.20000;0.25000;0.54439;0.30574;0.17472;0.17472;0.56174;0.44249;0.30343;0.30343;0.17534;0.08561;0.01633;0.01633;0.16823;0.14634;0.05569;0.05569;0.01272;0.00470;0.00100;0.00100;0.21144;0.00773;0.00267;0.00267;61.20047;96.46212
4;13.67725;1.61047;12.06678;5.46290;3.60448;0.23039;0.01000;0.01000;0.01000;0.33037;0.37554;0.04000;0.01000;0.09233;0.11189;0.06000;0.01000;0.00641;0.00738;0.12000;0.12000;0.44569;0.26246;0.12688;0.12688;0.45600;0.34336;0.21283;0.21283;0.12727;0.07244;0.00987;0.00987;0.13175;0.10324;0.03721;0.03721;0.01008;0.00470;0.00005;0.00005;0.03122;0.00654;0.00143;0.00143;61.01301;95.61704
5;16.99984;1.53265;15.46719;6.06433;4.04478;0.14841;0.01000;0.01000;0.25000;0.38048;0.46041;0.01000;0.01000;0.13465;0.17313;0.09000;0.06000;0.00944;0.01403;0.23000;0.23000;0.56822;0.28598;0.19137;0.19137;0.58014;0.40786;0.31890;0.31890;0.22566;0.09595;0.02668;0.02668;0.22166;0.15321;0.08555;0.08555;0.02885;0.00564;0.00041;0.00041;0.29104;0.01077;0.00724;0.00724;60.70612;94.82820
6;22.97153;1.58634;21.38519;5.13112;3.31343;0.36174;0.01000;0.01000;0.01000;0.43171;0.48345;0.01000;0.01000;0.16251;0.19252;0.02000;0.01000;0.01475;0.01694;0.03000;0.03000;0.56090;0.35089;0.19414;0.19414;0.56412;0.44481;0.31127;0.31127;0.21990;0.12888;0.02969;0.02969;0.21646;0.18002;0.08193;0.08193;0.02128;0.01129;0.00028;0.00028;0.02805;0.01501;0.00520;0.00520;60.66733;94.11712
7;22.86725;1.70009;21.16715;5.29150;3.46269;0.25775;0.01000;0.01000;0.01000;0.38889;0.47343;0.01000;0.01000;0.14783;0.18866;0.04000;0.04000;0.01710;0.01932;0.04000;0.04000;0.50526;0.31609;0.19675;0.19675;0.52392;0.45480;0.32819;0.32819;0.21080;0.11383;0.03328;0.03328;0.22695;0.17803;0.09164;0.09164;0.02439;0.01317;0.00156;0.00156;0.03627;0.01794;0.00742;0.00742;60.19581;94.89184
8;22.96451;1.56607;21.39844;5.28727;3.44776;0.27810;0.01000;0.01000;0.01000;0.43023;0.47021;0.01000;0.01000;0.15653;0.17992;0.04000;0.01000;0.00814;0.00860;0.01000;0.01000;0.56317;0.34807;0.19373;0.19373;0.56088;0.43160;0.30602;0.30602;0.21739;0.12230;0.02621;0.02621;0.20499;0.16699;0.07563;0.07563;0.01065;0.00659;0.00006;0.00006;0.01084;0.00756;0.00169;0.00169;59.90994;93.26113
9;19.52267;1.88300;17.63966;4.52934;3.15672;0.34813;0.01000;0.01000;0.02000;0.40535;0.36520;0.02000;0.02000;0.15401;0.12623;0.02000;0.02000;0.01766;0.01337;0.12000;0.05000;0.46964;0.35654;0.19145;0.19145;0.44280;0.33221;0.19116;0.19116;0.17844;0.13547;0.03505;0.03505;0.16116;0.10838;0.03910;0.03910;0.03178;0.01223;0.00093;0.00093;0.01798;0.01104;0.00352;0.00352;59.52015;93.16268
10;18.69050;1.54887;17.14163;5.31121;3.34328;0.29274;0.01000;0.01000;0.01000;0.49650;0.54135;0.01000;0.01000;0.21145;0.23809;0.01000;0.01000;0.02743;0.03029;0.02000;0.02000;0.65485;0.39981;0.25522;0.25522;0.64172;0.49435;0.37238;0.37238;0.27889;0.17027;0.04430;0.04430;0.27647;0.21857;0.09915;0.09915;0.03746;0.02164;0.00070;0.00070;0.05023;0.02755;0.00557;0.00557;59.25304;93.95639
11;19.14623;1.43877;17.70745;5.43894;3.44776;0.34084;0.01000;0.01000;0.01000;0.46228;0.55526;0.02000;0.01000;0.23194;0.30219;0.06000;0.06000;0.04154;0.05590;0.13000;0.13000;0.63591;0.36312;0.27209;0.27209;0.63838;0.51429;0.41215;0.41215;0.32705;0.17968;0.07625;0.07625;0.32845;0.28658;0.16866;0.16866;0.06274;0.03104;0.00346;0.00346;0.07806;0.05182;0.02426;0.02426;59.80158;92.29142
12;16.66221;1.64615;15.01606;5.06377;3.34328;0.27218;0.01000;0.01000;0.02000;0.44153;0.46915;0.02000;0.02000;0.15973;0.16083;0.02000;0.02000;0.01185;0.01206;0.20000;0.19000;0.56087;0.36406;0.22913;0.22913;0.54523;0.43371;0.29662;0.29662;0.20290;0.13170;0.03523;0.03523;0.18884;0.14685;0.06153;0.06153;0.02787;0.00753;0.00024;0.00024;0.11766;0.00983;0.00436;0.00436;59.89914;93.04385
13;19.81023;1.58933;18.22090;4.79350;3.05224;0.46726;0.01000;0.01000;0.01000;0.48836;0.51069;0.01000;0.01000;0.17156;0.18073;0.02000;0.01000;0.02078;0.02188;0.07000;0.11000;0.61605;0.40452;0.24923;0.24923;0.60523;0.46399;0.32926;0.32926;0.22107;0.14017;0.03370;0.03370;0.21211;0.16480;0.07029;0.07029;0.02967;0.01599;0.00077;0.00077;0.07482;0.01852;0.00837;0.00837;59.61271;91.60885
14;7.66674;1.45125;6.21550;5.03495;3.17164;0.35740;0.01000;0.01000;0.01000;0.51631;0.55505;0.01000;0.01000;0.25415;0.27992;0.01000;0.01000;0.05244;0.05177;0.06000;0.06000;0.65936;0.42427;0.29309;0.29309;0.64520;0.51352;0.38499;0.38499;0.32456;0.20884;0.08256;0.08256;0.31575;0.26126;0.13753;0.13753;0.07154;0.04139;0.00419;0.00419;0.06567;0.04802;0.01240;0.01240;59.91525;91.80863
15;9.28787;1.40478;7.88309;4.90431;3.11194;0.45987;0.01000;0.01000;0.01000;0.50884;0.55535;0.01000;0.01000;0.23523;0.27748;0.02000;0.01000;0.02303;0.02565;0.10000;0.10000;0.64638;0.41957;0.28785;0.28785;0.64765;0.51316;0.38695;0.38695;0.30147;0.19285;0.06931;0.06931;0.31439;0.25940;0.14100;0.14100;0.03237;0.01787;0.00123;0.00123;0.03601;0.02400;0.01038;0.01038;60.55642;92.46897
16;31.15678;1.31366;29.84312;5.23906;3.28358;0.27539;0.01000;0.01000;0.01000;0.54461;0.60488;0.01000;0.01000;0.29739;0.33451;0.04000;0.01000;0.05456;0.06161;0.14000;0.14000;0.70890;0.44214;0.33891;0.33891;0.70465;0.56154;0.45990;0.45990;0.40160;0.23612;0.10534;0.10534;0.37461;0.31260;0.18375;0.18375;0.08000;0.04139;0.00432;0.00432;0.10806;0.05683;0.02268;0.02268;60.14897;92.62238
17;24.53027;1.58422;22.94605;4.89059;3.27612;0.44184;0.01000;0.01000;0.02000;0.39977;0.43530;0.01000;0.01000;0.16251;0.19160;0.04000;0.04000;0.01898;0.02119;0.04000;0.04000;0.50872;0.32926;0.20303;0.20303;0.51811;0.39741;0.25841;0.25841;0.21990;0.12888;0.04545;0.04545;0.22868;0.17162;0.07580;0.07580;0.02568;0.01505;0.00033;0.00033;0.02408;0.01912;0.00204;0.00204;58.84072;91.87558
18;17.42095;1.45526;15.96569;4.83072;3.12687;0.37922;0.01000;0.01000;0.01000;0.53557;0.56151;0.01000;0.01000;0.23646;0.24432;0.04000;0.02000;0.04285;0.04783;0.18000;0.12000;0.66205;0.44967;0.33980;0.33980;0.65671;0.51998;0.40384;0.40384;0.31040;0.19097;0.08964;0.08964;0.28503;0.22383;0.12635;0.12635;0.08073;0.02916;0.00694;0.00694;0.07703;0.04243;0.02240;0.02240;58.04499;91.01586
19;11.16401;1.42591;9.73810;4.79817;3.03731;0.41071;0.01000;0.01000;0.01000;0.54300;0.58906;0.01000;0.01000;0.26538;0.28998;0.06000;0.01000;0.05296;0.05608;0.08000;0.08000;0.67458;0.45437;0.34928;0.34928;0.66845;0.55419;0.44573;0.44573;0.36975;0.20696;0.09247;0.09247;0.32279;0.27504;0.15194;0.15194;0.07665;0.04045;0.00508;0.00508;0.09630;0.05068;0.02213;0.02213;58.61706;90.02999
20;9.51089;1.34914;8.16176;4.89898;3.05970;0.37062;0.01000;0.02000;0.01000;0.57402;0.61519;0.05000;0.03000;0.31986;0.35886;0.10000;0.06000;0.05899;0.06845;0.11000;0.09000;0.72286;0.47601;0.36954;0.36954;0.71001;0.57437;0.46722;0.46722;0.41405;0.26058;0.12774;0.12774;0.40444;0.33719;0.20467;0.20467;0.07658;0.04798;0.00538;0.00538;0.07540;0.06446;0.02321;0.02321;59.97662;89.91350
21;16.15571;1.46472;14.69099;4.67927;2.97015;0.57487;0.01000;0.01000;0.02000;0.51532;0.58970;0.01000;0.01000;0.24482;0.28572;0.08000;0.04000;0.04408;0.05501;0.11000;0.12000;0.64950;0.42709;0.30600;0.30600;0.67469;0.54700;0.42991;0.42991;0.34715;0.18909;0.07812;0.07812;0.32723;0.26398;0.14775;0.14775;0.06667;0.03293;0.00348;0.00348;0.07676;0.04720;0.02437;0.02437;58.65534;90.40169
22;13.80541;1.41308;12.39233;4.76069;2.93284;0.47608;0.01000;0.01000;0.01000;0.53842;0.60112;0.03000;0.02000;0.25192;0.28689;0.08000;0.04000;0.04696;0.05456;0.10000;0.10000;0.68156;0.44497;0.34512;0.34512;0.67809;0.56431;0.45250;0.45250;0.33917;0.20038;0.08983;0.08983;0.31720;0.27120;0.15003;0.15003;0.06522;0.03669;0.00466;0.00466;0.06756;0.05155;0.02132;0.02132;59.38610;90.25503
23;9.58124;1.43560;8.14564;4.67607;3.01493;0.41500;0.01000;0.01000;0.01000;0.54967;0.58623;0.01000;0.01000;0.25455;0.27450;0.08000;0.06000;0.04285;0.04012;0.45000;0.12000;0.66489;0.46849;0.35547;0.35547;0.66739;0.55100;0.43265;0.43265;0.33801;0.20414;0.10219;0.10219;0.31803;0.25270;0.15165;0.15165;0.11475;0.02634;0.00520;0.00520;0.05201;0.03606;0.01739;0.01739;58.08142;89.82075
24;15.15186;1.18948;13.96238;4.86918;3.00746;0.51950;0.01000;0.01000;0.02000;0.58458;0.68092;0.02000;0.02000;0.33208;0.41599;0.21000;0.03000;0.08690;0.11507;0.20000;0.01000;0.75259;0.47789;0.42805;0.42805;0.77327;0.63517;0.57181;0.57181;0.49351;0.25024;0.16426;0.16426;0.44495;0.39990;0.28705;0.28705;0.12774;0.06585;0.01566;0.01566;0.11958;0.11193;0.05736;0.05736;59.73075;89.41157
25;23.06239;1.31400;21.74838;4.97981;3.08209;0.45613;0.01000;0.01000;0.01000;0.49566;0.60232;0.02000;0.01000;0.29038;0.37142;0.13000;0.05000;0.08422;0.11717;0.13000;0.05000;0.64458;0.40263;0.32927;0.32927;0.65455;0.57752;0.49521;0.49521;0.43750;0.21731;0.11338;0.11338;0.40116;0.35812;0.23120;0.23120;0.12689;0.06303;0.01011;0.01011;0.12932;0.11389;0.04936;0.04936;59.11537;90.31833
26;15.29647;1.17619;14.12027;5.24973;3.29104;0.42661;0.01000;0.01000;0.01000;0.52451;0.65008;0.01000;0.01000;0.30991;0.41490;0.15000;0.01000;0.08575;0.12010;0.27000;0.39000;0.70476;0.41769;0.35685;0.35685;0.73165;0.60983;0.53583;0.53583;0.46516;0.23236;0.14731;0.14731;0.43538;0.40214;0.29742;0.29742;0.14349;0.06115;0.01552;0.01552;0.26724;0.10486;0.06377;0.06377;59.74097;89.33885
27;8.85593;1.35827;7.49766;4.57116;2.83582;0.46161;0.01000;0.01000;0.01000;0.59292;0.60651;0.01000;0.01000;0.29751;0.30186;0.04000;0.02000;0.04686;0.04321;0.54000;0.54000;0.71946;0.50423;0.36969;0.36969;0.69728;0.56635;0.45248;0.45248;0.37305;0.24741;0.10450;0.10450;0.34296;0.28051;0.16582;0.16582;0.08763;0.03198;0.00406;0.00406;0.22347;0.03550;0.02014;0.02014;58.93516;89.41074
28;20.42806;1.41619;19.01187;4.72371;3.02985;0.56646;0.01000;0.01000;0.01000;0.52105;0.61164;0.01000;0.01000;0.27234;0.34134;0.10000;0.03000;0.07337;0.09345;0.19000;0.19000;0.65899;0.43086;0.36892;0.36892;0.69215;0.57227;0.50377;0.50377;0.38488;0.21072;0.12447;0.12447;0.37339;0.32369;0.22179;0.22179;0.11197;0.05456;0.01021;0.01021;0.14714;0.08487;0.04138;0.04138;59.21846;89.08870
29;17.83109;1.17897;16.65211;5.05787;3.11940;0.43109;0.01000;0.01000;0.01000;0.53733;0.65991;0.02000;0.02000;0.32531;0.41924;0.21000;0.15000;0.10221;0.13693;0.35000;0.23000;0.71630;0.42992;0.38449;0.38449;0.74551;0.61866;0.56661;0.56661;0.52743;0.23518;0.15424;0.15424;0.46418;0.40027;0.31211;0.31211;0.19221;0.06961;0.01698;0.01698;0.20009;0.13011;0.07329;0.07329;60.19494;90.16385
