epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;2.18430;1.82650;0.35781;5.94565;4.11194;0.25013;0.01000;0.01000;0.15000;0.27980;0.36016;0.13000;0.01000;0.06562;0.09105;0.17000;0.01000;0.00000;0.00000;0.01000;0.01000;0.41996;0.20978;0.08297;0.08255;0.43722;0.32603;0.16845;0.16256;0.09962;0.04892;0.00434;0.00434;0.10585;0.08285;0.02288;0.02288;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;63.80787;101.44118
2;19.20136;1.70446;17.49689;5.82583;3.91045;0.14385;0.01000;0.01000;0.06000;0.30513;0.36805;0.08000;0.02000;0.07187;0.08742;0.09000;0.09000;0.00336;0.00336;0.26000;0.26000;0.44424;0.23236;0.11060;0.11060;0.43986;0.34333;0.19399;0.19399;0.10526;0.05456;0.00622;0.00622;0.10159;0.08227;0.02414;0.02414;0.01575;0.00188;0.00003;0.00003;0.38433;0.00200;0.00111;0.00111;62.91166;97.30146
3;16.19565;1.91244;14.28321;5.19112;3.42537;0.26152;0.01000;0.01000;0.01000;0.36018;0.37747;0.02000;0.02000;0.09033;0.09076;0.05000;0.05000;0.00485;0.00411;0.10000;0.10000;0.46370;0.29445;0.13557;0.13557;0.46823;0.34218;0.20053;0.20053;0.11747;0.07338;0.00885;0.00885;0.11682;0.08019;0.02743;0.02743;0.00681;0.00376;0.00002;0.00002;0.00684;0.00328;0.00017;0.00017;60.73332;97.13611
4;37.69246;1.86587;35.82659;5.23764;3.55224;0.28054;0.01000;0.01000;0.01000;0.34072;0.36009;0.02000;0.02000;0.09373;0.09804;0.03000;0.03000;0.00356;0.00294;0.04000;0.01000;0.44854;0.27469;0.11605;0.11605;0.46447;0.32267;0.18782;0.18782;0.12422;0.07526;0.00978;0.00978;0.13449;0.08647;0.03191;0.03191;0.00482;0.00282;0.00001;0.00001;0.01169;0.00259;0.00003;0.00003;61.26259;96.67655
5;22.95061;1.67280;21.27780;5.59451;3.62687;0.18235;0.02000;0.02000;0.02000;0.36124;0.42130;0.03000;0.02000;0.12235;0.16496;0.07000;0.04000;0.01515;0.01695;0.08000;0.08000;0.49589;0.28410;0.13926;0.13926;0.49577;0.38712;0.24714;0.24714;0.18182;0.09219;0.01755;0.01755;0.19068;0.15267;0.06754;0.06754;0.02303;0.01129;0.00023;0.00023;0.03420;0.01558;0.00331;0.00331;60.63391;95.13954
6;18.09888;1.78527;16.31360;5.30207;3.44030;0.25690;0.01000;0.01000;0.04000;0.40859;0.43402;0.01000;0.03000;0.12776;0.14488;0.07000;0.07000;0.01098;0.01447;0.09000;0.07000;0.53333;0.33114;0.16781;0.16781;0.51639;0.39764;0.23982;0.23982;0.17484;0.10066;0.01573;0.01573;0.17283;0.13220;0.04479;0.04479;0.01562;0.00847;0.00014;0.00014;0.01580;0.01350;0.00296;0.00296;60.80256;94.57876
7;16.54456;1.59935;14.94521;5.26109;3.38060;0.28525;0.01000;0.01000;0.01000;0.42733;0.46754;0.01000;0.01000;0.15717;0.17684;0.06000;0.01000;0.01800;0.02214;0.06000;0.06000;0.55572;0.34713;0.19275;0.19275;0.55120;0.43018;0.29021;0.29021;0.21689;0.12324;0.02459;0.02459;0.20405;0.16299;0.06419;0.06419;0.02483;0.01411;0.00039;0.00039;0.02358;0.02122;0.00563;0.00563;59.68533;94.85654
8;19.97995;1.64883;18.33112;5.06598;3.23134;0.37774;0.01000;0.01000;0.01000;0.42931;0.50610;0.01000;0.01000;0.16687;0.20616;0.06000;0.01000;0.02401;0.02713;0.04000;0.01000;0.55522;0.34995;0.20932;0.20932;0.57305;0.47652;0.33713;0.33713;0.24678;0.12606;0.03373;0.03373;0.22497;0.19655;0.08976;0.08976;0.03317;0.01881;0.00097;0.00097;0.02925;0.02577;0.00977;0.00977;60.55999;94.17686
9;16.62011;1.77213;14.84798;4.68245;3.05970;0.57644;0.01000;0.01000;0.01000;0.41419;0.46793;0.01000;0.01000;0.15908;0.19389;0.06000;0.04000;0.02491;0.03036;0.07000;0.07000;0.52847;0.34055;0.20256;0.20256;0.54516;0.42690;0.29030;0.29030;0.22432;0.12324;0.03673;0.03673;0.22089;0.17887;0.08000;0.08000;0.03683;0.01881;0.00090;0.00090;0.03813;0.02680;0.00896;0.00896;58.77488;93.79995
10;12.01808;1.68579;10.33229;4.94220;3.15672;0.43367;0.01000;0.01000;0.01000;0.45032;0.44175;0.01000;0.01000;0.16388;0.14631;0.02000;0.02000;0.01967;0.01498;0.07000;0.07000;0.57817;0.36877;0.21035;0.21035;0.55269;0.39105;0.25198;0.25198;0.21194;0.13358;0.03113;0.03113;0.19413;0.12494;0.05038;0.05038;0.02837;0.01505;0.00056;0.00056;0.02260;0.01164;0.00315;0.00315;58.38645;93.04775
