epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.29991;9.34936;7.93284;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.07587;21.10921
2;10.14889;9.34936;7.93284;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;15.26490;18.21916
3;6.64341;7.67629;5.70149;0.02248;0.12000;0.12000;0.15000;0.02873;0.01971;0.10000;0.10000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.03160;0.02634;0.00114;0.00114;0.26527;0.02451;0.01104;0.01104;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;14.04307;17.37101
4;2.98427;4.91798;3.61940;0.27628;0.19000;0.20000;0.15000;0.48063;0.49074;0.20000;0.20000;0.15699;0.17734;0.22000;0.22000;0.00826;0.01495;0.26000;0.26000;0.50205;0.46096;0.36973;0.36973;0.51703;0.54644;0.48481;0.48481;0.19035;0.13358;0.04873;0.04873;0.23068;0.18960;0.11579;0.11579;0.01542;0.00564;0.00012;0.00012;0.15945;0.01104;0.00369;0.00369;15.19213;17.16173
5;2.42668;3.34575;2.41791;0.60474;0.26000;0.26000;0.21000;0.57077;0.59145;0.25000;0.25000;0.16887;0.19337;0.28000;0.28000;0.00967;0.01215;0.26000;0.28000;0.56319;0.57855;0.47312;0.47312;0.60685;0.64728;0.59000;0.59000;0.19231;0.15052;0.04531;0.04531;0.21940;0.19356;0.09410;0.09410;0.00995;0.00941;0.00030;0.00030;0.02053;0.01195;0.00348;0.00348;14.85053;17.75150
6;2.28193;2.64152;1.91791;0.72595;0.29000;0.29000;0.25000;0.60025;0.63395;0.26000;0.26000;0.18398;0.21486;0.26000;0.26000;0.01928;0.02781;0.37000;0.37000;0.54630;0.66604;0.50440;0.50440;0.59058;0.72766;0.60957;0.60957;0.16744;0.20414;0.05239;0.05239;0.19981;0.24802;0.10579;0.10579;0.02680;0.01505;0.00079;0.00079;0.06330;0.02627;0.01146;0.01146;14.86716;18.87611
7;1.95724;2.45101;1.74627;0.80773;0.25000;0.24000;0.18000;0.69076;0.74306;0.24000;0.26000;0.33040;0.38718;0.26000;0.26000;0.04043;0.04797;0.29000;0.29000;0.67231;0.71025;0.62686;0.62686;0.77574;0.75308;0.74429;0.74429;0.34385;0.31797;0.16680;0.16680;0.39857;0.39922;0.26793;0.26793;0.04651;0.03575;0.00270;0.00270;0.06669;0.04812;0.01915;0.01915;14.98801;16.92382
8;1.83043;2.84946;1.98507;0.74066;0.29000;0.31000;0.26000;0.69694;0.74583;0.30000;0.30000;0.32879;0.40250;0.32000;0.32000;0.03796;0.05038;0.36000;0.36000;0.68676;0.70743;0.66440;0.66440;0.74086;0.80014;0.77346;0.77346;0.34038;0.31797;0.15819;0.15819;0.40956;0.41417;0.26049;0.26049;0.04481;0.03293;0.00229;0.00229;0.06343;0.04756;0.01392;0.01392;14.93831;17.11768
9;1.96848;2.45861;1.82090;0.82589;0.34000;0.34000;0.30000;0.66219;0.67776;0.31000;0.30000;0.25896;0.25900;0.31000;0.30000;0.02213;0.02435;0.36000;0.33000;0.63216;0.69520;0.58866;0.58866;0.67786;0.71670;0.68062;0.68062;0.24722;0.27187;0.08896;0.08896;0.26392;0.27065;0.14111;0.14111;0.02378;0.02070;0.00073;0.00073;0.03476;0.02268;0.00749;0.00749;16.40533;16.59010
10;1.57274;2.38465;1.62687;0.77280;0.30000;0.30000;0.30000;0.74131;0.79391;0.31000;0.32000;0.44195;0.51597;0.37000;0.34000;0.07492;0.09047;0.47000;0.40000;0.75097;0.73189;0.71802;0.71802;0.80284;0.81678;0.81042;0.81042;0.51241;0.38852;0.28250;0.28250;0.53267;0.51880;0.39885;0.39885;0.12963;0.05268;0.00851;0.00851;0.10170;0.08509;0.03192;0.03192;15.83264;17.45194
