epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.38587;8.80298;7.46269;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.84242;18.22127
2;10.13999;8.79620;7.44776;0.00209;0.01000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.00000;0.99254;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99254;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99254;0.00000;0.00000;0.00000;13.91181;17.30388
3;6.21389;7.03244;4.95522;0.06625;0.13000;0.14000;0.17000;0.04410;0.04065;0.11000;0.11000;0.00311;0.00204;0.16000;0.16000;0.00000;0.00000;0.01000;0.01000;0.04526;0.04300;0.00345;0.00345;0.21140;0.04464;0.01888;0.01888;0.00702;0.00200;0.00004;0.00004;0.28731;0.00140;0.00089;0.00089;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;15.36145;16.77078
4;3.85988;6.46575;4.46269;0.07812;0.17000;0.17000;0.34000;0.31429;0.33566;0.17000;0.17000;0.05214;0.05807;0.20000;0.17000;0.00343;0.00405;0.17000;0.17000;0.36667;0.27500;0.17163;0.17163;0.47248;0.36492;0.28774;0.28774;0.07863;0.03900;0.00625;0.00625;0.18128;0.06463;0.03629;0.03629;0.00400;0.00300;0.00002;0.00002;0.12383;0.00380;0.00123;0.00123;14.50565;17.65830
5;2.62536;3.79021;2.66418;0.55414;0.24000;0.24000;0.18000;0.47508;0.51874;0.22000;0.22000;0.13675;0.17851;0.23000;0.24000;0.01014;0.01882;0.29000;0.30000;0.43113;0.52900;0.35683;0.35683;0.48184;0.63308;0.48632;0.48632;0.13020;0.14400;0.03539;0.03539;0.16985;0.21300;0.10326;0.10326;0.01384;0.00800;0.00094;0.00094;0.05915;0.01953;0.01258;0.01258;16.21398;17.19457
6;2.12854;4.14837;2.75373;0.43048;0.27000;0.29000;0.12000;0.67504;0.73081;0.29000;0.29000;0.31151;0.36616;0.31000;0.31000;0.02394;0.03324;0.42000;0.39000;0.67810;0.67200;0.59882;0.59882;0.73402;0.79783;0.74480;0.74480;0.32998;0.29500;0.14620;0.14620;0.36936;0.39409;0.25010;0.25010;0.04048;0.01700;0.00134;0.00134;0.08165;0.03143;0.01065;0.01065;16.19753;16.81592
7;1.98286;2.32283;1.61940;0.79150;0.24000;0.24000;0.21000;0.68010;0.75575;0.25000;0.25000;0.31436;0.39628;0.25000;0.25000;0.03668;0.05021;0.37000;0.27000;0.68528;0.67500;0.62149;0.62149;0.76717;0.78005;0.75637;0.75637;0.31675;0.31200;0.15636;0.15636;0.39583;0.41456;0.27228;0.27228;0.06887;0.02500;0.00269;0.00269;0.05107;0.05049;0.02155;0.02155;15.36645;17.10270
8;1.94419;2.42191;1.74627;0.78635;0.30000;0.30000;0.26000;0.60401;0.68419;0.27000;0.27000;0.27681;0.35952;0.32000;0.29000;0.03402;0.04741;0.37000;0.33000;0.54458;0.67800;0.52878;0.52878;0.63317;0.78194;0.67119;0.67119;0.29339;0.26200;0.12177;0.12177;0.35057;0.38665;0.22956;0.22956;0.04334;0.02800;0.00158;0.00158;0.05721;0.04593;0.01250;0.01250;16.22488;17.31408
9;1.95371;1.85681;1.29851;0.84484;0.31000;0.31000;0.31000;0.63681;0.69749;0.31000;0.31000;0.25394;0.33757;0.31000;0.31000;0.02876;0.04270;0.33000;0.33000;0.62694;0.64700;0.56872;0.56872;0.69609;0.72595;0.67281;0.67281;0.25000;0.25800;0.09703;0.09703;0.33914;0.34796;0.19236;0.19236;0.02957;0.02800;0.00130;0.00130;0.04436;0.04219;0.01212;0.01212;16.38498;16.47357
10;1.74526;2.12308;1.38806;0.81520;0.33000;0.34000;0.37000;0.62229;0.72570;0.31000;0.29000;0.30992;0.43977;0.34000;0.31000;0.03377;0.05042;0.30000;0.30000;0.60112;0.64500;0.54364;0.54364;0.69515;0.78648;0.70728;0.70728;0.32051;0.30000;0.13764;0.13764;0.44094;0.45602;0.28156;0.28156;0.03180;0.03600;0.00176;0.00176;0.04880;0.05474;0.01362;0.01362;14.96551;17.43909
