epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;2.26427;1.93207;0.33220;4.74342;3.06716;0.25871;0.01000;0.01000;0.01000;0.31903;0.38621;0.17000;0.17000;0.05623;0.06613;0.22000;0.21000;0.00161;0.00166;0.49000;0.44000;0.40305;0.26400;0.12126;0.12126;0.43651;0.36190;0.20458;0.20458;0.07233;0.04600;0.00354;0.00354;0.07631;0.06149;0.01463;0.01463;0.00415;0.00100;0.00000;0.00000;0.02488;0.00124;0.00010;0.00010;62.92894;96.80540
2;17.68324;1.77352;15.90972;5.03125;3.31343;0.33301;0.01000;0.01000;0.01000;0.32934;0.37650;0.05000;0.05000;0.05599;0.05793;0.14000;0.14000;0.00260;0.00336;0.14000;0.12000;0.44615;0.26100;0.12450;0.12450;0.46158;0.33576;0.19913;0.19913;0.08022;0.04300;0.00351;0.00351;0.07596;0.04919;0.01138;0.01138;0.00373;0.00200;0.00001;0.00001;0.00435;0.00274;0.00025;0.00025;61.72505;96.67840
3;25.58772;1.65446;23.93327;5.01118;3.18657;0.28710;0.01000;0.01000;0.01000;0.39272;0.48130;0.04000;0.01000;0.13413;0.16793;0.10000;0.01000;0.01337;0.02388;0.27000;0.26000;0.52694;0.31300;0.17802;0.17802;0.54714;0.44785;0.30942;0.30942;0.19960;0.10100;0.02038;0.02038;0.18877;0.15627;0.06675;0.06675;0.04061;0.00800;0.00037;0.00037;0.27052;0.01975;0.01094;0.01094;59.68287;96.23012
4;21.39345;1.78479;19.60865;4.71897;2.94030;0.37602;0.01000;0.01000;0.02000;0.40967;0.45082;0.02000;0.01000;0.10848;0.12573;0.06000;0.06000;0.01329;0.01913;0.02000;0.07000;0.51756;0.33900;0.17334;0.17334;0.52975;0.41117;0.25929;0.25929;0.14404;0.08700;0.01277;0.01277;0.14996;0.11265;0.04036;0.04036;0.01679;0.01100;0.00042;0.00042;0.02171;0.01744;0.00846;0.00846;58.83771;95.35112
5;11.42282;1.58537;9.83745;5.47245;3.55970;0.22533;0.01000;0.01000;0.01000;0.38930;0.50671;0.03000;0.01000;0.16785;0.23913;0.06000;0.01000;0.02675;0.03864;0.09000;0.08000;0.58788;0.29100;0.20696;0.20696;0.58053;0.46631;0.36706;0.36706;0.29064;0.11800;0.04345;0.04345;0.26525;0.22302;0.13334;0.13334;0.05202;0.01800;0.00117;0.00117;0.14453;0.03373;0.01363;0.01363;58.70942;94.71459
6;12.60177;1.54223;11.05954;4.64726;2.86567;0.35598;0.01000;0.01000;0.01000;0.44658;0.50411;0.02000;0.01000;0.18069;0.22028;0.07000;0.03000;0.02452;0.03297;0.16000;0.16000;0.55856;0.37200;0.22628;0.22628;0.56121;0.47562;0.35072;0.35072;0.23967;0.14500;0.03811;0.03811;0.23807;0.21123;0.11024;0.11024;0.03846;0.01800;0.00108;0.00108;0.12873;0.03018;0.01651;0.01651;59.70785;95.45116
7;19.07093;1.52975;17.54118;5.24120;3.27612;0.20672;0.01000;0.01000;0.36000;0.44106;0.54276;0.02000;0.01000;0.21547;0.28622;0.06000;0.03000;0.04049;0.05676;0.08000;0.07000;0.60208;0.34800;0.25069;0.25069;0.60263;0.51347;0.41362;0.41362;0.31774;0.16300;0.06779;0.06779;0.30983;0.27186;0.17555;0.17555;0.06224;0.03000;0.00267;0.00267;0.08495;0.05343;0.02694;0.02694;60.37976;93.84433
8;20.79137;1.61531;19.17606;4.97231;3.18657;0.33249;0.01000;0.01000;0.01000;0.45857;0.52183;0.01000;0.01000;0.19404;0.23003;0.04000;0.01000;0.02221;0.02537;0.06000;0.06000;0.60826;0.36800;0.24776;0.24776;0.62394;0.47018;0.35972;0.35972;0.26516;0.15300;0.04769;0.04769;0.27119;0.20846;0.11225;0.11225;0.03202;0.01700;0.00072;0.00072;0.03221;0.02181;0.00854;0.00854;59.05098;93.32289
9;15.75388;1.53233;14.22155;5.18609;3.32836;0.21739;0.01000;0.01000;0.01000;0.45218;0.54580;0.02000;0.01000;0.23306;0.31243;0.02000;0.02000;0.05210;0.07026;0.11000;0.11000;0.61658;0.35700;0.25786;0.25786;0.62375;0.50545;0.39803;0.39803;0.31779;0.18400;0.07187;0.07187;0.34597;0.29213;0.17591;0.17591;0.09424;0.03600;0.00363;0.00363;0.15522;0.06095;0.02509;0.02509;58.91223;93.20632
10;14.10466;1.83744;12.26722;4.71818;2.97761;0.20957;0.01000;0.01000;0.32000;0.47818;0.48058;0.01000;0.01000;0.18384;0.18299;0.02000;0.01000;0.02927;0.02635;0.02000;0.02000;0.57163;0.41100;0.21519;0.21519;0.56646;0.44293;0.29301;0.29301;0.22175;0.15700;0.03133;0.03133;0.21455;0.16726;0.06449;0.06449;0.03531;0.02500;0.00090;0.00090;0.03068;0.02414;0.00564;0.00564;57.06527;93.88794
