epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;2.32591;1.94991;0.37600;4.83921;3.11940;0.29397;0.01000;0.01000;0.01000;0.34375;0.41544;0.20000;0.07000;0.06818;0.08266;0.33000;0.28000;0.00154;0.00149;0.47000;0.46000;0.45833;0.27500;0.13605;0.13605;0.48756;0.38046;0.23282;0.23282;0.10282;0.05100;0.00518;0.00518;0.10480;0.07167;0.02135;0.02135;0.00337;0.00100;0.00000;0.00000;0.03234;0.00107;0.00003;0.00003;63.69267;97.57247
2;26.63805;1.91590;24.72215;5.28939;3.64925;0.21627;0.05000;0.05000;0.05000;0.22009;0.23998;0.05000;0.01000;0.03441;0.04689;0.19000;0.19000;0.00316;0.00332;0.30000;0.01000;0.30551;0.17200;0.05235;0.05235;0.32630;0.20625;0.09294;0.09294;0.05519;0.02500;0.00182;0.00182;0.06493;0.03813;0.01443;0.01443;0.00752;0.00200;0.00002;0.00002;0.00435;0.00274;0.00045;0.00045;62.47114;96.92117
3;9.87797;1.70962;8.16835;5.13693;3.38806;0.26689;0.01000;0.01000;0.01000;0.32661;0.38007;0.01000;0.01000;0.10380;0.13563;0.04000;0.04000;0.00168;0.00373;0.22000;0.01000;0.44198;0.25900;0.12779;0.12779;0.47180;0.33708;0.21463;0.21463;0.14138;0.08200;0.01422;0.01422;0.16185;0.12322;0.05441;0.05441;0.00518;0.00100;0.00001;0.00001;0.00373;0.00373;0.00096;0.00096;61.13676;96.73021
4;15.20398;1.72022;13.48376;4.66649;2.91045;0.31289;0.01000;0.01000;0.01000;0.42443;0.47035;0.05000;0.02000;0.12696;0.14609;0.05000;0.04000;0.00922;0.00967;0.13000;0.13000;0.53670;0.35100;0.19486;0.19486;0.53503;0.43472;0.30250;0.30250;0.16055;0.10500;0.02041;0.02041;0.16370;0.13604;0.06314;0.06314;0.01351;0.00700;0.00010;0.00010;0.07967;0.00828;0.00236;0.00236;60.49002;96.49512
5;16.12736;1.60884;14.51853;4.92102;3.15672;0.23115;0.01000;0.01000;0.01000;0.42805;0.47922;0.02000;0.01000;0.15423;0.17944;0.04000;0.04000;0.01418;0.01747;0.09000;0.09000;0.54844;0.35100;0.20353;0.20353;0.56029;0.43995;0.31901;0.31901;0.20129;0.12500;0.02488;0.02488;0.20434;0.16544;0.07554;0.07554;0.01993;0.01100;0.00032;0.00032;0.03402;0.01642;0.00650;0.00650;60.05060;96.06534
6;22.17331;1.45344;20.71988;5.51457;3.58955;0.21862;0.01000;0.01000;0.48000;0.43591;0.53479;0.02000;0.01000;0.20717;0.27252;0.05000;0.05000;0.03460;0.04675;0.11000;0.11000;0.62384;0.33500;0.23440;0.23440;0.62052;0.49449;0.39776;0.39776;0.30830;0.15600;0.05051;0.05051;0.31803;0.25071;0.14001;0.14001;0.05618;0.02500;0.00145;0.00145;0.13246;0.04048;0.01520;0.01520;58.86356;96.40040
7;14.97738;1.47197;13.50541;5.00895;3.22388;0.40888;0.01000;0.01000;0.02000;0.49747;0.57171;0.01000;0.01000;0.18843;0.24019;0.05000;0.02000;0.02063;0.02376;0.17000;0.23000;0.67759;0.39300;0.29111;0.29111;0.69551;0.50791;0.41821;0.41821;0.26902;0.14500;0.03895;0.03895;0.28391;0.21483;0.10923;0.10923;0.03922;0.01400;0.00076;0.00076;0.26990;0.01751;0.00961;0.00961;60.47815;95.74174
8;8.18367;1.78441;6.39926;4.53922;2.88806;0.24436;0.01000;0.01000;0.01000;0.45470;0.50606;0.01000;0.01000;0.14541;0.16928;0.01000;0.03000;0.01857;0.02224;0.02000;0.02000;0.53752;0.39400;0.22987;0.22987;0.56483;0.48653;0.35889;0.35889;0.17190;0.12600;0.02431;0.02431;0.19468;0.15579;0.06790;0.06790;0.02213;0.01600;0.00115;0.00115;0.02535;0.02084;0.01016;0.01016;57.61115;94.90562
9;25.32732;1.48426;23.84307;4.95201;3.05970;0.24494;0.01000;0.01000;0.01000;0.48578;0.54124;0.02000;0.01000;0.17182;0.19850;0.02000;0.02000;0.01773;0.02296;0.17000;0.17000;0.63592;0.39300;0.26330;0.26330;0.63258;0.50440;0.38403;0.38403;0.22492;0.13900;0.03629;0.03629;0.22336;0.18712;0.09281;0.09281;0.04564;0.01100;0.00073;0.00073;0.27861;0.01860;0.01133;0.01133;57.45935;94.68737
10;24.11276;1.51581;22.59695;4.68086;2.79104;0.33550;0.01000;0.01000;0.01000;0.50590;0.56743;0.05000;0.01000;0.23000;0.27859;0.06000;0.01000;0.03664;0.04764;0.08000;0.07000;0.66831;0.40700;0.28207;0.28207;0.63015;0.53770;0.42655;0.42655;0.30667;0.18400;0.05491;0.05491;0.30095;0.26603;0.14061;0.14061;0.04974;0.02900;0.00123;0.00123;0.07433;0.04503;0.01368;0.01368;58.52058;94.08538
