epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;2.23762;1.90871;0.32891;4.25757;2.79851;0.48078;0.01000;0.01000;0.13000;0.34227;0.41600;0.22000;0.17000;0.06323;0.07196;0.24000;0.24000;0.00179;0.00187;0.63000;0.55000;0.44298;0.27888;0.12744;0.12744;0.48007;0.38380;0.22472;0.22472;0.08319;0.05099;0.00398;0.00398;0.08452;0.06542;0.01384;0.01384;0.00629;0.00104;0.00001;0.00001;0.09328;0.00124;0.00026;0.00026;63.10692;96.22153
2;2.05351;1.87948;0.17403;4.35462;2.75373;0.51837;0.01000;0.01000;0.01000;0.40102;0.47901;0.05000;0.05000;0.10359;0.13591;0.18000;0.21000;0.00860;0.01271;0.21000;0.21000;0.51639;0.32778;0.21151;0.21151;0.54724;0.44613;0.33056;0.33056;0.15400;0.07804;0.01442;0.01442;0.18236;0.11948;0.05333;0.05333;0.01379;0.00624;0.00013;0.00013;0.03035;0.01132;0.00452;0.00452;60.83259;96.01566
3;31.43188;1.73953;29.69235;4.33314;2.68657;0.44276;0.01000;0.01000;0.01000;0.42590;0.47826;0.01000;0.01000;0.12831;0.15737;0.11000;0.04000;0.01587;0.01524;0.11000;0.09000;0.53023;0.35588;0.20743;0.20743;0.54978;0.44355;0.30826;0.30826;0.17604;0.10094;0.02219;0.02219;0.17889;0.14657;0.06681;0.06681;0.02178;0.01249;0.00026;0.00026;0.02631;0.01343;0.00334;0.00334;60.97827;95.40966
4;14.03691;1.66252;12.37439;5.23550;3.45522;0.30603;0.01000;0.01000;0.02000;0.38547;0.47324;0.11000;0.01000;0.13167;0.17175;0.10000;0.10000;0.01597;0.02226;0.15000;0.01000;0.58599;0.28720;0.19408;0.19408;0.57390;0.42350;0.32535;0.32535;0.19710;0.09886;0.02580;0.02580;0.20313;0.15444;0.07984;0.07984;0.02638;0.01145;0.00035;0.00035;0.02537;0.02016;0.00601;0.00601;60.90896;93.90824
5;13.38754;1.74267;11.64487;4.26370;2.71642;0.50847;0.01000;0.01000;0.01000;0.47139;0.53982;0.01000;0.01000;0.16860;0.22277;0.05000;0.02000;0.02096;0.02757;0.06000;0.06000;0.58578;0.39438;0.26070;0.26070;0.61869;0.50359;0.40141;0.40141;0.22091;0.13632;0.03749;0.03749;0.24656;0.20980;0.11392;0.11392;0.02827;0.01665;0.00184;0.00184;0.02988;0.02596;0.01325;0.01325;60.38687;94.57264
6;20.71674;1.43667;19.28007;4.69757;2.90299;0.35837;0.01000;0.01000;0.01000;0.49598;0.59321;0.04000;0.01000;0.24397;0.32303;0.04000;0.01000;0.02903;0.04169;0.14000;0.11000;0.69680;0.38502;0.30330;0.30330;0.66292;0.55703;0.47783;0.47783;0.34275;0.18939;0.07742;0.07742;0.35034;0.30813;0.19207;0.19207;0.04796;0.02081;0.00114;0.00114;0.13408;0.03966;0.01741;0.01741;60.06384;95.12412
7;19.74955;1.53470;18.21485;4.45207;2.71642;0.44600;0.01000;0.01000;0.01000;0.48285;0.55615;0.02000;0.02000;0.20403;0.25837;0.04000;0.04000;0.02282;0.02937;0.06000;0.06000;0.61990;0.39542;0.26717;0.26717;0.63128;0.51715;0.41120;0.41120;0.27163;0.16337;0.05436;0.05436;0.28707;0.24141;0.13970;0.13970;0.03214;0.01769;0.00082;0.00082;0.05597;0.02751;0.01153;0.01153;58.76486;95.02140
8;21.04472;1.50554;19.53918;4.48630;2.70896;0.45135;0.01000;0.01000;0.01000;0.47219;0.54125;0.06000;0.03000;0.21291;0.26075;0.12000;0.12000;0.03067;0.04610;0.40000;0.40000;0.62393;0.37981;0.26607;0.26607;0.60487;0.50784;0.38591;0.38591;0.29520;0.16649;0.05508;0.05508;0.29149;0.24324;0.12821;0.12821;0.06835;0.01977;0.00133;0.00133;0.24701;0.03794;0.01620;0.01620;58.19769;95.18524
9;12.08852;1.50629;10.58223;4.54743;2.78358;0.26029;0.01000;0.01000;0.01000;0.48365;0.54623;0.01000;0.01000;0.20598;0.24501;0.13000;0.01000;0.03458;0.04371;0.28000;0.28000;0.59394;0.40791;0.27484;0.27484;0.61071;0.51363;0.40176;0.40176;0.28493;0.16129;0.04563;0.04563;0.26916;0.23081;0.11062;0.11062;0.05621;0.02497;0.00242;0.00242;0.18738;0.03759;0.01538;0.01538;58.86706;93.84454
10;8.04023;1.54400;6.49623;4.30723;2.59701;0.28210;0.01000;0.01000;0.01000;0.48383;0.51976;0.01000;0.01000;0.20706;0.22898;0.04000;0.04000;0.03044;0.03132;0.18000;0.18000;0.56982;0.42040;0.26498;0.26498;0.57933;0.49113;0.36289;0.36289;0.24963;0.17690;0.04610;0.04610;0.25065;0.21735;0.10275;0.10275;0.04182;0.02393;0.00098;0.00098;0.10500;0.02781;0.00743;0.00743;57.37322;93.63845
