epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;2.33287;1.96440;0.36847;4.44116;2.81343;0.30218;0.07000;0.07000;0.07000;0.31621;0.40185;0.17000;0.07000;0.06864;0.08443;0.23000;0.23000;0.00441;0.00409;0.36000;0.36000;0.41289;0.25622;0.12439;0.12439;0.46525;0.37109;0.22583;0.22583;0.09091;0.05514;0.00810;0.00810;0.09961;0.07703;0.02978;0.02978;0.00686;0.00324;0.00002;0.00002;0.00560;0.00324;0.00002;0.00002;62.39953;96.26225
2;28.74855;1.80815;26.94040;4.65448;2.93284;0.32694;0.01000;0.01000;0.01000;0.39810;0.49673;0.06000;0.01000;0.11164;0.13797;0.07000;0.01000;0.01005;0.01338;0.26000;0.26000;0.53565;0.31676;0.19198;0.19198;0.57376;0.45828;0.32192;0.32192;0.15074;0.08865;0.01370;0.01370;0.15492;0.12852;0.04369;0.04369;0.02230;0.00649;0.00011;0.00011;0.11256;0.00959;0.00182;0.00182;62.48138;96.95671
3;19.31292;1.90275;17.41017;4.08218;2.51493;0.49763;0.01000;0.01000;0.04000;0.46922;0.54079;0.04000;0.04000;0.14192;0.17651;0.07000;0.05000;0.01162;0.01220;0.16000;0.16000;0.58576;0.39135;0.23270;0.23270;0.61020;0.50379;0.34745;0.34745;0.18090;0.11676;0.02323;0.02323;0.19622;0.16436;0.06729;0.06729;0.01770;0.00865;0.00014;0.00014;0.02425;0.00978;0.00148;0.00148;61.04476;96.48179
4;19.41701;1.60705;17.80996;4.20731;2.46269;0.44902;0.01000;0.01000;0.01000;0.49866;0.58396;0.06000;0.02000;0.18383;0.22601;0.08000;0.08000;0.02528;0.03038;0.09000;0.09000;0.65897;0.40108;0.29870;0.29870;0.64968;0.54998;0.44591;0.44591;0.25479;0.14378;0.04834;0.04834;0.25548;0.21429;0.12247;0.12247;0.03607;0.01946;0.00100;0.00100;0.04851;0.02807;0.01234;0.01234;61.71186;95.42476
5;12.94946;1.48449;11.46497;4.72055;2.85075;0.24267;0.01000;0.01000;0.01000;0.49799;0.58638;0.01000;0.01000;0.23209;0.29435;0.04000;0.01000;0.02917;0.03837;0.17000;0.17000;0.65664;0.40108;0.30785;0.30785;0.65947;0.54678;0.46113;0.46113;0.34395;0.17514;0.06813;0.06813;0.32003;0.27826;0.16923;0.16923;0.05825;0.01946;0.00114;0.00114;0.25684;0.03211;0.01477;0.01477;61.11640;95.79075
6;14.13819;1.92301;12.21519;4.09496;2.47015;0.45888;0.01000;0.01000;0.01000;0.49840;0.54970;0.01000;0.02000;0.18253;0.21315;0.05000;0.02000;0.01150;0.01297;0.14000;0.14000;0.60938;0.42162;0.28809;0.28809;0.61835;0.51579;0.39624;0.39624;0.23244;0.15027;0.04415;0.04415;0.23229;0.20187;0.10185;0.10185;0.01717;0.00865;0.00023;0.00023;0.08159;0.01209;0.00561;0.00561;60.25096;95.88581
7;10.45415;1.54790;8.90625;4.58420;2.82090;0.31304;0.01000;0.01000;0.01000;0.49492;0.55528;0.03000;0.01000;0.21559;0.25255;0.03000;0.03000;0.02535;0.03408;0.14000;0.14000;0.66364;0.39459;0.27778;0.27778;0.65110;0.50810;0.40359;0.40359;0.28909;0.17189;0.05456;0.05456;0.28246;0.23584;0.13085;0.13085;0.04087;0.01838;0.00101;0.00101;0.12525;0.02951;0.01062;0.01062;60.01513;95.49688
8;31.26178;1.35454;29.90724;4.98206;2.92537;0.20676;0.01000;0.01000;0.37000;0.50937;0.61716;0.02000;0.01000;0.27342;0.34773;0.02000;0.02000;0.06442;0.09223;0.14000;0.02000;0.71124;0.39676;0.33105;0.33105;0.68264;0.58280;0.50709;0.50709;0.38178;0.21297;0.11159;0.11159;0.38733;0.33252;0.23407;0.23407;0.11082;0.04541;0.00845;0.00845;0.11244;0.08912;0.04561;0.04561;59.97850;95.81326
9;25.84467;1.38595;24.45872;4.58827;2.73881;0.28806;0.01000;0.01000;0.01000;0.49730;0.60965;0.02000;0.01000;0.29934;0.36706;0.11000;0.03000;0.06273;0.08027;0.15000;0.15000;0.66011;0.39892;0.33096;0.33096;0.66203;0.58214;0.50318;0.50318;0.46575;0.22054;0.13229;0.13229;0.39115;0.35140;0.25411;0.25411;0.10145;0.04541;0.00621;0.00621;0.17388;0.07394;0.03743;0.03743;59.86349;95.24388
10;11.67753;1.49481;10.18272;4.30810;2.48507;0.32214;0.01000;0.01000;0.01000;0.55305;0.62191;0.01000;0.01000;0.22721;0.25894;0.04000;0.03000;0.03257;0.03743;0.13000;0.12000;0.68254;0.46486;0.38053;0.38053;0.69506;0.58376;0.49648;0.49648;0.29202;0.18595;0.06985;0.06985;0.28391;0.24418;0.13783;0.13783;0.05164;0.02378;0.00247;0.00247;0.07868;0.03249;0.01693;0.01693;58.65142;95.54684
11;19.81556;1.38120;18.43436;4.58502;2.64925;0.29410;0.01000;0.01000;0.01000;0.54086;0.64958;0.01000;0.01000;0.29137;0.36511;0.09000;0.09000;0.05446;0.07392;0.18000;0.18000;0.70172;0.44000;0.36429;0.36429;0.70679;0.61944;0.53310;0.53310;0.42127;0.22270;0.11371;0.11371;0.40737;0.34197;0.22732;0.22732;0.09068;0.03892;0.00588;0.00588;0.16134;0.06823;0.03613;0.03613;59.03478;93.73678
12;18.40841;1.26901;17.13939;4.41165;2.50746;0.31472;0.01000;0.01000;0.01000;0.54178;0.64611;0.01000;0.01000;0.33380;0.41004;0.08000;0.01000;0.06738;0.07733;0.38000;0.38000;0.68369;0.44865;0.38465;0.38465;0.69455;0.62087;0.54716;0.54716;0.46435;0.26054;0.15899;0.15899;0.43024;0.39667;0.28287;0.28287;0.14041;0.04432;0.01021;0.01021;0.30423;0.06407;0.03796;0.03796;58.94462;93.88084
13;12.54206;1.35529;11.18678;4.35290;2.50000;0.30787;0.01000;0.01000;0.01000;0.57365;0.65338;0.02000;0.01000;0.32384;0.38226;0.11000;0.04000;0.07732;0.09019;0.24000;0.24000;0.71753;0.47784;0.40736;0.40736;0.71730;0.62274;0.54550;0.54550;0.45331;0.25189;0.13153;0.13153;0.40904;0.36491;0.23778;0.23778;0.12381;0.05622;0.00955;0.00955;0.20480;0.07836;0.03983;0.03983;58.83718;94.40200
14;17.79925;1.28285;16.51640;4.19844;2.41791;0.37640;0.01000;0.01000;0.01000;0.57746;0.66584;0.01000;0.01000;0.32339;0.39036;0.04000;0.01000;0.06759;0.08148;0.04000;0.04000;0.70801;0.48757;0.39744;0.39744;0.72697;0.63559;0.55575;0.55575;0.41781;0.26378;0.12987;0.12987;0.41650;0.37565;0.25699;0.25699;0.08733;0.05514;0.00706;0.00706;0.09027;0.07638;0.03598;0.03598;58.55754;94.39096
15;8.12250;1.32291;6.79959;3.94174;2.20896;0.49563;0.01000;0.01000;0.01000;0.62437;0.69138;0.02000;0.01000;0.33402;0.38156;0.11000;0.03000;0.07901;0.08395;0.19000;0.18000;0.75576;0.53189;0.43747;0.43747;0.75982;0.65733;0.57801;0.57801;0.45849;0.26270;0.12025;0.12025;0.40760;0.36500;0.22412;0.22412;0.12217;0.05838;0.00646;0.00646;0.17783;0.07465;0.02735;0.02735;57.66488;93.58107
16;21.79151;1.70632;20.08519;4.08218;2.35075;0.46065;0.01000;0.01000;0.01000;0.49841;0.60374;0.01000;0.01000;0.29062;0.36440;0.09000;0.01000;0.03659;0.04655;0.08000;0.08000;0.60494;0.42378;0.34355;0.34355;0.64575;0.58182;0.49103;0.49103;0.43008;0.21946;0.13657;0.13657;0.38058;0.35498;0.24076;0.24076;0.05242;0.02811;0.00233;0.00233;0.06393;0.04120;0.01834;0.01834;57.25550;93.52627
17;14.30534;1.38590;12.91944;3.89125;2.23134;0.44530;0.01000;0.01000;0.01000;0.58052;0.66724;0.05000;0.01000;0.33673;0.39146;0.13000;0.04000;0.06456;0.07297;0.17000;0.12000;0.70588;0.49297;0.42533;0.42533;0.71486;0.64625;0.56998;0.56998;0.45255;0.26811;0.15113;0.15113;0.41363;0.37809;0.26135;0.26135;0.09200;0.04973;0.00584;0.00584;0.10128;0.06923;0.02855;0.02855;58.53800;92.89553
18;32.10768;1.30525;30.80243;3.80102;2.22388;0.46346;0.01000;0.01000;0.01000;0.62408;0.66349;0.01000;0.01000;0.32815;0.36406;0.09000;0.02000;0.07867;0.08708;0.14000;0.06000;0.72262;0.54919;0.44183;0.44183;0.72415;0.63457;0.54308;0.54308;0.41005;0.27351;0.12711;0.12711;0.38754;0.35001;0.21406;0.21406;0.10261;0.06378;0.00904;0.00904;0.09395;0.08278;0.03752;0.03752;58.24017;93.43525
19;25.20777;1.12271;24.08506;3.71463;2.03731;0.55756;0.01000;0.01000;0.01000;0.65283;0.73871;0.04000;0.01000;0.41851;0.50726;0.08000;0.04000;0.11825;0.14723;0.21000;0.17000;0.78045;0.56108;0.49475;0.49475;0.79502;0.70993;0.64861;0.64861;0.52709;0.34703;0.22804;0.22804;0.53071;0.49345;0.38114;0.38114;0.18202;0.08757;0.01970;0.01970;0.21308;0.13872;0.07570;0.07570;58.20104;93.34082
20;20.75047;1.26340;19.48707;3.55763;1.97015;0.53727;0.01000;0.01000;0.01000;0.66707;0.72151;0.01000;0.01000;0.37973;0.42417;0.19000;0.01000;0.07799;0.08676;0.25000;0.25000;0.76144;0.59351;0.47940;0.47940;0.77351;0.69613;0.61102;0.61102;0.50631;0.30378;0.15494;0.15494;0.44220;0.41340;0.26818;0.26818;0.10959;0.06054;0.00612;0.00612;0.16789;0.07885;0.03016;0.03016;56.37146;92.94683
21;15.80258;1.24002;14.56255;3.91038;2.15672;0.45471;0.01000;0.01000;0.01000;0.67001;0.71860;0.02000;0.01000;0.43063;0.47709;0.03000;0.03000;0.09808;0.11093;0.21000;0.20000;0.79613;0.57838;0.51433;0.51433;0.78836;0.68466;0.61989;0.61989;0.51347;0.37081;0.24974;0.24974;0.51172;0.45779;0.35031;0.35031;0.14315;0.07459;0.01375;0.01375;0.16663;0.10127;0.04950;0.04950;56.48460;92.29418
22;18.71209;1.88290;16.82919;4.55153;2.89552;0.24083;0.01000;0.01000;0.01000;0.30716;0.30499;0.03000;0.03000;0.09034;0.08163;0.03000;0.03000;0.01182;0.00942;0.06000;0.05000;0.42996;0.23892;0.12780;0.12780;0.40835;0.26977;0.17875;0.17875;0.12646;0.07027;0.01382;0.01382;0.11255;0.07258;0.03725;0.03725;0.01865;0.00865;0.00030;0.00030;0.02040;0.00772;0.00297;0.00297;55.15493;92.40583
23;21.00219;1.16897;19.83322;3.85367;2.23881;0.47897;0.01000;0.01000;0.01000;0.66873;0.73106;0.01000;0.01000;0.40261;0.46144;0.06000;0.02000;0.10411;0.12253;0.10000;0.06000;0.78457;0.58270;0.50497;0.50497;0.80752;0.69469;0.62902;0.62902;0.50909;0.33297;0.21547;0.21547;0.49441;0.44319;0.32909;0.32909;0.14206;0.08216;0.01467;0.01467;0.13271;0.11656;0.05365;0.05365;57.51984;92.65269
24;9.60568;1.21691;8.38877;3.54291;2.00000;0.55245;0.01000;0.01000;0.01000;0.66748;0.71349;0.04000;0.02000;0.40870;0.45000;0.25000;0.03000;0.11997;0.12930;0.47000;0.47000;0.76793;0.59027;0.51749;0.51749;0.77316;0.68466;0.60479;0.60479;0.52365;0.33514;0.21417;0.21417;0.47741;0.43332;0.30358;0.30358;0.18552;0.08865;0.02061;0.02061;0.22333;0.11312;0.05777;0.05777;57.19734;92.13408
25;29.09699;1.05655;28.04044;3.83620;2.08955;0.50437;0.01000;0.01000;0.01000;0.66667;0.74126;0.09000;0.05000;0.45268;0.52778;0.22000;0.05000;0.11626;0.12821;0.31000;0.31000;0.81211;0.56541;0.51743;0.51743;0.80782;0.70701;0.64750;0.64750;0.58362;0.36973;0.26361;0.26361;0.55301;0.51185;0.40031;0.40031;0.16154;0.09081;0.01950;0.01950;0.15849;0.11837;0.06070;0.06070;57.04837;92.05788
26;28.77846;1.34515;27.43331;3.68032;2.08209;0.52687;0.01000;0.01000;0.02000;0.66253;0.73723;0.06000;0.06000;0.40000;0.46491;0.12000;0.06000;0.09085;0.10841;0.29000;0.08000;0.77729;0.57730;0.51458;0.51458;0.79610;0.71155;0.64856;0.64856;0.48030;0.34270;0.21699;0.21699;0.48668;0.45080;0.32031;0.32031;0.12500;0.07135;0.01176;0.01176;0.11294;0.10528;0.04295;0.04295;56.23096;92.65424
27;14.41060;1.29800;13.11260;3.34352;1.85075;0.57629;0.01000;0.01000;0.01000;0.70419;0.70491;0.03000;0.03000;0.40574;0.38967;0.13000;0.05000;0.08516;0.07666;0.36000;0.15000;0.78926;0.63568;0.50791;0.50791;0.76633;0.67631;0.56316;0.56316;0.48006;0.35135;0.16857;0.16857;0.42026;0.37208;0.21625;0.21625;0.11676;0.06703;0.00754;0.00754;0.08386;0.07224;0.01979;0.01979;57.03711;91.86170
28;20.59523;1.17015;19.42508;4.33142;2.43284;0.36184;0.01000;0.01000;0.01000;0.56110;0.68707;0.02000;0.01000;0.36066;0.44344;0.14000;0.02000;0.07231;0.09072;0.18000;0.11000;0.71524;0.46162;0.42032;0.42032;0.73539;0.66144;0.61483;0.61483;0.58034;0.26162;0.19623;0.19623;0.46318;0.43207;0.34483;0.34483;0.12533;0.05081;0.00955;0.00955;0.17061;0.08734;0.05222;0.05222;55.92986;92.82262
29;36.81373;1.22370;35.59003;4.18954;2.34328;0.38555;0.01000;0.01000;0.01000;0.64621;0.73743;0.03000;0.01000;0.38808;0.46836;0.04000;0.04000;0.10526;0.12615;0.07000;0.07000;0.81549;0.53514;0.48465;0.48465;0.80723;0.70546;0.65728;0.65728;0.50085;0.31676;0.19389;0.19389;0.49942;0.45006;0.34589;0.34589;0.15000;0.08108;0.01369;0.01369;0.16204;0.11508;0.05664;0.05664;55.87122;91.27888
30;13.69837;1.15977;12.53860;3.48236;1.87313;0.54490;0.01000;0.01000;0.01000;0.73209;0.76753;0.01000;0.01000;0.45667;0.49981;0.13000;0.03000;0.10097;0.09635;0.35000;0.35000;0.82609;0.65730;0.59977;0.59977;0.82455;0.74199;0.68273;0.68273;0.55030;0.39027;0.25657;0.25657;0.52609;0.48472;0.34778;0.34778;0.14012;0.07892;0.01189;0.01189;0.14363;0.08763;0.03352;0.03352;56.28749;91.24529
31;31.55918;1.07579;30.48340;4.00373;2.19403;0.41394;0.01000;0.01000;0.01000;0.68302;0.77052;0.01000;0.01000;0.47432;0.55927;0.24000;0.03000;0.16318;0.19756;0.44000;0.35000;0.81654;0.58703;0.55413;0.55305;0.83021;0.74651;0.71568;0.71195;0.63243;0.37946;0.30078;0.29970;0.58075;0.54863;0.46714;0.46341;0.24565;0.12216;0.03832;0.03832;0.30082;0.18873;0.11337;0.11337;57.00109;91.06695
32;20.37551;1.25173;19.12378;3.25531;1.70896;0.69237;0.01000;0.03000;0.04000;0.65939;0.73071;0.01000;0.03000;0.39231;0.45654;0.18000;0.02000;0.08778;0.10989;0.30000;0.21000;0.75034;0.58811;0.52637;0.52637;0.76811;0.70916;0.63814;0.63814;0.48189;0.33081;0.21226;0.21226;0.46731;0.44960;0.31422;0.31422;0.11691;0.07027;0.01059;0.01059;0.11609;0.10635;0.04456;0.04456;55.52025;91.38661
33;25.46764;1.13056;24.33709;3.65489;1.98507;0.49848;0.05000;0.05000;0.05000;0.71359;0.75080;0.06000;0.06000;0.46763;0.51272;0.20000;0.08000;0.13738;0.14909;0.66000;0.57000;0.82228;0.63027;0.56121;0.56013;0.81939;0.71899;0.65270;0.65084;0.55856;0.40216;0.26669;0.26560;0.54278;0.49415;0.36948;0.36761;0.20742;0.10270;0.02462;0.02354;0.21901;0.13836;0.06948;0.06762;55.70724;91.06092
34;11.68101;1.16544;10.51557;4.05466;2.29104;0.51004;0.01000;0.01000;0.01000;0.62082;0.72908;0.03000;0.03000;0.41708;0.51750;0.25000;0.08000;0.14556;0.17078;0.37000;0.37000;0.76545;0.52216;0.48668;0.48560;0.78856;0.69917;0.65931;0.65558;0.61042;0.31676;0.26585;0.26477;0.53634;0.50677;0.43395;0.43022;0.24365;0.10378;0.03361;0.03253;0.31095;0.15654;0.09824;0.09450;55.43008;90.80346
35;21.82527;1.27730;20.54797;4.18062;2.53731;0.55503;0.01000;0.01000;0.01000;0.62929;0.70759;0.01000;0.01000;0.34565;0.40232;0.01000;0.01000;0.06886;0.08136;0.06000;0.04000;0.80711;0.51568;0.45126;0.45126;0.81174;0.65169;0.59188;0.59188;0.44332;0.28324;0.15415;0.15415;0.44719;0.37597;0.26971;0.26971;0.13272;0.04649;0.00811;0.00811;0.14353;0.07193;0.04096;0.04096;54.53523;90.47536
36;19.23704;1.10019;18.13685;3.77245;2.09701;0.52658;0.01000;0.01000;0.01000;0.71086;0.77062;0.02000;0.02000;0.46795;0.52952;0.05000;0.05000;0.13847;0.15479;0.25000;0.25000;0.85432;0.60865;0.58059;0.58059;0.85787;0.72756;0.69559;0.69559;0.57480;0.39459;0.29097;0.29097;0.58260;0.50189;0.40495;0.40495;0.20378;0.10486;0.03586;0.03586;0.21924;0.14319;0.09159;0.09159;56.08068;90.26679
37;16.50687;1.06607;15.44080;3.64057;1.98507;0.57962;0.01000;0.01000;0.01000;0.71189;0.77922;0.02000;0.02000;0.48085;0.55575;0.15000;0.02000;0.16749;0.20249;0.29000;0.29000;0.83871;0.61838;0.58446;0.58338;0.84799;0.74786;0.71356;0.70983;0.61800;0.39351;0.31230;0.31122;0.58233;0.54189;0.45352;0.44979;0.24380;0.12757;0.04403;0.04403;0.27411;0.19051;0.12159;0.12159;55.83645;91.33756
