epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.45560;8.16116;6.90299;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;17.93346;21.35724
2;10.23814;8.15155;6.88060;0.00474;0.01000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.00000;0.98507;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98507;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.98507;0.00000;0.00000;0.00000;15.21259;19.53318
3;6.04102;6.22884;4.43284;0.02663;0.14000;0.15000;0.03000;0.07133;0.06359;0.15000;0.16000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.10482;0.05405;0.00867;0.00867;0.31429;0.05798;0.03438;0.03438;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;16.77981;18.32194
4;2.93956;3.71564;2.34328;0.35240;0.24000;0.24000;0.20000;0.54700;0.57746;0.26000;0.26000;0.19406;0.20631;0.26000;0.26000;0.01453;0.01494;0.34000;0.34000;0.62293;0.48757;0.42697;0.42697;0.63976;0.57633;0.53022;0.53022;0.22099;0.17297;0.06445;0.06445;0.22410;0.20857;0.11085;0.11085;0.02866;0.00973;0.00039;0.00039;0.12649;0.01164;0.00506;0.00506;17.27058;18.04128
5;2.52710;3.47915;2.38806;0.47102;0.27000;0.27000;0.24000;0.53020;0.53383;0.28000;0.27000;0.14238;0.16871;0.24000;0.29000;0.01329;0.01821;0.30000;0.22000;0.54925;0.51243;0.39723;0.39723;0.54438;0.57859;0.49358;0.49358;0.12825;0.16000;0.02896;0.02896;0.19918;0.17141;0.07690;0.07690;0.01507;0.01189;0.00030;0.00030;0.01663;0.02162;0.00460;0.00460;16.16860;19.62016
6;2.07837;2.57572;1.78358;0.72550;0.31000;0.31000;0.27000;0.63885;0.71207;0.29000;0.29000;0.24936;0.34334;0.29000;0.29000;0.03061;0.04759;0.32000;0.32000;0.61024;0.67027;0.52456;0.52456;0.69822;0.76499;0.69422;0.69422;0.23819;0.26162;0.07614;0.07614;0.34090;0.36572;0.19614;0.19614;0.03218;0.02919;0.00120;0.00120;0.05221;0.04646;0.01613;0.01613;17.00914;18.55976
7;1.98146;3.24497;2.14925;0.45552;0.23000;0.25000;0.22000;0.66313;0.72554;0.23000;0.25000;0.35974;0.43438;0.26000;0.26000;0.06007;0.08118;0.30000;0.30000;0.65104;0.67568;0.60834;0.60834;0.74013;0.75016;0.73813;0.73813;0.40053;0.32649;0.21234;0.21234;0.45540;0.43631;0.32698;0.32698;0.08148;0.04757;0.00817;0.00817;0.11333;0.07427;0.03785;0.03785;15.85531;20.35666
8;1.84831;2.07328;1.36567;0.78593;0.28000;0.31000;0.28000;0.76317;0.80383;0.31000;0.31000;0.39558;0.44963;0.35000;0.35000;0.04054;0.05305;0.35000;0.37000;0.78360;0.74378;0.73318;0.73318;0.81605;0.82038;0.81593;0.81593;0.45804;0.34811;0.21179;0.21179;0.49316;0.42713;0.31765;0.31765;0.04694;0.03568;0.00337;0.00337;0.07199;0.04879;0.01982;0.01982;17.36105;18.54817
9;1.74798;2.29860;1.40299;0.74405;0.29000;0.32000;0.29000;0.75289;0.80657;0.36000;0.36000;0.44564;0.52629;0.38000;0.37000;0.06132;0.06750;0.46000;0.43000;0.80793;0.70486;0.71948;0.71948;0.83547;0.80388;0.82045;0.82045;0.49800;0.40324;0.26766;0.26766;0.54395;0.52570;0.39946;0.39946;0.08627;0.04757;0.00539;0.00539;0.07507;0.06312;0.02225;0.02225;16.81703;20.20976
10;1.60987;1.93553;1.25373;0.80465;0.26000;0.26000;0.26000;0.74228;0.80943;0.26000;0.26000;0.46243;0.57773;0.30000;0.26000;0.09888;0.13991;0.36000;0.35000;0.73137;0.75351;0.69668;0.69668;0.79720;0.84854;0.81871;0.81871;0.49689;0.43243;0.29358;0.29358;0.56613;0.60875;0.47016;0.47016;0.12669;0.08108;0.01221;0.01221;0.16634;0.12749;0.05407;0.05407;16.26911;19.69992
