epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;16.36423;2.06647;14.29776;5.07907;3.27068;0.20907;0.01000;0.01000;0.19000;0.32538;0.38367;0.13000;0.12000;0.05855;0.08132;0.39000;0.39000;0.00000;0.00000;0.01000;0.01000;0.42560;0.26337;0.12910;0.12910;0.44843;0.35238;0.21634;0.21634;0.08925;0.04356;0.00580;0.00580;0.10075;0.07188;0.03310;0.03310;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;62.00376;98.83996
2;29.30628;1.78626;27.52002;5.02550;3.18045;0.25943;0.01000;0.01000;0.01000;0.37315;0.45237;0.08000;0.01000;0.10138;0.12846;0.12000;0.12000;0.00396;0.00367;0.21000;0.16000;0.49349;0.30000;0.16902;0.16902;0.51475;0.42147;0.27933;0.27933;0.13776;0.08020;0.01297;0.01297;0.15092;0.11739;0.04856;0.04856;0.00594;0.00297;0.00003;0.00003;0.00526;0.00295;0.00071;0.00071;61.46522;94.58960
3;1.97019;1.80016;0.17004;5.27229;3.46617;0.28910;0.01000;0.01000;0.03000;0.33376;0.43656;0.06000;0.03000;0.10486;0.14290;0.07000;0.07000;0.00663;0.00860;0.28000;0.19000;0.46786;0.25941;0.14681;0.14681;0.49475;0.40616;0.27267;0.27267;0.14801;0.08119;0.01704;0.01704;0.16135;0.13392;0.05695;0.05695;0.02041;0.00396;0.00009;0.00009;0.05702;0.00741;0.00363;0.00363;60.53659;95.06011
4;24.09342;1.87789;22.21553;4.75727;3.05263;0.31993;0.01000;0.01000;0.02000;0.35521;0.39480;0.04000;0.02000;0.09204;0.10499;0.07000;0.04000;0.00431;0.00480;0.16000;0.16000;0.45315;0.29208;0.12535;0.12535;0.47241;0.35615;0.20794;0.20794;0.12375;0.07327;0.00851;0.00851;0.12397;0.09429;0.02755;0.02755;0.00787;0.00297;0.00002;0.00002;0.06642;0.00401;0.00054;0.00054;59.31085;94.14190
5;20.64269;1.72478;18.91791;4.83875;3.08271;0.31701;0.01000;0.01000;0.01000;0.38480;0.44668;0.01000;0.01000;0.09409;0.11622;0.01000;0.01000;0.00623;0.00592;0.03000;0.03000;0.49228;0.31584;0.17358;0.17358;0.51000;0.41353;0.28995;0.28995;0.12037;0.07723;0.00980;0.00980;0.12912;0.10855;0.04185;0.04185;0.00839;0.00495;0.00005;0.00005;0.00684;0.00548;0.00080;0.00080;60.42823;93.61602
6;15.23098;1.74344;13.48754;4.76201;3.03759;0.31539;0.01000;0.01000;0.01000;0.36691;0.39388;0.02000;0.02000;0.10753;0.11058;0.01000;0.01000;0.00701;0.00529;0.11000;0.11000;0.46505;0.30297;0.14051;0.14051;0.47921;0.35435;0.21946;0.21946;0.13554;0.08911;0.01205;0.01205;0.13485;0.09878;0.03359;0.03359;0.01202;0.00495;0.00005;0.00005;0.12281;0.00386;0.00059;0.00059;59.24011;93.13952
7;11.13848;1.69012;9.44837;4.86742;3.06015;0.23807;0.01000;0.01000;0.01000;0.41691;0.46012;0.01000;0.01000;0.14451;0.17391;0.02000;0.01000;0.01444;0.01508;0.08000;0.05000;0.52317;0.34653;0.17928;0.17928;0.53475;0.42306;0.29402;0.29402;0.18681;0.11782;0.02259;0.02259;0.19818;0.16045;0.06964;0.06964;0.02140;0.01089;0.00026;0.00026;0.04160;0.01313;0.00333;0.00333;59.39400;92.30495
8;15.29561;1.58905;13.70656;5.41024;3.46617;0.25734;0.01000;0.01000;0.01000;0.41406;0.53334;0.01000;0.01000;0.17862;0.23380;0.09000;0.01000;0.03264;0.04028;0.03000;0.03000;0.58378;0.32079;0.24876;0.24876;0.59919;0.49526;0.41447;0.41447;0.30825;0.12574;0.05009;0.05009;0.25734;0.21903;0.14123;0.14123;0.04789;0.02475;0.00193;0.00193;0.04461;0.03753;0.01858;0.01858;60.67830;92.10771
9;18.39144;1.57485;16.81659;5.27229;3.46617;0.26850;0.01000;0.01000;0.01000;0.40532;0.50498;0.02000;0.01000;0.17456;0.22598;0.08000;0.08000;0.01620;0.02371;0.16000;0.16000;0.56239;0.31683;0.21848;0.21848;0.57750;0.47080;0.37056;0.37056;0.27564;0.12772;0.03921;0.03921;0.28247;0.20724;0.11908;0.11908;0.03161;0.01089;0.00030;0.00030;0.17218;0.01981;0.00731;0.00731;60.05619;92.89467
10;24.20045;1.58263;22.61781;4.85891;3.15789;0.42287;0.01000;0.01000;0.01000;0.43899;0.50124;0.02000;0.01000;0.20888;0.25349;0.04000;0.01000;0.03133;0.04108;0.04000;0.04000;0.60172;0.34554;0.21585;0.21585;0.58896;0.45702;0.32914;0.32914;0.30651;0.15842;0.05138;0.05138;0.29178;0.23269;0.12046;0.12046;0.04598;0.02376;0.00191;0.00191;0.07231;0.03648;0.01550;0.01550;60.18464;92.16923
