epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.41905;8.27488;7.03008;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;15.07501;19.09277
2;10.17085;8.27488;7.03008;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;15.16283;17.69156
3;6.40604;6.84852;5.15789;0.03710;0.14000;0.14000;0.24000;0.11820;0.10088;0.13000;0.16000;0.01373;0.01005;0.15000;0.15000;0.00000;0.00000;0.01000;0.01000;0.15884;0.09412;0.02832;0.02832;0.50565;0.09563;0.08018;0.08018;0.02394;0.00963;0.00053;0.00053;0.34805;0.01281;0.00791;0.00791;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;15.05209;17.38365
4;3.16356;4.96378;3.61654;0.12865;0.18000;0.18000;0.13000;0.50104;0.52291;0.17000;0.16000;0.13723;0.14546;0.16000;0.16000;0.01298;0.01318;0.19000;0.19000;0.48736;0.51551;0.37895;0.37895;0.51111;0.63960;0.50606;0.50606;0.12589;0.15080;0.03238;0.03238;0.14716;0.18088;0.07604;0.07604;0.01447;0.01176;0.00031;0.00031;0.04959;0.01643;0.00522;0.00522;15.45137;17.31319
5;2.49086;2.87588;2.01504;0.61867;0.26000;0.27000;0.25000;0.62568;0.66949;0.28000;0.26000;0.24734;0.28469;0.31000;0.28000;0.02477;0.03282;0.33000;0.33000;0.63677;0.61497;0.52586;0.52586;0.64862;0.74359;0.65585;0.65585;0.27682;0.22353;0.08865;0.08865;0.29694;0.30458;0.17380;0.17380;0.02941;0.02139;0.00139;0.00139;0.05922;0.03118;0.01110;0.01110;17.68957;16.79973
6;2.52881;3.94225;2.53383;0.33569;0.22000;0.23000;0.14000;0.59390;0.61767;0.21000;0.21000;0.19279;0.19887;0.25000;0.21000;0.00995;0.00790;0.25000;0.20000;0.57515;0.61390;0.49540;0.49540;0.59516;0.69426;0.58419;0.58419;0.23031;0.16578;0.05699;0.05699;0.19279;0.22297;0.10346;0.10346;0.01189;0.00856;0.00024;0.00024;0.00705;0.00963;0.00230;0.00230;17.56813;17.23224
7;2.15266;3.11436;2.13534;0.50768;0.26000;0.26000;0.25000;0.63201;0.66810;0.25000;0.25000;0.26915;0.29543;0.27000;0.27000;0.02388;0.02567;0.34000;0.34000;0.60370;0.66310;0.56895;0.56895;0.65244;0.73115;0.65899;0.65899;0.27548;0.26310;0.11838;0.11838;0.29641;0.31174;0.17991;0.17991;0.03476;0.01818;0.00146;0.00146;0.07584;0.02289;0.01165;0.01165;16.95658;16.58180
8;1.98365;2.24446;1.57895;0.74917;0.27000;0.27000;0.25000;0.69050;0.71565;0.26000;0.24000;0.30400;0.34122;0.30000;0.30000;0.03497;0.04358;0.34000;0.32000;0.66080;0.72299;0.64717;0.64717;0.66187;0.81689;0.73577;0.73577;0.32638;0.28449;0.14544;0.14544;0.37509;0.32988;0.22416;0.22416;0.04433;0.02888;0.00213;0.00213;0.05867;0.04146;0.01503;0.01503;16.45501;18.23324
9;1.97286;2.22596;1.39098;0.74444;0.28000;0.28000;0.28000;0.68937;0.75402;0.28000;0.28000;0.33476;0.38068;0.29000;0.28000;0.03456;0.03650;0.43000;0.43000;0.67556;0.70374;0.63132;0.63132;0.73913;0.79396;0.74125;0.74125;0.33476;0.33476;0.17479;0.17479;0.37599;0.39383;0.24187;0.24187;0.06509;0.02353;0.00198;0.00198;0.14655;0.02762;0.01393;0.01393;16.60032;17.17977
10;1.72741;2.41393;1.34586;0.69647;0.27000;0.27000;0.27000;0.74050;0.79657;0.27000;0.27000;0.45836;0.52965;0.32000;0.31000;0.07522;0.09102;0.39000;0.36000;0.74090;0.74011;0.71023;0.71023;0.79059;0.82922;0.79266;0.79266;0.51187;0.41497;0.32098;0.32098;0.55470;0.52524;0.42362;0.42362;0.10108;0.05989;0.01244;0.01244;0.09866;0.08644;0.04080;0.04080;17.27087;15.96586
11;1.67754;2.12398;1.18045;0.77700;0.27000;0.28000;0.24000;0.73918;0.78697;0.30000;0.29000;0.46188;0.54002;0.29000;0.28000;0.08762;0.10501;0.40000;0.37000;0.79050;0.69412;0.71740;0.71740;0.80517;0.79074;0.80135;0.80135;0.48528;0.44064;0.31690;0.31690;0.54019;0.55287;0.42559;0.42559;0.12525;0.06738;0.01516;0.01516;0.14366;0.09285;0.04194;0.04194;16.15944;17.51965
12;1.85700;1.91158;1.17293;0.81489;0.25000;0.25000;0.23000;0.66924;0.75695;0.26000;0.25000;0.37835;0.44426;0.31000;0.25000;0.04895;0.06040;0.36000;0.25000;0.68934;0.65027;0.60685;0.60685;0.75160;0.78202;0.73267;0.73267;0.43865;0.33262;0.21839;0.21839;0.44472;0.45258;0.30976;0.30976;0.06716;0.03850;0.00486;0.00486;0.06127;0.06011;0.02233;0.02233;15.56520;17.19558
13;1.64300;2.47088;1.33083;0.69682;0.29000;0.26000;0.29000;0.74512;0.80449;0.27000;0.27000;0.45222;0.55012;0.29000;0.29000;0.07333;0.10189;0.29000;0.29000;0.75578;0.73476;0.69278;0.69278;0.81572;0.82056;0.79245;0.79245;0.47052;0.43529;0.30499;0.30499;0.56651;0.54925;0.42461;0.42461;0.07630;0.07059;0.01088;0.01088;0.10433;0.10172;0.04040;0.04040;17.26098;16.41084
14;1.64859;2.28924;1.42105;0.74488;0.25000;0.25000;0.27000;0.75014;0.80144;0.29000;0.29000;0.50907;0.54504;0.30000;0.30000;0.09659;0.10313;0.33000;0.32000;0.81454;0.69519;0.70969;0.70969;0.84494;0.78496;0.79577;0.79577;0.56202;0.46524;0.36585;0.36585;0.57712;0.52960;0.43508;0.43508;0.11471;0.08342;0.01605;0.01605;0.11092;0.09899;0.04379;0.04379;17.00653;16.65555
15;1.46623;1.95052;1.14286;0.82141;0.28000;0.28000;0.30000;0.76712;0.82580;0.29000;0.29000;0.47911;0.59348;0.30000;0.30000;0.11588;0.16108;0.30000;0.30000;0.78652;0.74866;0.73796;0.73796;0.83539;0.83515;0.83206;0.83206;0.50000;0.45989;0.32217;0.32217;0.60269;0.59478;0.46376;0.46376;0.12093;0.11123;0.02699;0.02699;0.16313;0.16176;0.07064;0.07064;15.83321;16.86564
16;1.56288;2.15560;1.27068;0.76791;0.34000;0.36000;0.33000;0.76855;0.81172;0.38000;0.40000;0.51910;0.57536;0.40000;0.40000;0.10486;0.11823;0.50000;0.50000;0.79072;0.74759;0.73521;0.73521;0.83335;0.81507;0.81893;0.81893;0.54675;0.49412;0.38439;0.38439;0.58683;0.57359;0.47394;0.47394;0.13037;0.08770;0.01789;0.01789;0.15279;0.10860;0.04792;0.04792;17.35007;15.73587
