epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.41946;8.27488;7.03008;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;17.04671;22.89177
2;10.21613;8.27488;7.03008;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;16.63958;20.00836
3;6.33103;6.91191;5.17293;0.03595;0.15000;0.17000;0.25000;0.17214;0.15173;0.16000;0.19000;0.03485;0.03061;0.19000;0.19000;0.00000;0.00000;0.01000;0.01000;0.27064;0.12620;0.06476;0.06476;0.60299;0.13725;0.13083;0.13083;0.07778;0.02246;0.00299;0.00299;0.43122;0.02818;0.02045;0.02045;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;16.99390;20.26100
4;3.42489;5.88167;4.28571;0.08543;0.16000;0.17000;0.25000;0.41490;0.43201;0.16000;0.14000;0.11628;0.11886;0.18000;0.18000;0.00958;0.00908;0.22000;0.22000;0.44691;0.38717;0.29395;0.29395;0.43625;0.54638;0.41957;0.41957;0.14682;0.09626;0.02430;0.02430;0.20551;0.11789;0.06039;0.06039;0.01887;0.00642;0.00023;0.00023;0.22319;0.00817;0.00453;0.00453;16.92686;19.78790
5;2.66988;3.00626;2.05263;0.57438;0.25000;0.26000;0.25000;0.59070;0.63030;0.29000;0.25000;0.22450;0.23546;0.32000;0.29000;0.01668;0.01707;0.32000;0.32000;0.64713;0.54332;0.49191;0.49191;0.61398;0.68739;0.59200;0.59200;0.28045;0.18717;0.08866;0.08866;0.25400;0.23851;0.15003;0.15003;0.02083;0.01390;0.00051;0.00051;0.04069;0.01679;0.00564;0.00564;16.96871;20.40134
6;2.68082;3.37950;2.20301;0.46910;0.22000;0.23000;0.19000;0.55176;0.54765;0.23000;0.23000;0.14338;0.13566;0.25000;0.22000;0.01038;0.00972;0.26000;0.26000;0.57864;0.52727;0.45610;0.45610;0.58091;0.55481;0.50396;0.50396;0.16786;0.12513;0.03721;0.03721;0.14190;0.13724;0.05891;0.05891;0.01320;0.00856;0.00018;0.00018;0.02082;0.00875;0.00197;0.00197;18.00804;20.09008
7;2.33782;2.39046;1.59398;0.73577;0.23000;0.23000;0.21000;0.60223;0.63125;0.21000;0.20000;0.21466;0.22601;0.25000;0.25000;0.01378;0.01683;0.27000;0.16000;0.57157;0.63636;0.50283;0.50283;0.59969;0.69864;0.57835;0.57835;0.23766;0.19572;0.06659;0.06659;0.26113;0.21579;0.10685;0.10685;0.01664;0.01176;0.00146;0.00146;0.01490;0.02007;0.00570;0.00570;19.02642;20.18223
8;1.96632;2.20560;1.51128;0.75287;0.29000;0.29000;0.24000;0.70312;0.74878;0.30000;0.29000;0.35334;0.41709;0.32000;0.32000;0.04518;0.05065;0.34000;0.35000;0.71924;0.68770;0.65920;0.65920;0.75204;0.77349;0.75104;0.75104;0.37961;0.33048;0.18966;0.18966;0.44179;0.40949;0.29800;0.29800;0.05087;0.04064;0.00277;0.00277;0.05911;0.04720;0.01527;0.01527;17.10570;19.61468
9;1.86265;2.67823;1.65414;0.64556;0.28000;0.29000;0.26000;0.70843;0.76433;0.31000;0.31000;0.41987;0.48515;0.34000;0.34000;0.06756;0.09520;0.42000;0.35000;0.73533;0.68342;0.66857;0.66857;0.77356;0.79134;0.77506;0.77506;0.46958;0.37968;0.26708;0.26708;0.51371;0.47824;0.37104;0.37104;0.09877;0.05134;0.00760;0.00760;0.10150;0.09201;0.03736;0.03736;17.06631;20.17480
10;1.85894;2.52952;1.63158;0.70117;0.28000;0.27000;0.26000;0.74340;0.79950;0.32000;0.31000;0.41060;0.47562;0.36000;0.35000;0.04788;0.06717;0.37000;0.37000;0.78251;0.70802;0.70216;0.70216;0.81251;0.82276;0.80992;0.80992;0.46970;0.36471;0.24095;0.24095;0.50395;0.46960;0.34799;0.34799;0.05620;0.04171;0.00358;0.00358;0.07227;0.06525;0.02107;0.02107;17.66278;20.40663
11;1.69192;2.27606;1.45113;0.77382;0.27000;0.25000;0.22000;0.73979;0.79529;0.29000;0.29000;0.45519;0.52610;0.32000;0.32000;0.07193;0.08927;0.32000;0.32000;0.77582;0.70695;0.70562;0.70562;0.82588;0.79426;0.81221;0.81221;0.50723;0.41283;0.28886;0.28886;0.56895;0.50555;0.39938;0.39938;0.08016;0.06524;0.00991;0.00991;0.09388;0.08651;0.03119;0.03119;18.40791;20.16271
12;1.78427;2.82577;1.67669;0.60632;0.29000;0.28000;0.32000;0.70270;0.75365;0.30000;0.30000;0.40316;0.42585;0.34000;0.32000;0.05094;0.05299;0.39000;0.39000;0.74197;0.66738;0.67197;0.67197;0.78255;0.75873;0.77012;0.77012;0.46629;0.35508;0.24241;0.24241;0.46695;0.41142;0.29217;0.29217;0.06822;0.04064;0.00583;0.00583;0.08756;0.04751;0.01977;0.01977;15.98403;20.16795
