epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.46036;8.16116;6.90299;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;15.26585;18.78914
2;10.24857;8.13230;6.85075;0.00332;0.01000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.00000;0.96269;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96269;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96269;0.00000;0.00000;0.00000;15.33652;17.55913
3;6.59952;6.58129;4.65672;0.03955;0.12000;0.13000;0.04000;0.03112;0.02476;0.12000;0.10000;0.00135;0.00107;0.12000;0.12000;0.00000;0.00000;0.01000;0.01000;0.04159;0.02486;0.00150;0.00150;0.18542;0.03028;0.01195;0.01195;0.00181;0.00108;0.00000;0.00000;0.19510;0.00107;0.00021;0.00021;0.00000;0.00000;0.00000;0.00000;0.00746;0.00000;0.00000;0.00000;15.85802;17.74024
4;3.37525;4.34604;2.68657;0.21857;0.23000;0.24000;0.20000;0.47010;0.47250;0.24000;0.24000;0.11484;0.10768;0.23000;0.22000;0.00803;0.00736;0.27000;0.27000;0.52610;0.42486;0.32445;0.32445;0.53855;0.48454;0.40168;0.40168;0.12110;0.10919;0.02113;0.02113;0.11838;0.12238;0.04679;0.04679;0.01054;0.00649;0.00006;0.00006;0.04527;0.00698;0.00108;0.00108;16.03816;17.52983
5;2.41273;3.99066;2.44776;0.43877;0.25000;0.27000;0.16000;0.57631;0.63521;0.25000;0.25000;0.19030;0.24325;0.21000;0.21000;0.01452;0.02217;0.29000;0.32000;0.56902;0.58378;0.44116;0.44116;0.62245;0.69399;0.60077;0.60077;0.16613;0.22270;0.05156;0.05156;0.21390;0.30257;0.12480;0.12480;0.01648;0.01297;0.00024;0.00024;0.05162;0.02078;0.00359;0.00359;14.84375;17.29241
6;2.13093;2.94983;1.72388;0.62868;0.26000;0.29000;0.22000;0.67129;0.74371;0.31000;0.29000;0.33992;0.41064;0.30000;0.30000;0.03434;0.04093;0.37000;0.37000;0.72084;0.62811;0.60327;0.60327;0.72238;0.79252;0.75182;0.75182;0.35579;0.32541;0.17626;0.17626;0.40998;0.42452;0.28491;0.28491;0.04708;0.02703;0.00199;0.00199;0.07822;0.03647;0.01199;0.01199;15.51360;15.95329
7;1.99221;2.86773;1.79851;0.59723;0.25000;0.26000;0.24000;0.68562;0.74087;0.26000;0.26000;0.31602;0.36272;0.26000;0.26000;0.01906;0.02576;0.29000;0.24000;0.69358;0.67784;0.62026;0.62026;0.74836;0.77261;0.73051;0.73051;0.31969;0.31243;0.14356;0.14356;0.35859;0.37915;0.21871;0.21871;0.02122;0.01730;0.00064;0.00064;0.02307;0.03125;0.00981;0.00981;16.94411;17.46537
8;1.91214;3.34798;2.13433;0.57134;0.29000;0.29000;0.17000;0.71192;0.75595;0.33000;0.34000;0.38165;0.42279;0.36000;0.38000;0.04042;0.05366;0.42000;0.42000;0.75362;0.67459;0.69534;0.69534;0.78633;0.77892;0.79633;0.79633;0.43944;0.33730;0.23679;0.23679;0.45788;0.41821;0.33284;0.33284;0.05686;0.03135;0.00570;0.00570;0.08495;0.04845;0.02477;0.02477;16.56996;17.41319
9;1.75546;2.48878;1.43284;0.69873;0.28000;0.28000;0.30000;0.73631;0.79588;0.29000;0.31000;0.38659;0.44007;0.29000;0.29000;0.06086;0.07019;0.32000;0.32000;0.76185;0.71243;0.70462;0.70462;0.82722;0.79646;0.81154;0.81154;0.40000;0.37405;0.21038;0.21038;0.43617;0.46035;0.30909;0.30909;0.06791;0.05514;0.00542;0.00542;0.07496;0.06782;0.02303;0.02303;15.92229;19.21849
10;1.67780;2.59448;1.53731;0.68054;0.26000;0.29000;0.19000;0.75133;0.81478;0.32000;0.31000;0.45398;0.56323;0.35000;0.35000;0.07757;0.09242;0.37000;0.37000;0.82812;0.68757;0.72888;0.72888;0.83740;0.82139;0.84122;0.84122;0.53441;0.39459;0.29227;0.29227;0.60326;0.54499;0.44690;0.44690;0.09646;0.06486;0.00767;0.00767;0.10498;0.08489;0.02536;0.02536;15.10544;17.62281
