epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.33717;8.91311;7.59398;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.82237;22.56901
2;10.20023;8.91311;7.59398;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;13.74229;17.93939
3;6.85957;7.98730;6.20301;0.03463;0.13000;0.14000;0.17000;0.04807;0.03560;0.13000;0.13000;0.00157;0.00188;0.14000;0.13000;0.00000;0.00000;0.01000;0.01000;0.09091;0.03267;0.00510;0.00510;0.45534;0.03629;0.02631;0.02631;0.00383;0.00099;0.00000;0.00000;0.41604;0.00150;0.00070;0.00070;0.00000;0.00000;0.00000;0.00000;0.01504;0.00000;0.00000;0.00000;13.88249;16.25042
4;3.29773;5.33326;3.72932;0.13084;0.19000;0.20000;0.14000;0.46804;0.48788;0.20000;0.21000;0.10901;0.11098;0.21000;0.21000;0.00433;0.00408;0.20000;0.20000;0.51675;0.42772;0.34073;0.34073;0.58741;0.50542;0.45723;0.45723;0.12960;0.09406;0.02165;0.02165;0.16188;0.12169;0.06069;0.06069;0.00478;0.00396;0.00004;0.00004;0.03396;0.00553;0.00233;0.00233;15.90473;15.99447
5;2.34790;3.66245;2.54135;0.55817;0.29000;0.30000;0.25000;0.63503;0.67836;0.28000;0.30000;0.23745;0.27909;0.32000;0.32000;0.01727;0.02086;0.32000;0.35000;0.60985;0.66238;0.55319;0.55319;0.69348;0.71964;0.67898;0.67898;0.26097;0.21782;0.08173;0.08173;0.29875;0.28693;0.16131;0.16131;0.01898;0.01584;0.00040;0.00040;0.03897;0.02104;0.00472;0.00472;14.23342;17.04808
6;2.45400;3.24443;2.33083;0.57663;0.26000;0.26000;0.29000;0.59027;0.62304;0.25000;0.25000;0.18072;0.19868;0.26000;0.25000;0.01014;0.00950;0.24000;0.24000;0.57451;0.60693;0.47200;0.47200;0.61991;0.66983;0.55687;0.55687;0.18330;0.17822;0.04697;0.04697;0.20050;0.21117;0.08646;0.08646;0.00949;0.01089;0.00023;0.00023;0.00819;0.01323;0.00284;0.00284;15.74503;15.68825
7;2.15288;4.39241;3.26316;0.39716;0.31000;0.31000;0.08000;0.60776;0.64663;0.31000;0.31000;0.24182;0.26981;0.32000;0.32000;0.01722;0.02076;0.39000;0.38000;0.62764;0.58911;0.51587;0.51587;0.69375;0.68041;0.63771;0.63771;0.25905;0.22673;0.09481;0.09481;0.28848;0.28088;0.16455;0.16455;0.02600;0.01287;0.00049;0.00049;0.03308;0.01857;0.00572;0.00572;16.34407;17.04778
8;2.05344;3.03860;2.04511;0.60148;0.30000;0.30000;0.29000;0.67861;0.71402;0.30000;0.30000;0.28821;0.31278;0.32000;0.30000;0.02370;0.02255;0.45000;0.35000;0.66383;0.69406;0.60401;0.60401;0.71205;0.75684;0.70550;0.70550;0.30011;0.27723;0.12172;0.12172;0.30868;0.33320;0.17677;0.17677;0.04706;0.01584;0.00136;0.00136;0.02480;0.02213;0.00846;0.00846;15.38164;17.85733
9;1.99520;4.12584;2.82707;0.40030;0.28000;0.24000;0.20000;0.62900;0.66954;0.29000;0.28000;0.29744;0.34799;0.29000;0.27000;0.03162;0.03495;0.36000;0.30000;0.68129;0.58416;0.54843;0.54843;0.70223;0.70509;0.66372;0.66372;0.32217;0.27624;0.13805;0.13805;0.34857;0.38258;0.23399;0.23399;0.04724;0.02376;0.00163;0.00163;0.03846;0.03323;0.01091;0.01091;13.63730;16.50578
10;1.96156;2.82044;1.90226;0.65585;0.28000;0.26000;0.24000;0.63315;0.68934;0.27000;0.27000;0.29848;0.36234;0.29000;0.29000;0.03790;0.05347;0.31000;0.31000;0.63664;0.62970;0.56473;0.56473;0.70126;0.72249;0.67025;0.67025;0.31803;0.28119;0.13393;0.13393;0.37437;0.37235;0.22552;0.22552;0.04337;0.03366;0.00368;0.00368;0.05545;0.05402;0.02541;0.02541;16.03008;16.21657
