epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.38057;8.74771;7.37313;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;15.74080;19.64689
2;10.26215;8.74771;7.37313;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;14.57140;17.34144
3;6.11419;7.45534;5.59701;0.07319;0.16000;0.16000;0.23000;0.10311;0.08462;0.18000;0.18000;0.00848;0.00590;0.14000;0.14000;0.00000;0.00000;0.01000;0.01000;0.20544;0.06883;0.02139;0.02139;0.46113;0.07978;0.05882;0.05882;0.01056;0.00709;0.00015;0.00015;0.25126;0.00823;0.00411;0.00411;0.00000;0.00000;0.00000;0.00000;0.01493;0.00000;0.00000;0.00000;15.41017;17.48000
4;3.68511;4.68803;3.17164;0.23896;0.16000;0.17000;0.14000;0.38013;0.36429;0.16000;0.16000;0.07940;0.07207;0.19000;0.18000;0.00176;0.00213;0.26000;0.23000;0.38071;0.37955;0.23428;0.23428;0.38227;0.39475;0.27713;0.27713;0.10256;0.06478;0.01094;0.01094;0.10724;0.06993;0.02826;0.02826;0.00667;0.00101;0.00001;0.00001;0.15299;0.00149;0.00052;0.00052;16.33351;16.29510
5;2.53839;4.43864;2.94776;0.32134;0.23000;0.24000;0.15000;0.53998;0.55258;0.22000;0.21000;0.13919;0.14544;0.22000;0.21000;0.00710;0.00805;0.20000;0.20000;0.52697;0.55364;0.40556;0.40556;0.54048;0.64244;0.51330;0.51330;0.13584;0.14271;0.02994;0.02994;0.13722;0.17175;0.06931;0.06931;0.00632;0.00810;0.00008;0.00008;0.00703;0.01064;0.00140;0.00140;16.21208;16.53539
6;2.11239;3.98785;2.51493;0.39279;0.24000;0.25000;0.18000;0.66133;0.69716;0.25000;0.26000;0.29973;0.35853;0.25000;0.29000;0.03309;0.04778;0.34000;0.31000;0.69899;0.62753;0.59217;0.59217;0.74121;0.71842;0.71810;0.71810;0.31680;0.28441;0.14736;0.14736;0.41632;0.34422;0.25632;0.25632;0.05721;0.02328;0.00233;0.00233;0.09590;0.04295;0.01842;0.01842;16.25006;18.00807
7;1.93895;3.54607;2.36567;0.52946;0.24000;0.25000;0.19000;0.70027;0.74144;0.27000;0.27000;0.35233;0.40395;0.26000;0.26000;0.04251;0.05007;0.24000;0.28000;0.74458;0.66093;0.67926;0.67926;0.77244;0.77177;0.78396;0.78396;0.36093;0.34413;0.18388;0.18388;0.39951;0.43636;0.28472;0.28472;0.04155;0.04352;0.00332;0.00332;0.04992;0.05242;0.01885;0.01885;16.11982;17.49192
8;1.82597;3.12906;2.02985;0.58268;0.27000;0.27000;0.25000;0.70942;0.75140;0.27000;0.29000;0.38661;0.48393;0.32000;0.30000;0.06578;0.09110;0.32000;0.32000;0.70238;0.71660;0.67559;0.67559;0.76775;0.78183;0.78490;0.78490;0.44966;0.33907;0.23078;0.23078;0.49592;0.49760;0.37572;0.37572;0.07651;0.05769;0.00831;0.00831;0.09264;0.09232;0.03688;0.03688;15.64701;18.00137
9;1.98786;3.03463;1.88806;0.60586;0.23000;0.28000;0.23000;0.64151;0.72979;0.31000;0.28000;0.35220;0.45325;0.31000;0.29000;0.04968;0.06788;0.36000;0.36000;0.73719;0.56781;0.57254;0.57254;0.72836;0.75852;0.72377;0.72377;0.40473;0.31174;0.19599;0.19599;0.45124;0.46835;0.32837;0.32837;0.06701;0.03947;0.00748;0.00748;0.08356;0.06377;0.03413;0.03413;16.80003;17.44966
10;1.77328;3.08342;1.88060;0.58523;0.21000;0.24000;0.20000;0.72237;0.78125;0.26000;0.24000;0.42305;0.52358;0.28000;0.28000;0.07098;0.10863;0.32000;0.32000;0.79061;0.66498;0.67127;0.67127;0.77210;0.82222;0.79151;0.79151;0.49130;0.37146;0.28295;0.28295;0.55598;0.52145;0.43407;0.43407;0.09492;0.05668;0.00915;0.00915;0.15391;0.10132;0.04966;0.04966;16.31289;17.15980
11;1.65009;3.03708;1.94030;0.61021;0.27000;0.29000;0.25000;0.74536;0.79253;0.29000;0.29000;0.44325;0.54195;0.38000;0.33000;0.09235;0.12217;0.45000;0.46000;0.75945;0.73178;0.72023;0.72023;0.78305;0.83961;0.82228;0.82228;0.54082;0.37551;0.29884;0.29884;0.54717;0.55389;0.44027;0.44027;0.14471;0.06781;0.01716;0.01716;0.20002;0.10708;0.06391;0.06391;15.68269;16.94267
12;1.54234;3.04567;1.85821;0.60765;0.21000;0.22000;0.16000;0.77866;0.81266;0.23000;0.24000;0.50345;0.57434;0.27000;0.24000;0.09383;0.10034;0.30000;0.32000;0.81436;0.74595;0.76174;0.76174;0.84435;0.82379;0.84424;0.84424;0.58245;0.44332;0.38278;0.38278;0.58312;0.58490;0.49820;0.49820;0.12025;0.07692;0.01678;0.01678;0.13516;0.09258;0.04606;0.04606;16.50817;15.81162
13;1.73515;2.54512;1.54478;0.74755;0.28000;0.29000;0.23000;0.72089;0.75416;0.29000;0.29000;0.41740;0.42736;0.33000;0.32000;0.04895;0.04721;0.45000;0.46000;0.72421;0.71761;0.69672;0.69672;0.75385;0.78136;0.77637;0.77637;0.45773;0.38360;0.25513;0.25513;0.45757;0.41885;0.30794;0.30794;0.07453;0.03644;0.00380;0.00380;0.16466;0.03644;0.01759;0.01759;16.77804;16.65751
14;1.53164;3.11472;1.95522;0.56351;0.29000;0.29000;0.29000;0.75565;0.79716;0.34000;0.34000;0.53295;0.57695;0.38000;0.38000;0.14145;0.15134;0.42000;0.42000;0.83030;0.69332;0.73810;0.73810;0.82899;0.80820;0.82848;0.82848;0.62129;0.46660;0.40608;0.40608;0.59829;0.57340;0.49750;0.49750;0.18025;0.11640;0.02879;0.02879;0.16735;0.14575;0.06954;0.06954;17.24307;16.15947
15;1.84592;3.25416;1.82090;0.54495;0.23000;0.22000;0.20000;0.66703;0.75030;0.25000;0.24000;0.37708;0.47481;0.28000;0.23000;0.07001;0.08526;0.31000;0.24000;0.71445;0.62551;0.59432;0.59432;0.76075;0.76826;0.73520;0.73520;0.43461;0.33300;0.22333;0.22333;0.47853;0.47931;0.35468;0.35468;0.08670;0.05870;0.01147;0.01147;0.08628;0.08518;0.03660;0.03660;17.25352;15.56334
16;1.45658;3.36133;2.05970;0.50959;0.34000;0.39000;0.23000;0.74078;0.79102;0.40000;0.40000;0.49971;0.57504;0.44000;0.43000;0.10204;0.13062;0.52000;0.52000;0.81182;0.68117;0.71819;0.71819;0.82236;0.80273;0.83074;0.83074;0.58663;0.43522;0.36555;0.36555;0.60946;0.57197;0.50352;0.50352;0.13793;0.08097;0.02005;0.02005;0.17670;0.12481;0.06944;0.06944;17.72195;15.93322
17;1.45818;2.81918;1.67164;0.68958;0.28000;0.32000;0.25000;0.76898;0.81379;0.35000;0.35000;0.52081;0.58514;0.37000;0.37000;0.08526;0.10321;0.41000;0.35000;0.83511;0.71255;0.75951;0.75951;0.84443;0.81792;0.84997;0.84997;0.58608;0.46862;0.38912;0.38912;0.61451;0.57621;0.50527;0.50527;0.10271;0.07287;0.00960;0.00960;0.10490;0.10290;0.03946;0.03946;18.22553;16.13426
18;1.45294;3.58063;1.88060;0.46292;0.27000;0.27000;0.22000;0.75354;0.81065;0.30000;0.26000;0.51228;0.59549;0.35000;0.30000;0.10358;0.12872;0.39000;0.36000;0.81678;0.69939;0.72453;0.72453;0.80332;0.85480;0.83508;0.83508;0.60665;0.44332;0.37538;0.37538;0.61478;0.59949;0.51329;0.51329;0.13249;0.08502;0.02342;0.02342;0.14302;0.12414;0.06303;0.06303;16.66712;16.69573
19;1.45319;3.38235;1.90299;0.50842;0.32000;0.32000;0.30000;0.74051;0.79383;0.33000;0.34000;0.50818;0.59067;0.37000;0.37000;0.10174;0.11265;0.50000;0.47000;0.76150;0.72065;0.71515;0.71515;0.79727;0.82226;0.82653;0.82653;0.55083;0.47166;0.38536;0.38536;0.60256;0.59481;0.51040;0.51040;0.13982;0.07996;0.01586;0.01586;0.13550;0.10382;0.04449;0.04449;17.72870;17.71623
