epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;12.20904;1.98876;10.22029;4.31416;2.76119;0.38844;0.01000;0.01000;0.01000;0.34156;0.41948;0.16000;0.16000;0.06684;0.08458;0.17000;0.16000;0.00571;0.00658;0.32000;0.31000;0.44599;0.27676;0.14389;0.14389;0.47939;0.38825;0.24764;0.24764;0.08757;0.05405;0.00437;0.00437;0.09704;0.07668;0.01767;0.01767;0.00842;0.00432;0.00006;0.00006;0.00746;0.00604;0.00157;0.00157;63.49628;100.96410
2;21.84701;1.75778;20.08923;4.60289;2.82836;0.32968;0.01000;0.01000;0.01000;0.44758;0.54705;0.06000;0.01000;0.13621;0.18323;0.09000;0.01000;0.01498;0.02077;0.12000;0.30000;0.59147;0.36000;0.23405;0.23405;0.62880;0.50625;0.37466;0.37466;0.18100;0.10919;0.02557;0.02557;0.20237;0.17258;0.07766;0.07766;0.02022;0.01189;0.00035;0.00035;0.10224;0.01812;0.00572;0.00572;63.08826;97.14839
3;27.72194;1.65102;26.07092;4.03252;2.36567;0.44183;0.01000;0.01000;0.01000;0.51252;0.58137;0.04000;0.02000;0.14935;0.18862;0.05000;0.04000;0.00700;0.00933;0.13000;0.31000;0.63133;0.43135;0.28908;0.28908;0.63689;0.55415;0.42269;0.42269;0.18699;0.12432;0.02626;0.02626;0.20255;0.18135;0.08174;0.08174;0.00992;0.00541;0.00009;0.00009;0.26119;0.00684;0.00421;0.00421;61.19387;96.86538
4;11.66349;1.58342;10.08007;4.72055;2.89552;0.31567;0.01000;0.01000;0.01000;0.44047;0.54820;0.03000;0.01000;0.19417;0.26191;0.13000;0.05000;0.03100;0.04974;0.27000;0.26000;0.60606;0.34595;0.24833;0.24833;0.61929;0.50938;0.41038;0.41038;0.31401;0.14054;0.04714;0.04714;0.28632;0.24693;0.14109;0.14109;0.06312;0.02054;0.00137;0.00137;0.20983;0.04552;0.02072;0.02072;61.88660;96.53683
5;12.00588;1.54740;10.45848;4.22236;2.54478;0.44770;0.01000;0.01000;0.01000;0.49538;0.56538;0.04000;0.03000;0.17784;0.21597;0.05000;0.05000;0.01952;0.02091;0.22000;0.21000;0.63667;0.40541;0.28768;0.28768;0.64255;0.52601;0.41792;0.41792;0.23024;0.14486;0.03678;0.03678;0.23854;0.20375;0.09561;0.09561;0.03194;0.01405;0.00038;0.00038;0.12239;0.01871;0.00489;0.00489;60.35595;96.55738
6;16.80682;1.36343;15.44339;4.62876;2.67910;0.19242;0.01000;0.01000;0.01000;0.53012;0.62123;0.04000;0.01000;0.27529;0.34137;0.10000;0.06000;0.04610;0.05214;0.28000;0.28000;0.69596;0.42811;0.34049;0.34049;0.67594;0.59399;0.50013;0.50013;0.37879;0.21622;0.10579;0.10579;0.37844;0.32772;0.21818;0.21818;0.07381;0.03351;0.00406;0.00406;0.17624;0.04633;0.02524;0.02524;59.97655;95.46017
7;12.58854;1.54234;11.04620;4.16990;2.47761;0.33850;0.01000;0.01000;0.01000;0.54293;0.57759;0.01000;0.01000;0.23146;0.24992;0.03000;0.03000;0.03862;0.04036;0.09000;0.09000;0.65250;0.46486;0.29508;0.29508;0.65254;0.53858;0.40382;0.40382;0.28326;0.19568;0.04986;0.04986;0.27817;0.23275;0.10410;0.10410;0.05026;0.03135;0.00143;0.00143;0.08391;0.03660;0.01003;0.01003;58.43709;95.56278
8;25.11878;1.35200;23.76678;4.39810;2.62687;0.28609;0.01000;0.01000;0.01000;0.52512;0.60985;0.06000;0.01000;0.27863;0.33800;0.06000;0.03000;0.03613;0.04655;0.18000;0.18000;0.69014;0.42378;0.34187;0.34187;0.67494;0.57429;0.48073;0.48073;0.36620;0.22486;0.10238;0.10238;0.36313;0.32155;0.20195;0.20195;0.05447;0.02703;0.00139;0.00139;0.12967;0.04224;0.01497;0.01497;59.32650;94.95169
9;19.08033;1.41307;17.66726;3.92371;2.35075;0.44324;0.01000;0.01000;0.01000;0.56154;0.61148;0.06000;0.02000;0.26795;0.30197;0.06000;0.06000;0.03462;0.03931;0.06000;0.04000;0.68976;0.47351;0.35631;0.35631;0.67599;0.58142;0.47365;0.47365;0.32913;0.22595;0.07629;0.07629;0.33220;0.28487;0.15470;0.15470;0.04252;0.02919;0.00119;0.00119;0.04179;0.03759;0.00899;0.00899;59.18920;95.04819
10;7.74256;1.73132;6.01125;4.34690;2.65672;0.31729;0.01000;0.01000;0.01000;0.53430;0.60609;0.03000;0.01000;0.25896;0.32033;0.04000;0.04000;0.04336;0.05637;0.08000;0.08000;0.68528;0.43784;0.34669;0.34669;0.68854;0.56965;0.46989;0.46989;0.33563;0.21081;0.10019;0.10019;0.35405;0.30199;0.18687;0.18687;0.06139;0.03351;0.00391;0.00391;0.07102;0.05287;0.02134;0.02134;59.22674;94.70829
